測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
601865.SH,腦應杻,20190215,,2.88,2.88,2.88,2.88,112448,323850,0.88,44,2.88,0.075,432000000,,5616000000,150000000,0,1950000000,13.1668,1.5787,1.833,-13.3429,
601865.SH,腦應杻,20190218,2.88,3.17,3.17,3.17,3.17,54354,172302,0.29,10.0694,3.17,0.0362,475500000,,6181500000,150000000,0,1950000000,14.4926,1.7376,2.0176,-14.6865,
601865.SH,腦應杻,20190219,3.17,3.49,3.49,3.49,3.49,105376,367762,0.32,10.0946,3.49,0.0703,523500000,,6805500000,150000000,0,1950000000,15.9556,1.913,2.2213,-16.169,
601865.SH,腦應杻,20190220,3.49,3.84,3.84,3.84,3.84,82600,317184,0.35,10.0287,3.84,0.0551,576000000,,7488000000,150000000,0,1950000000,17.5558,2.1049,2.444,-17.7906,
601865.SH,腦應杻,20190221,3.84,4.22,4.22,4.22,4.22,420555,1774742,0.38,9.8958,4.22,0.2804,633000000,,8229000000,150000000,0,1950000000,19.293,2.3132,2.6859,-19.5511,
601865.SH,腦應杻,20190222,4.22,4.64,4.64,4.64,4.64,407038,1888656,0.42,9.9526,4.64,0.2714,696000000,,9048000000,150000000,0,1950000000,21.2132,2.5434,2.9532,-21.4969,
601865.SH,腦應杻,20190225,4.64,5.1,5.1,5.1,5.1,409141,2086619,0.46,9.9138,5.1,0.2728,765000000,,9945000000,150000000,0,1950000000,23.3162,2.7955,3.246,-23.6281,
601865.SH,腦應杻,20190226,5.1,5.61,5.61,5.61,5.61,339366,1903843,0.51,10,5.61,0.2262,841500000,,10939500000,150000000,0,1950000000,25.6479,3.0751,3.5706,-25.9909,
601865.SH,腦應杻,20190227,5.61,6.17,6.17,6.17,6.17,470185,2901041,0.56,9.9822,6.17,0.3135,925500000,,12031500000,150000000,0,1950000000,28.2081,3.3821,3.927,-28.5854,
601865.SH,腦應杻,20190228,6.17,6.79,6.79,6.79,6.79,356044,2417539,0.62,10.0486,6.79,0.2374,1018500000,,13240500000,150000000,0,1950000000,31.0426,3.7219,4.3216,-31.4578,
