ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
002878.SZ,ิชยกัลอผ,20170606,,17.38,20.85,17.38,20.85,8800,182268,6.37,43.9917,20.7123,0.0467,392814000,,1571256000,18840000,0,75360000,31.2683,6.8449,2.223,31.4227,
002878.SZ,ิชยกัลอผ,20170607,20.85,22.94,22.94,22.94,22.94,3300,75702,2.09,10.024,22.94,0.0175,432189600,,1728758400,18840000,0,75360000,34.4027,7.531,2.4458,34.5726,
002878.SZ,ิชยกัลอผ,20170608,22.94,25.23,25.23,25.23,25.23,5200,131196,2.29,9.9826,25.23,0.0276,475333200,,1901332800,18840000,0,75360000,37.8369,8.2828,2.69,38.0238,
002878.SZ,ิชยกัลอผ,20170609,25.23,27.75,27.75,27.75,27.75,3400,94350,2.52,9.9881,27.75,0.018,522810000,,2091240000,18840000,0,75360000,41.6161,9.1101,2.9587,41.8216,
002878.SZ,ิชยกัลอผ,20170612,27.75,30.53,30.53,30.53,30.53,16600,506798,2.78,10.018,30.53,0.0881,575185200,,2300740800,18840000,0,75360000,45.7853,10.0228,3.2551,46.0113,
002878.SZ,ิชยกัลอผ,20170613,30.53,33.58,33.58,33.58,33.58,24600,826068,3.05,9.9902,33.58,0.1306,632647200,,2530588800,18840000,0,75360000,50.3593,11.0241,3.5803,50.6079,
002878.SZ,ิชยกัลอผ,20170614,33.58,36.94,36.94,36.94,36.94,89000,3287660,3.36,10.006,36.94,0.4724,695949600,,2783798400,18840000,0,75360000,55.3982,12.1271,3.9385,55.6718,
002878.SZ,ิชยกัลอผ,20170615,36.94,40.63,40.63,40.63,40.63,222200,9027986,3.69,9.9892,40.63,1.1794,765469200,,3061876800,18840000,0,75360000,60.932,13.3385,4.3319,61.2329,
002878.SZ,ิชยกัลอผ,20170616,40.63,44.69,44.69,42.32,43,12012822,525239964,2.37,5.8331,43.7233,63.7623,810120000,,3240480000,18840000,0,75360000,64.4863,14.1166,4.5846,64.8047,
002878.SZ,ิชยกัลอผ,20170619,43,41,41.6,38.75,38.75,8836146,351891575,-4.25,-9.8837,39.8241,46.901,730050000,,2920200000,18840000,0,75360000,58.1126,12.7213,4.1315,58.3996,
002878.SZ,ิชยกัลอผ,20170620,38.75,38.85,39.85,38.13,38.89,6216310,242359275,0.14,0.3613,38.9876,32.9953,732687600,,2930750400,18840000,0,75360000,58.3226,12.7673,4.1464,58.6106,
002878.SZ,ิชยกัลอผ,20170621,38.89,38.78,40.38,38.46,39.3,5105953,201465422,0.41,1.0543,39.457,27.1017,740412000,,2961648000,18840000,0,75360000,58.9375,12.9019,4.1901,59.2285,
002878.SZ,ิชยกัลอผ,20170622,39.3,39.54,39.56,37.7,37.93,5038960,193879213,-1.37,-3.486,38.476,26.7461,714601200,,2858404800,18840000,0,75360000,56.8829,12.4521,4.0441,57.1638,
002878.SZ,ิชยกัลอผ,20170623,37.93,37.5,37.99,35.81,36.63,3912937,144467044,-1.3,-3.4274,36.9204,20.7693,690109200,,2760436800,18840000,0,75360000,54.9333,12.0254,3.9055,55.2046,
002878.SZ,ิชยกัลอผ,20170626,36.63,36.31,36.98,35.84,36.75,2576222,93936879,0.12,0.3276,36.463,13.6742,692370000,,2769480000,18840000,0,75360000,55.1133,12.0648,3.9183,55.3854,
002878.SZ,ิชยกัลอผ,20170627,36.75,36.66,37.2,36.22,36.88,2944333,108171519,0.13,0.3537,36.7389,15.6281,694819200,,2779276800,18840000,0,75360000,55.3082,12.1074,3.9321,55.5813,
002878.SZ,ิชยกัลอผ,20170628,36.88,36.51,36.7,35.55,35.57,2294849,82502732,-1.31,-3.5521,35.9513,12.1807,670138800,,2680555200,18840000,0,75360000,53.3436,11.6774,3.7924,53.607,
002878.SZ,ิชยกัลอผ,20170629,35.57,35.56,35.98,35.37,35.58,1481555,52867287,0.01,0.0281,35.6836,7.8639,670327200,,2681308800,18840000,0,75360000,53.3586,11.6807,3.7935,53.6221,
002878.SZ,ิชยกัลอผ,20170630,35.58,35.48,38.4,35.42,36.81,3638407,134446012,1.23,3.457,36.9519,19.3121,693500400,,2774001600,18840000,0,75360000,55.2032,12.0845,3.9247,55.4758,
