代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600273.SH,嘉化能源,20070104,3.9284,3.9284,3.9702,3.9284,3.9562,3247933,9189525,0.0279,0.7092,2.8293,2.7134,339948000,,610600000,119700000,0,215000000,41.6659,0.9785,0.3313,-3.4124,
600273.SH,嘉化能源,20070105,3.9562,3.9562,4.0259,3.9144,4.012,2254021,6434691,0.0557,1.4085,2.8548,1.8831,344736000,,619200000,119700000,0,215000000,42.2527,0.9922,0.3359,-3.4604,
600273.SH,嘉化能源,20070108,4.012,4.0259,4.1373,4.012,4.1373,3812349,11198145,0.1254,3.125,2.9373,3.1849,355509000,,638550000,119700000,0,215000000,43.5731,1.0232,0.3464,-3.5686,
600273.SH,嘉化能源,20070109,4.1373,4.1373,4.2488,4.1095,4.1931,5790320,17398273,0.0557,1.3468,3.0047,4.8374,360297000,,647150000,119700000,0,215000000,44.16,1.037,0.3511,-3.6166,
600273.SH,嘉化能源,20070110,4.1931,4.207,4.2488,4.1373,4.2488,5617236,16927273,0.0557,1.3289,3.0135,4.6928,365085000,,655750000,119700000,0,215000000,44.7468,1.0508,0.3558,-3.6647,
600273.SH,嘉化能源,20070111,4.2488,4.2627,4.4299,4.2209,4.3184,8860556,27566381,0.0697,1.6393,3.1111,7.4023,371070000,,666500000,119700000,0,215000000,45.4804,1.068,0.3616,-3.7248,
600273.SH,嘉化能源,20070112,4.3184,4.2906,4.3463,4.1513,4.1652,6799261,20737871,-0.1532,-3.5484,3.05,5.6803,357903000,,642850000,119700000,0,215000000,43.8666,1.0301,0.3488,-3.5926,
600273.SH,嘉化能源,20070115,4.1652,4.1513,4.3324,4.1513,4.3184,4618823,14137275,0.1532,3.6789,3.0608,3.8587,371070000,,666500000,119700000,0,215000000,45.4804,1.068,0.3616,-3.7248,
600273.SH,嘉化能源,20070116,4.3184,4.3184,4.402,4.2766,4.3881,5472054,17102373,0.0697,1.6129,3.1254,4.5715,377055000,,677250000,119700000,0,215000000,46.2139,1.0853,0.3674,-3.7848,
600273.SH,嘉化能源,20070117,4.3881,4.3881,4.6249,4.3463,4.4299,10289018,33133560,0.0418,0.9524,3.2203,8.5957,380646000,,683700000,119700000,0,215000000,46.6541,1.0956,0.3709,-3.8209,
