代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
300993.SZ,玉马遮阳,20210524,,33.2,36.68,33,34.74,21615370,755520132,22.64,187.1074,34.9529,69.2283,1084698067.32,,4574563200,31223318,0,131680000,37.989,6.7321,11.8816,61.893,
300993.SZ,玉马遮阳,20210525,34.74,30.5,31.26,28.08,28.76,17827661,523815609,-5.98,-17.2136,29.3822,57.0973,897982625.68,,3787116800,31223318,0,131680000,31.4497,5.5733,9.8364,51.239,
300993.SZ,玉马遮阳,20210526,28.76,27.5,29.9,27.17,28.55,13386492,380140893,-0.21,-0.7302,28.3973,42.8734,891425728.9,,3759464000,31223318,0,131680000,31.2201,5.5326,9.7645,50.8649,
300993.SZ,玉马遮阳,20210527,28.55,27.75,28.3,27.19,27.27,10861315,298740312,-1.28,-4.4834,27.505,34.7859,851459881.86,,3590913600,31223318,0,131680000,29.8204,5.2845,9.3268,48.5844,
300993.SZ,玉马遮阳,20210528,27.27,27.14,27.86,26.4,26.47,9173013,248808795,-0.8,-2.9336,27.124,29.3787,826481227.46,,3485569600,31223318,0,131680000,28.9456,5.1295,9.0532,47.1591,
300993.SZ,玉马遮阳,20210531,26.47,26.08,26.36,25.5,25.73,7366531,189327850,-0.74,-2.7956,25.7011,23.593,803375972.14,,3388126400,31223318,0,131680000,28.1364,4.9861,8.8001,45.8407,
300993.SZ,玉马遮阳,20210601,25.73,25.55,26.23,25.55,25.98,5896791,152753512,0.25,0.9716,25.9045,18.8859,811181801.64,,3421046400,31223318,0,131680000,28.4098,5.0346,8.8856,46.2861,
300993.SZ,玉马遮阳,20210602,25.98,25.81,26.4,25.4,25.92,6147175,159239949,-0.06,-0.2309,25.9046,19.6878,809308402.56,,3413145600,31223318,0,131680000,28.3441,5.0229,8.865,46.1792,
300993.SZ,玉马遮阳,20210603,25.92,25.7,27.49,25.55,27.02,9665541,255746206,1.1,4.2438,26.4596,30.9562,843654052.36,,3557993600,31223318,0,131680000,29.547,5.2361,9.2413,48.139,
300993.SZ,玉马遮阳,20210604,27.02,26.62,26.68,25.81,25.83,6095695,159407724,-1.19,-4.4041,26.1509,19.5229,806498303.94,,3401294400,31223318,0,131680000,28.2457,5.0055,8.8343,46.0189,
300993.SZ,玉马遮阳,20210607,25.83,25.6,25.62,24.7,24.82,5028267,125648824,-1.01,-3.9102,24.9885,16.1042,774962752.76,,3268297600,31223318,0,131680000,27.1413,4.8098,8.4888,44.2195,
300993.SZ,玉马遮阳,20210608,24.82,24.97,25.25,24.84,25.08,3132376,78432382,0.26,1.0475,25.0393,10.0322,783080815.44,,3302534400,31223318,0,131680000,27.4256,4.8601,8.5778,44.6827,
300993.SZ,玉马遮阳,20210609,25.08,24.95,25.61,24.78,25.37,3828092,96400476,0.29,1.1563,25.1824,12.2604,792135577.66,,3340721600,31223318,0,131680000,27.7427,4.9163,8.6769,45.1994,
300993.SZ,玉马遮阳,20210610,25.37,25.24,25.24,24.77,24.81,3446468,86068119,-0.56,-2.2073,24.9728,11.0381,774650519.58,,3266980800,31223318,0,131680000,27.1303,4.8078,8.4854,44.2017,
300993.SZ,玉马遮阳,20210611,24.81,24.79,25.35,24.76,25.08,3050574,76488420,0.27,1.0883,25.0735,9.7702,783080815.44,,3302534400,31223318,0,131680000,27.4256,4.8601,8.5778,44.6827,
300993.SZ,玉马遮阳,20210615,25.08,25.19,25.23,24.34,24.45,3333489,82217916,-0.63,-2.512,24.6642,10.6763,763410125.1,,3219576000,31223318,0,131680000,26.7367,4.7381,8.3623,43.5603,
300993.SZ,玉马遮阳,20210616,24.45,24.45,24.97,24.4,24.69,2624712,64761243,0.24,0.9816,24.6737,8.4063,770903721.42,,3251179200,31223318,0,131680000,26.9991,4.7846,8.4444,43.9879,
300993.SZ,玉马遮阳,20210617,24.69,24.5,24.7,24.2,24.41,2276348,55731179,-0.28,-1.1341,24.4827,7.2905,762161192.38,,3214308800,31223318,0,131680000,26.6929,4.7303,8.3486,43.489,
300993.SZ,玉马遮阳,20210618,24.41,24.33,24.97,24.32,24.78,2713512,67194353,0.37,1.5158,24.7629,8.6907,773713820.04,,3263030400,31223318,0,131680000,27.0975,4.802,8.4751,44.1482,
300993.SZ,玉马遮阳,20210621,24.78,24.66,25.17,24.39,25.1,2701977,67012531,0.32,1.2914,24.8013,8.6537,783705281.8,,3305168000,31223318,0,131680000,27.4475,4.864,8.5846,44.7183,
300993.SZ,玉马遮阳,20210622,25.1,25,25.28,24.89,25.09,2584718,64811208,-0.01,-0.0398,25.0748,8.2782,783393048.62,,3303851200,31223318,0,131680000,27.4365,4.8621,8.5812,44.7005,
300993.SZ,玉马遮阳,20210623,25.09,25.09,25.15,24.42,24.46,3392109,83519751,-0.63,-2.511,24.6218,10.864,763722358.28,,3220892800,31223318,0,131680000,26.7476,4.74,8.3657,43.5781,
300993.SZ,玉马遮阳,20210624,24.46,24.46,28.98,24.45,27.66,13051218,344870642,3.2,13.0826,26.4244,41.7996,863636975.88,,3642268800,31223318,0,131680000,30.2469,5.3601,9.4602,49.2792,
300993.SZ,玉马遮阳,20210625,27.66,26.6,26.79,25.41,25.58,8265992,214676069,-2.08,-7.5199,25.971,26.4738,798692474.44,,3368374400,31223318,0,131680000,27.9723,4.957,8.7488,45.5735,
