¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
002403.SZ,∞Æ À¥Ô,20100511,,19.8,20.8,18.8,18.81,27029935,528125437.7,0.01,0.0532,19.5385,56.3124,902880000,,4514400000,48000000,0,240000000,52.5133,11.036,2.8393,-181.0645,
002403.SZ,∞Æ À¥Ô,20100512,18.81,17.5,17.52,16.93,16.93,10783600,183609952.6,-1.88,-9.9947,17.0268,22.4658,812640000,,4063200000,48000000,0,240000000,47.2648,9.933,2.5555,-162.9676,
002403.SZ,∞Æ À¥Ô,20100513,16.93,16.69,17.36,16.15,17.29,8401830,139869740.5,0.36,2.1264,16.6475,17.5038,829920000,,4149600000,48000000,0,240000000,48.2698,10.1442,2.6099,-166.433,
002403.SZ,∞Æ À¥Ô,20100514,17.29,16.85,17.46,16.71,17.04,5992323,102477193.6,-0.25,-1.4459,17.1014,12.484,817920000,,4089600000,48000000,0,240000000,47.5719,9.9976,2.5721,-164.0265,
002403.SZ,∞Æ À¥Ô,20100517,17.04,16.83,16.83,16.35,16.41,4690359,77674433.6,-0.63,-3.6972,16.5604,9.7716,787680000,,3938400000,48000000,0,240000000,45.8131,9.6279,2.477,-157.9621,
002403.SZ,∞Æ À¥Ô,20100518,16.41,16.31,16.55,15.7,16.32,4290510,69299934.9,-0.09,-0.5484,16.1519,8.9386,783360000,,3916800000,48000000,0,240000000,45.5618,9.5751,2.4634,-157.0958,
002403.SZ,∞Æ À¥Ô,20100519,16.32,16.18,16.95,16.09,16.41,4892882,81124084,0.09,0.5515,16.58,10.1935,787680000,,3938400000,48000000,0,240000000,45.8131,9.6279,2.477,-157.9621,
002403.SZ,∞Æ À¥Ô,20100520,16.41,16.1,16.46,16.02,16.12,3006720,48707575.9,-0.29,-1.7672,16.1996,6.264,773760000,,3868800000,48000000,0,240000000,45.0034,9.4578,2.4333,-155.1706,
002403.SZ,∞Æ À¥Ô,20100521,16.12,15.7,16.4,15.51,16.39,3454072,55420273.5,0.27,1.6749,16.0449,7.196,786720000,,3933600000,48000000,0,240000000,45.7572,9.6162,2.474,-157.7696,
002403.SZ,∞Æ À¥Ô,20100524,16.39,16.44,17.69,16.44,17.5,7498401,128922667.5,1.11,6.7724,17.1934,15.6217,840000000,,4200000000,48000000,0,240000000,48.8561,10.2674,2.6416,-168.4544,
002403.SZ,∞Æ À¥Ô,20100525,17.5,17.2,17.37,16.71,16.86,4469259,75896159.7,-0.64,-3.6571,16.9818,9.311,809280000,,4046400000,48000000,0,240000000,47.0694,9.8919,2.545,-162.2938,
002403.SZ,∞Æ À¥Ô,20100526,16.86,16.68,17.17,16.68,16.82,2473566,41882835.5,-0.04,-0.2372,16.9322,5.1533,807360000,,4036800000,48000000,0,240000000,46.9577,9.8685,2.5389,-161.9088,
002403.SZ,∞Æ À¥Ô,20100527,16.82,16.8,17.31,16.65,17.2,3692494,63133637.6,0.38,2.2592,17.0978,7.6927,825600000,,4128000000,48000000,0,240000000,48.0186,10.0914,2.5963,-165.5667,
002403.SZ,∞Æ À¥Ô,20100528,17.2,17.41,17.5,17.03,17.12,3285145,56785916,-0.08,-0.4651,17.2857,6.8441,821760000,,4108800000,48000000,0,240000000,47.7952,10.0445,2.5842,-164.7966,
002403.SZ,∞Æ À¥Ô,20100531,17.12,16.95,17.16,16.46,16.5,2880512,48484939.4,-0.62,-3.6215,16.8321,6.0011,792000000,,3960000000,48000000,0,240000000,46.0643,9.6807,2.4906,-158.8285,
002403.SZ,∞Æ À¥Ô,20100601,16.5,16.46,16.46,15.81,16.07,2437263,39247953,-0.43,-2.6061,16.1033,5.0776,771360000,,3856800000,48000000,0,240000000,44.8639,9.4284,2.4257,-154.6893,
002403.SZ,∞Æ À¥Ô,20100602,16.07,16,16.28,15.82,16.27,1319662,21258994.2,0.2,1.2446,16.1094,2.7493,780960000,,3904800000,48000000,0,240000000,45.4222,9.5458,2.4559,-156.6145,
002403.SZ,∞Æ À¥Ô,20100603,16.27,16.2,16.66,16.12,16.12,1993664,32727091.6,-0.15,-0.9219,16.4156,4.1535,773760000,,3868800000,48000000,0,240000000,45.0034,9.4578,2.4333,-155.1706,
