╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
300582.SZ,с╒╥иль,20161228,,17.82,21.38,17.82,21.38,12758,272065,6.53,43.9731,21.3251,0.0387,705540000,,2822160000,33000000,0,132000000,32.2002,6.5753,5.3577,-147.7957,
300582.SZ,с╒╥иль,20161229,21.38,23.52,23.52,23.52,23.52,6159,144859,2.14,10.0094,23.5199,0.0187,776160000,,3104640000,33000000,0,132000000,35.4232,7.2334,5.894,-162.5891,
300582.SZ,с╒╥иль,20161230,23.52,25.87,25.87,25.87,25.87,5659,146398,2.35,9.9915,25.8699,0.0171,853710000,,3414840000,33000000,0,132000000,38.9625,7.9562,6.4829,-178.8342,
300582.SZ,с╒╥иль,20170103,25.87,28.46,28.46,28.46,28.46,2000,56920,2.59,10.0116,28.46,0.0061,939180000,,3756720000,33000000,0,132000000,42.8633,8.7527,5.748,7.6156,
300582.SZ,с╒╥иль,20170104,28.46,31.31,31.31,31.31,31.31,7883,246816,2.85,10.0141,31.3099,0.0239,1033230000,,4132920000,33000000,0,132000000,47.1557,9.6292,6.3236,8.3782,
300582.SZ,с╒╥иль,20170105,31.31,34.44,34.44,34.44,34.44,9599,330589,3.13,9.9968,34.4399,0.0291,1136520000,,4546080000,33000000,0,132000000,51.8697,10.5918,6.9557,9.2158,
300582.SZ,с╒╥иль,20170106,34.44,37.88,37.88,37.88,37.88,20359,771198,3.44,9.9884,37.88,0.0617,1250040000,,5000160000,33000000,0,132000000,57.0507,11.6498,7.6505,10.1363,
300582.SZ,с╒╥иль,20170109,37.88,41.67,41.67,41.67,41.67,39490,1645548,3.79,10.0053,41.67,0.1197,1375110000,,5500440000,33000000,0,132000000,62.7588,12.8154,8.4159,11.1504,
300582.SZ,с╒╥иль,20170110,41.67,45.84,45.84,45.84,45.84,196688,9016177,4.17,10.0072,45.84,0.596,1512720000,,6050880000,33000000,0,132000000,69.0391,14.0978,9.2582,12.2663,
300582.SZ,с╒╥иль,20170111,45.84,45,49,41.6,42.54,17610102,768713394,-3.3,-7.199,43.6518,53.3639,1403820000,,5615280000,33000000,0,132000000,64.069,13.0829,8.5917,11.3832,
300582.SZ,с╒╥иль,20170112,42.54,40.03,41.1,38.29,38.29,11580265,456840153,-4.25,-9.9906,39.4499,35.0917,1263570000,,5054280000,33000000,0,132000000,57.6682,11.7759,7.7333,10.246,
300582.SZ,с╒╥иль,20170113,38.29,37.55,38.3,36.04,36.04,8593929,316491075,-2.25,-5.8762,36.8273,26.0422,1189320000,,4757280000,33000000,0,132000000,54.2795,11.0839,7.2789,9.6439,
300582.SZ,с╒╥иль,20170116,36.04,35.5,36.68,33.1,34.8,7209400,253987227,-1.24,-3.4406,35.23,21.8467,1148400000,,4593600000,33000000,0,132000000,52.4119,10.7025,7.0284,9.3121,
300582.SZ,с╒╥иль,20170117,34.8,34.8,36.76,32.67,35.8,9038126,314608537,1,2.8736,34.809,27.3883,1181400000,,4725600000,33000000,0,132000000,53.918,11.0101,7.2304,9.5797,
300582.SZ,с╒╥иль,20170118,35.8,34.8,34.98,33.03,33.13,6339646,216006635,-2.67,-7.4581,34.0723,19.211,1093290000,,4373160000,33000000,0,132000000,49.8967,10.1889,6.6912,8.8652,
300582.SZ,с╒╥иль,20170119,33.13,32.4,33.64,31.88,32.57,4887038,160167659,-0.56,-1.6903,32.774,14.8092,1074810000,,4299240000,33000000,0,132000000,49.0533,10.0167,6.5781,8.7154,
300582.SZ,с╒╥иль,20170120,32.57,32.61,34.33,32.47,33.7,5261374,177106458,1.13,3.4695,33.6616,15.9436,1112100000,,4448400000,33000000,0,132000000,50.7552,10.3642,6.8063,9.0177,
300582.SZ,с╒╥иль,20170123,33.7,33.55,34.97,33.42,34.23,4530712,155659580,0.53,1.5727,34.3565,13.7294,1129590000,,4518360000,33000000,0,132000000,51.5534,10.5272,6.9133,9.1596,
300582.SZ,с╒╥иль,20170124,34.23,34.09,34.18,32.87,32.88,3668603,122146912,-1.35,-3.9439,33.2952,11.117,1085040000,,4340160000,33000000,0,132000000,49.5202,10.1121,6.6407,8.7983,
300582.SZ,с╒╥иль,20170125,32.88,32.7,34.39,32.5,33.64,3332700,111535268,0.76,2.3114,33.4669,10.0991,1110120000,,4440480000,33000000,0,132000000,50.6649,10.3458,6.7942,9.0017,
300582.SZ,с╒╥иль,20170126,33.64,33.42,33.99,33.15,33.85,3143823,105725927,0.21,0.6243,33.6297,9.5267,1117050000,,4468200000,33000000,0,132000000,50.9811,10.4104,6.8366,9.0579,
300582.SZ,с╒╥иль,20170203,33.85,33.7,34.78,33.15,34.34,3720981,126709674,0.49,1.4476,34.0528,11.2757,1133220000,,4532880000,33000000,0,132000000,51.7191,10.5611,6.9355,9.189,
300582.SZ,с╒╥иль,20170206,34.34,34.69,37.77,34.69,37.77,9169633,338798699,3.43,9.9884,36.9479,27.7868,1246410000,,4985640000,33000000,0,132000000,56.885,11.6159,7.6283,10.1068,
300582.SZ,с╒╥иль,20170207,37.77,37.85,39.7,37.5,38.6,11493221,440856429,0.83,2.1975,38.358,34.8279,1273800000,,5095200000,33000000,0,132000000,58.1351,11.8712,7.7959,10.3289,
300582.SZ,с╒╥иль,20170208,38.6,38.01,40.6,37.3,39.53,9566184,370285592,0.93,2.4093,38.7078,28.9884,1304490000,,5217960000,33000000,0,132000000,59.5357,12.1572,7.9837,10.5778,
300582.SZ,с╒╥иль,20170209,39.53,39,39.43,37.88,38.27,6696555,259182666,-1.26,-3.1875,38.7039,20.2926,1262910000,,5051640000,33000000,0,132000000,57.638,11.7697,7.7293,10.2406,
300582.SZ,с╒╥иль,20170210,38.27,37.9,38.32,36.2,36.3,6370796,236767725,-1.97,-5.1476,37.1645,19.3054,1197900000,,4791600000,33000000,0,132000000,54.671,11.1639,7.3314,9.7135,
300582.SZ,с╒╥иль,20170213,36.3,36.45,39.93,36.3,39.93,9728977,373368641,3.63,10,38.377,29.4817,1317690000,,5270760000,33000000,0,132000000,60.1382,12.2802,8.0645,10.6848,
300582.SZ,с╒╥иль,20170214,39.93,40.48,41.49,39.09,39.9,11209144,453877687,-0.03,-0.0751,40.4917,33.9671,1316700000,,5266800000,33000000,0,132000000,60.093,12.271,8.0585,10.6768,
300582.SZ,с╒╥иль,20170215,39.9,40.6,42.5,40.2,40.51,9969865,411519124,0.61,1.5288,41.2763,30.2117,1336830000,,5347320000,33000000,0,132000000,61.0117,12.4586,8.1817,10.84,
300582.SZ,с╒╥иль,20170216,40.51,39.58,40.38,38.53,39.8,6401519,252074802,-0.71,-1.7527,39.3773,19.3985,1313400000,,5253600000,33000000,0,132000000,59.9424,12.2403,8.0383,10.65,
300582.SZ,с╒╥иль,20170217,39.8,39.33,41.26,38.55,38.8,5830425,232306254,-1,-2.5126,39.8438,17.668,1280400000,,5121600000,33000000,0,132000000,58.4363,11.9327,7.8363,10.3825,
300582.SZ,с╒╥иль,20170220,38.8,38.1,38.49,36.02,37.65,5825583,216348656,-1.15,-2.9639,37.1377,17.6533,1242450000,,4969800000,33000000,0,132000000,56.7043,11.579,7.604,10.0747,
300582.SZ,с╒╥иль,20170221,37.65,37.64,40.35,37.2,39.35,5768244,223959140,1.7,4.5153,38.8262,17.4795,1298550000,,5194200000,33000000,0,132000000,59.2646,12.1019,7.9474,10.5296,
300582.SZ,с╒╥иль,20170222,39.35,39,39.46,38,38.68,4233565,163770350,-0.67,-1.7027,38.6838,12.829,1276440000,,5105760000,33000000,0,132000000,58.2555,11.8958,7.8121,10.3503,
300582.SZ,с╒╥иль,20170223,38.68,38.36,40.49,38.36,40.06,6683483,265619675,1.38,3.5677,39.7427,20.253,1321980000,,5287920000,33000000,0,132000000,60.3339,12.3202,8.0908,10.7196,
300582.SZ,с╒╥иль,20170224,40.06,39.9,41.57,39.71,40.68,7705440,313666526,0.62,1.5477,40.7072,23.3498,1342440000,,5369760000,33000000,0,132000000,61.2677,12.5109,8.216,10.8855,
300582.SZ,с╒╥иль,20170227,40.68,40,41.89,39.66,41.27,6729774,274663824,0.59,1.4503,40.8132,20.3933,1361910000,,5447640000,33000000,0,132000000,76.7983,12.6924,8.3352,11.0434,
300582.SZ,с╒╥иль,20170228,41.27,41.01,41.15,39.8,40.89,5013573,202802274,-0.38,-0.9208,40.4506,15.1926,1349370000,,5397480000,33000000,0,132000000,76.0912,12.5755,8.2584,10.9417,
300582.SZ,с╒╥иль,20170301,40.89,40.59,41.25,39.27,39.33,4850285,194746112,-1.56,-3.8151,40.1515,14.6978,1297890000,,5191560000,33000000,0,132000000,73.1882,12.0957,7.9433,10.5243,
300582.SZ,с╒╥иль,20170302,39.33,39.16,40.53,39.16,39.85,4164745,166461209,0.52,1.3221,39.9691,12.6204,1315050000,,5260200000,33000000,0,132000000,74.1559,12.2556,8.0484,10.6634,
300582.SZ,с╒╥иль,20170303,39.85,39.55,39.55,38.42,38.98,4968306,192731231,-0.87,-2.1832,38.7921,15.0555,1286340000,,5145360000,33000000,0,132000000,72.5369,11.9881,7.8727,10.4306,
300582.SZ,с╒╥иль,20170306,38.98,38.96,40.57,38.8,40.37,4808416,191307039,1.39,3.5659,39.7859,14.571,1332210000,,5328840000,33000000,0,132000000,75.1235,12.4156,8.1534,10.8026,
300582.SZ,с╒╥иль,20170307,40.37,40.22,41.6,40.21,41.59,7319341,300348534,1.22,3.022,41.0349,22.1798,1372470000,,5489880000,33000000,0,132000000,77.3938,12.7908,8.3998,11.129,
300582.SZ,с╒╥иль,20170308,41.59,41.5,42.7,41.35,42.37,8508563,357011231,0.78,1.8755,41.9591,25.7835,1398210000,,5592840000,33000000,0,132000000,78.8453,13.0307,8.5573,11.3377,
300582.SZ,с╒╥иль,20170309,42.37,42.11,42.11,40.45,40.9,5780158,237818976,-1.47,-3.4694,41.144,17.5156,1349700000,,5398800000,33000000,0,132000000,76.1098,12.5786,8.2604,10.9444,
300582.SZ,с╒╥иль,20170310,40.9,40.81,41.96,40.66,40.9,4779322,197372683,0,0,41.2972,14.4828,1349700000,,5398800000,33000000,0,132000000,76.1098,12.5786,8.2604,10.9444,
300582.SZ,с╒╥иль,20170313,40.9,40.8,41.88,39.66,41.76,4935933,201694962,0.86,2.1027,40.8626,14.9574,1378080000,,5512320000,33000000,0,132000000,77.7101,12.8431,8.4341,11.1745,
300582.SZ,с╒╥иль,20170314,41.76,41.69,43.2,41.5,42.32,8505222,362135193,0.56,1.341,42.578,25.7734,1396560000,,5586240000,33000000,0,132000000,78.7522,13.0153,8.5472,11.3244,
300582.SZ,с╒╥иль,20170315,42.32,41.83,42.99,41.6,42.19,5323872,225008662,-0.13,-0.3072,42.2641,16.1329,1392270000,,5569080000,33000000,0,132000000,78.5103,12.9753,8.521,11.2896,
300582.SZ,с╒╥иль,20170316,42.19,42.3,44.39,42.3,43.6,8219678,358287967,1.41,3.342,43.5891,24.9081,1438800000,,5755200000,33000000,0,132000000,81.1341,13.4089,8.8057,11.6669,
300582.SZ,с╒╥иль,20170317,43.6,43.2,44.3,41,41.54,8247788,353429090,-2.06,-4.7248,42.8514,24.9933,1370820000,,5483280000,33000000,0,132000000,77.3007,12.7754,8.3897,11.1156,
300582.SZ,с╒╥иль,20170320,41.54,41.6,43.29,41.31,43.18,4895673,207162926,1.64,3.948,42.3155,14.8354,1424940000,,5699760000,33000000,0,132000000,80.3526,13.2798,8.7209,11.5545,
300582.SZ,с╒╥иль,20170321,43.18,43.2,44.19,42.62,43.87,6220089,270607244,0.69,1.598,43.5054,18.8488,1447710000,,5790840000,33000000,0,132000000,81.6366,13.492,8.8603,11.7391,
300582.SZ,с╒╥иль,20170322,43.87,43.41,44.46,42.8,44.03,6379963,277959593,0.16,0.3647,43.5676,19.3332,1452990000,,5811960000,33000000,0,132000000,81.9343,13.5412,8.8926,11.7819,
300582.SZ,с╒╥иль,20170323,44.03,43.95,44.49,41.72,43.41,6363994,276474311,-0.62,-1.4081,43.4435,19.2848,1432530000,,5730120000,33000000,0,132000000,80.7806,13.3505,8.7674,11.616,
300582.SZ,с╒╥иль,20170324,43.41,42.99,44.1,42.9,43.41,4676702,203859673,0,0,43.5905,14.1718,1432530000,,5730120000,33000000,0,132000000,80.7806,13.3505,8.7674,11.616,
300582.SZ,с╒╥иль,20170327,43.41,43.59,43.86,42.4,43.26,3863606,166547774,-0.15,-0.3455,43.1068,11.7079,1427580000,,5710320000,33000000,0,132000000,80.5014,13.3044,8.7371,11.5759,
300582.SZ,с╒╥иль,20170328,43.26,43.1,43.66,41.32,41.36,4574912,193952338,-1.9,-4.392,42.3948,13.8634,1364880000,,5459520000,33000000,0,132000000,76.9658,12.72,8.3533,11.0675,
300582.SZ,с╒╥иль,20170329,41.36,41.01,41.27,37.75,37.81,5755736,226597246,-3.55,-8.5832,39.3689,17.4416,1247730000,,4990920000,33000000,0,132000000,70.3597,11.6283,7.6364,10.1175,
300582.SZ,с╒╥иль,20170330,37.81,37.5,37.5,35.9,36.63,3674894,135023147,-1.18,-3.1209,36.7421,11.136,1208790000,,4835160000,33000000,0,132000000,68.1638,11.2653,7.398,9.8018,
300582.SZ,с╒╥иль,20170331,36.63,36.7,37.41,36.06,36.49,2297126,84490136,-0.14,-0.3822,36.7808,6.961,1204170000,,4816680000,33000000,0,132000000,67.9033,11.2223,7.3698,9.7643,
300582.SZ,с╒╥иль,20170405,36.49,36.47,37.26,36.01,37.17,2037004,75047332,0.68,1.8635,36.842,6.1727,1226610000,,4906440000,33000000,0,132000000,69.1687,11.4314,7.5071,9.9463,
300582.SZ,с╒╥иль,20170406,37.17,37.12,37.88,36.71,37.36,2308784,86461124,0.19,0.5112,37.4488,6.9963,1232880000,,4931520000,33000000,0,132000000,69.5223,11.4899,7.5455,9.9971,
