´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
003010.SZ,ÈôÓð³¼,20200925,,18.24,21.89,18.24,21.89,132037,2883491,6.69,44.0132,21.8385,0.4339,666112700,,2664009497.6,30430000,0,121699840,28.6281,4.5542,2.7783,-90.0777,
003010.SZ,ÈôÓð³¼,20200928,21.89,24.08,24.08,24.08,24.08,52716,1269401,2.19,10.0046,24.08,0.1732,732754400,,2930532147.2,30430000,0,121699840,31.4923,5.0099,3.0562,-99.0896,
003010.SZ,ÈôÓð³¼,20200929,24.08,26.49,26.49,26.49,26.49,118998,3152257,2.41,10.0083,26.49,0.3911,806090700,,3223828761.6,30430000,0,121699840,34.6441,5.5113,3.3621,-109.0068,
003010.SZ,ÈôÓð³¼,20200930,26.49,29.14,29.14,29.14,29.14,223944,6525728,2.65,10.0038,29.14,0.7359,886730200,,3546333337.6,30430000,0,121699840,38.1098,6.0626,3.6985,-119.9115,
003010.SZ,ÈôÓð³¼,20201009,29.14,32.05,32.05,32.05,32.05,175156,5613749,2.91,9.9863,32.05,0.5756,975281500,,3900479872,30430000,0,121699840,41.9156,6.668,4.0678,-131.8862,
003010.SZ,ÈôÓð³¼,20201012,32.05,35.26,35.26,35.26,35.26,147862,5213614,3.21,10.0156,35.26,0.4859,1072961800,,4291136358.4,30430000,0,121699840,46.1137,7.3359,4.4752,-145.0954,
003010.SZ,ÈôÓð³¼,20201013,35.26,38.79,38.79,38.79,38.79,141416,5485526,3.53,10.0113,38.79,0.4647,1180379700,,4720736793.6,30430000,0,121699840,50.7303,8.0703,4.9232,-159.6214,
003010.SZ,ÈôÓð³¼,20201014,38.79,42.67,42.67,42.67,42.67,156541,6679604,3.88,10.0026,42.67,0.5144,1298448100,,5192932172.8,30430000,0,121699840,55.8046,8.8775,5.4157,-175.5877,
003010.SZ,ÈôÓð³¼,20201015,42.67,46.94,46.94,46.94,46.94,324945,15252918,4.27,10.007,46.94,1.0678,1428384200,,5712590489.6,30430000,0,121699840,61.389,9.7659,5.9576,-193.1588,
003010.SZ,ÈôÓð³¼,20201016,46.94,51.63,51.63,51.63,51.63,3267602,168706291,4.69,9.9915,51.63,10.7381,1571100900,,6283362739.2,30430000,0,121699840,67.5227,10.7417,6.5529,-212.4582,
003010.SZ,ÈôÓð³¼,20201019,51.63,54.01,56,51.4,53.5,21737009,1168113896,1.87,3.6219,53.7385,71.4328,1628005000,,6510941440,30430000,0,121699840,69.9683,11.1307,6.7902,-220.1533,
003010.SZ,ÈôÓð³¼,20201020,53.5,51,53.2,50.8,52.8,13781348,715694691,-0.7,-1.3084,51.9321,45.2887,1606704000,,6425751552,30430000,0,121699840,69.0528,10.9851,6.7014,-217.2728,
003010.SZ,ÈôÓð³¼,20201021,52.8,54.8,56.1,52.38,52.75,14813164,801270567,-0.05,-0.0947,54.0918,48.6795,1605182500,,6419666560,30430000,0,121699840,68.9874,10.9747,6.6951,-217.067,
003010.SZ,ÈôÓð³¼,20201022,52.75,49.01,50.78,47.48,47.48,13097107,635131782,-5.27,-9.9905,48.4941,43.0401,1444816400,,5778308403.2,30430000,0,121699840,62.0952,9.8782,6.0262,-195.3809,
003010.SZ,ÈôÓð³¼,20201023,47.48,48.26,48.83,45.16,46.31,10548847,499458640,-1.17,-2.4642,47.3472,34.6659,1409213300,,5635919590.4,30430000,0,121699840,60.5651,9.6348,5.8777,-190.5663,
003010.SZ,ÈôÓð³¼,20201026,46.31,45.5,46.45,43.37,45.97,6434697,289035128,-0.34,-0.7342,44.9182,21.1459,1398867100,,5594541644.8,30430000,0,121699840,55.418,5.4532,5.8345,-189.1672,
003010.SZ,ÈôÓð³¼,20201027,45.97,46,46.7,44.18,46.68,6507057,296175323,0.71,1.5445,45.516,21.3837,1420472400,,5680948531.2,30430000,0,121699840,56.274,5.5374,5.9246,-192.0889,
003010.SZ,ÈôÓð³¼,20201028,46.68,45.99,46.21,43.89,44,5515694,248925158,-2.68,-5.7412,45.1303,18.1258,1338920000,,5354792960,30430000,0,121699840,53.0432,5.2195,5.5845,-181.0607,
003010.SZ,ÈôÓð³¼,20201029,44,42.6,45.3,42.47,43.81,5247593,229394473,-0.19,-0.4318,43.7142,17.2448,1333138300,,5331669990.4,30430000,0,121699840,52.8141,5.197,5.5604,-180.2788,
003010.SZ,ÈôÓð³¼,20201030,43.81,44.36,44.8,40.8,40.87,5373703,230270587,-2.94,-6.7108,42.8514,17.6592,1243674100,,4973872460.8,30430000,0,121699840,49.2699,4.8482,5.1872,-168.1807,
003010.SZ,ÈôÓð³¼,20201102,40.87,41.2,41.88,40.09,41.62,4202557,172571292,0.75,1.8351,41.0634,13.8106,1266496600,,5065147340.8,30430000,0,121699840,50.174,4.9372,5.2824,-171.2669,
003010.SZ,ÈôÓð³¼,20201103,41.62,41.6,44.45,41.3,43.7,5684718,244844736,2.08,4.9976,43.0707,18.6813,1329791000,,5318283008,30430000,0,121699840,52.6815,5.1839,5.5464,-179.8262,
003010.SZ,ÈôÓð³¼,20201104,43.7,43.43,44.1,42.52,43.15,3525258,152349088,-0.55,-1.2586,43.2164,11.5848,1313054500,,5251348096,30430000,0,121699840,52.0185,5.1187,5.4766,-177.5629,
003010.SZ,ÈôÓð³¼,20201105,43.15,44,44.46,42.71,43.07,3756866,162562490,-0.08,-0.1854,43.2708,12.3459,1310620100,,5241612108.8,30430000,0,121699840,51.922,5.1092,5.4665,-177.2337,
003010.SZ,ÈôÓð³¼,20201106,43.07,42.88,43.19,40.79,41.2,4019753,167514751,-1.87,-4.3418,41.6729,13.2098,1253716000,,5014033408,30430000,0,121699840,49.6677,4.8874,5.2291,-169.5386,
003010.SZ,ÈôÓð³¼,20201109,41.2,41.61,44.38,41.42,44.36,5289375,227582491,3.16,7.6699,43.0263,17.3821,1349874800,,5398604902.4,30430000,0,121699840,53.4771,5.2622,5.6302,-182.5421,
003010.SZ,ÈôÓð³¼,20201110,44.36,43.41,43.87,41.29,41.81,4708429,199773935,-2.55,-5.7484,42.429,15.473,1272278300,,5088270310.4,30430000,0,121699840,50.403,4.9597,5.3065,-172.0488,
003010.SZ,ÈôÓð³¼,20201111,41.81,41,41.16,40.02,40.63,2912901,118150147,-1.18,-2.8223,40.561,9.5725,1236370900,,4944664499.2,30430000,0,121699840,48.9805,4.8198,5.1568,-167.1931,
003010.SZ,ÈôÓð³¼,20201112,40.63,41.15,41.52,38.7,38.98,3453187,136668614,-1.65,-4.061,39.5775,11.348,1186161400,,4743859763.2,30430000,0,121699840,46.9914,4.624,4.9474,-160.4033,
