╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
688516.SH,╟бльн╛,20200521,,55.02,64.64,55,62.2,14857807,899312199,38.92,167.1821,60.5279,73.4794,1257706329.8,,6137274000,20220359,0,98670000,65.8628,13.3111,8.1374,74.1829,
688516.SH,╟бльн╛,20200522,62.2,61.6,70.1,61.52,64.3,12906722,845383815,2.1,3.3762,65.4995,63.8303,1300169083.7,,6344481000,20220359,0,98670000,68.0865,13.7605,8.4122,76.6874,
688516.SH,╟бльн╛,20200525,64.3,64.2,64.2,55.43,56.68,9882032,578682764,-7.62,-11.8507,58.5591,48.8717,1146089948.12,,5592615600,20220359,0,98670000,60.0178,12.1298,7.4153,67.5994,
688516.SH,╟бльн╛,20200526,56.68,55.5,64.22,55.4,61.16,10408688,620106602,4.48,7.904,59.5759,51.4763,1236677156.44,,6034657200,20220359,0,98670000,64.7616,13.0885,8.0014,72.9425,
688516.SH,╟бльн╛,20200527,61.16,59.27,60.98,56.88,58.89,8731981,512032410,-2.27,-3.7116,58.6387,43.1841,1190776941.51,,5810676300,20220359,0,98670000,62.3579,12.6027,7.7044,70.2352,
688516.SH,╟бльн╛,20200528,58.89,58.31,59.8,54.5,56.4,7084046,399717593,-2.49,-4.2282,56.425,35.0342,1140428247.6,,5564988000,20220359,0,98670000,59.7213,12.0699,7.3786,67.2655,
688516.SH,╟бльн╛,20200529,56.4,55.5,56.7,53.9,53.98,5804096,318518861,-2.42,-4.2908,54.8783,28.7042,1091494978.82,,5326206600,20220359,0,98670000,57.1588,11.552,7.062,64.3793,
688516.SH,╟бльн╛,20200601,53.98,54.88,58.44,53.98,57.87,7640402,431970281,3.89,7.2064,56.5376,37.7857,1170152175.33,,5710032900,20220359,0,98670000,61.2778,12.3845,7.571,69.0187,
688516.SH,╟бльн╛,20200602,57.87,57.39,60.78,56.65,60.13,8126534,476043484,2.26,3.9053,58.5789,40.1899,1215850186.67,,5933027100,20220359,0,98670000,63.6709,12.8681,7.8666,71.7141,
688516.SH,╟бльн╛,20200603,60.13,59,59.99,57.8,57.97,5327243,311980974,-2.16,-3.5922,58.5633,26.3459,1172174211.23,,5719899900,20220359,0,98670000,61.3837,12.4059,7.584,69.138,
