´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
600572.SH,¿µ¶÷±´,20070104,11.4725,11.5145,12.397,11.4725,12.1588,4342318,37152643,0.6864,5.9829,8.5559,6.601,570992438.52,,1190896000,65782539,0,137200000,22.2291,2.2014,0.9309,-18.0486,
600572.SH,¿µ¶÷±´,20070105,12.1588,12.1869,12.481,11.9908,12.355,3319164,29230670,0.1961,1.6129,8.8066,5.0457,580201993.98,,1210104000,65782539,0,137200000,22.5876,2.2369,0.9459,-18.3397,
600572.SH,¿µ¶÷±´,20070108,12.355,12.2849,13.4196,12.2289,12.9713,4074585,37841659,0.6163,4.9887,9.2872,6.194,609146311.14,,1270472000,65782539,0,137200000,23.7145,2.3485,0.9931,-19.2546,
600572.SH,¿µ¶÷±´,20070109,12.9713,13.0273,13.1114,12.7612,12.9153,2893732,26631617,-0.056,-0.432,9.2032,4.3989,606515009.58,,1264984000,65782539,0,137200000,23.612,2.3383,0.9888,-19.1714,
600572.SH,¿µ¶÷±´,20070110,12.9153,13.0273,13.3075,12.8452,13.1114,1760876,16386931,0.1961,1.5184,9.3061,2.6768,615724565.04,,1284192000,65782539,0,137200000,23.9706,2.3738,1.0038,-19.4626,
600572.SH,¿µ¶÷±´,20070111,13.1114,13.1674,13.5036,12.9713,13.1114,3459156,32796796,0,0,9.4812,5.2585,615724565.04,,1284192000,65782539,0,137200000,23.9706,2.3738,1.0038,-19.4626,
600572.SH,¿µ¶÷±´,20070112,13.1114,13.0273,13.1814,12.369,12.411,2956220,27171060,-0.7004,-5.3419,9.1911,4.4939,582833295.54,,1215592000,65782539,0,137200000,22.6901,2.247,0.9502,-18.4229,
600572.SH,¿µ¶÷±´,20070115,12.411,12.495,13.6577,12.495,13.6437,4451109,42637396,1.2327,9.9323,9.5791,6.7664,640721929.86,,1336328000,65782539,0,137200000,24.9437,2.4702,1.0445,-20.2527,
600572.SH,¿µ¶÷±´,20070116,13.6437,13.7277,14.218,13.7277,14.0219,2841881,28326421,0.3782,2.7721,9.9675,4.3201,658483215.39,,1373372000,65782539,0,137200000,25.6352,2.5387,1.0735,-20.8141,
600572.SH,¿µ¶÷±´,20070117,14.0219,14.0499,14.8203,13.6717,13.8958,3412482,34512860,-0.1261,-0.8991,10.1137,5.1875,652562786.88,,1361024000,65782539,0,137200000,25.4047,2.5158,1.0638,-20.627,
600572.SH,¿µ¶÷±´,20070118,13.8958,13.9098,15.2686,13.8398,15.2686,3067017,31557004,1.3728,9.879,10.2892,4.6624,717029675.1,,1495480000,65782539,0,137200000,27.9144,2.7644,1.1689,-22.6647,
600572.SH,¿µ¶÷±´,20070119,15.2686,15.2826,15.6888,15.0585,15.3526,4450671,48531960,0.084,0.5505,10.9044,6.7657,720976627.44,,1503712000,65782539,0,137200000,28.0681,2.7796,1.1754,-22.7895,
600572.SH,¿µ¶÷±´,20070122,15.3526,15.4927,15.7028,14.9884,15.6328,3297281,36392834,0.2802,1.8248,11.0372,5.0124,734133135.24,,1531152000,65782539,0,137200000,28.5803,2.8303,1.1968,-23.2053,
600572.SH,¿µ¶÷±´,20070123,15.6328,15.5488,15.5488,14.9184,15.4647,2944734,31872443,-0.1681,-1.0753,10.8235,4.4765,726239230.56,,1514688000,65782539,0,137200000,28.273,2.7999,1.184,-22.9558,
600572.SH,¿µ¶÷±´,20070124,15.4647,15.2686,15.4927,14.8624,15.2546,2361533,25491577,-0.2101,-1.3587,10.7945,3.5899,716371849.71,,1494108000,65782539,0,137200000,27.8888,2.7618,1.1679,-22.6439,
600572.SH,¿µ¶÷±´,20070125,15.2546,15.0725,15.0725,14.3161,14.3301,2467924,25714357,-0.9245,-6.0606,10.4194,3.7516,672955373.97,,1403556000,65782539,0,137200000,26.1986,2.5945,1.0971,-21.2716,
600572.SH,¿µ¶÷±´,20070126,14.3301,14.274,14.6663,13.8678,14.3581,2002495,20329905,0.028,0.1955,10.1523,3.0441,674271024.75,,1406300000,65782539,0,137200000,26.2498,2.5995,1.0992,-21.3132,
600572.SH,¿µ¶÷±´,20070129,14.3581,14.5122,14.7503,14.232,14.6943,2194023,22743769,0.3362,2.3415,10.3662,3.3353,690058834.11,,1439228000,65782539,0,137200000,26.8644,2.6604,1.125,-21.8122,
600572.SH,¿µ¶÷±´,20070130,14.6943,14.7223,14.8203,14.3441,14.4561,1629070,16911949,-0.2381,-1.6206,10.3814,2.4764,678875802.48,,1415904000,65782539,0,137200000,26.4291,2.6173,1.1067,-21.4587,
600572.SH,¿µ¶÷±´,20070131,14.4561,14.4421,14.4421,13.8678,14.0499,1843863,18575917,-0.4062,-2.8101,10.0745,2.803,659798866.17,,1376116000,65782539,0,137200000,25.6864,2.5437,1.0756,-20.8557,
600572.SH,¿µ¶÷±´,20070201,14.0499,13.7838,14.288,13.7277,14.0359,1207049,12082054,-0.014,-0.0997,10.0096,1.8349,659141040.78,,1374744000,65782539,0,137200000,24.2209,2.5412,1.0746,-20.8349,
600572.SH,¿µ¶÷±´,20070202,14.0359,14.0639,14.148,13.7277,13.7557,1326991,13229932,-0.2802,-1.996,9.9699,2.0172,645984532.98,,1347304000,65782539,0,137200000,23.7374,2.4905,1.0531,-20.419,
600572.SH,¿µ¶÷±´,20070205,13.7557,13.7277,14.134,13.7277,13.9519,938022,9304351,0.1961,1.4257,9.9191,1.4259,655194088.44,,1366512000,65782539,0,137200000,24.0758,2.526,1.0681,-20.7101,
600572.SH,¿µ¶÷±´,20070206,13.9519,14.0779,14.4842,14.0079,14.3721,1161510,11866138,0.4202,3.012,10.2161,1.7657,674928850.14,,1407672000,65782539,0,137200000,24.801,2.6021,1.1003,-21.334,
600572.SH,¿µ¶÷±´,20070207,14.3721,14.4281,15.8149,14.4281,15.2686,5076991,55745219,0.8965,6.2378,10.98,7.7178,717029675.1,,1495480000,65782539,0,137200000,26.3481,2.7644,1.1689,-22.6647,
600572.SH,¿µ¶÷±´,20070208,15.2686,15.2686,15.955,15.1005,15.7449,2508691,27721655,0.4763,3.1193,11.0502,3.8136,739395738.36,,1542128000,65782539,0,137200000,27.1699,2.8506,1.2054,-23.3717,
600572.SH,¿µ¶÷±´,20070209,15.7449,15.7589,16.0811,15.5488,15.7169,1979644,22288618,-0.028,-0.1779,11.2589,3.0094,738080087.58,,1539384000,65782539,0,137200000,27.1216,2.8455,1.2033,-23.3301,
600572.SH,¿µ¶÷±´,20070212,15.7169,15.7169,15.7169,15.7169,15.7169,,,0,0,,,738080087.58,,1539384000,65782539,0,137200000,27.1216,2.8455,1.2033,-23.3301,
600572.SH,¿µ¶÷±´,20070213,15.7169,16.2492,16.5293,15.6888,15.913,2141000,24503850,0.1961,1.2478,11.445,3.2547,747289643.04,,1558592000,65782539,0,137200000,27.46,2.881,1.2183,-23.6212,
600572.SH,¿µ¶÷±´,20070214,15.913,15.955,16.2211,15.8429,16.039,1907593,21800577,0.1261,0.7923,11.4283,2.8998,753210071.55,,1570940000,65782539,0,137200000,18.6106,2.9039,1.2279,-23.8084,
600572.SH,¿µ¶÷±´,20070215,16.039,16.0951,16.5153,16.039,16.3612,2052874,23861422,0.3222,2.0087,11.6234,3.1207,768340055.52,,1602496000,65782539,0,137200000,18.9845,2.9622,1.2526,-24.2866,
600572.SH,¿µ¶÷±´,20070216,16.3612,16.3892,16.5153,16.025,16.3052,2526847,29300174,-0.056,-0.3425,11.5955,3.8412,765708753.96,,1597008000,65782539,0,137200000,18.9194,2.9521,1.2483,-24.2034,
600572.SH,¿µ¶÷±´,20070226,16.3052,16.4593,16.8095,16.0811,16.7394,2957164,34570625,0.4342,2.6632,11.6905,4.4722,790174630,,1639540000,66123400,0,137200000,19.4233,3.0307,1.2815,-24.848,
600572.SH,¿µ¶÷±´,20070227,16.7394,16.7955,16.8095,15.0725,15.0865,3701675,41871641,-1.6529,-9.8745,11.3115,5.5981,712149018,,1477644000,66123400,0,137200000,17.5054,2.7314,1.155,-22.3944,
600572.SH,¿µ¶÷±´,20070228,15.0865,14.8764,15.8009,14.8764,15.6328,1867150,20368300,0.5463,3.6212,10.9088,2.8237,737937144,,1531152000,66123400,0,137200000,18.1393,2.8303,1.1968,-23.2053,
600572.SH,¿µ¶÷±´,20070301,15.6328,15.5768,15.6048,14.7783,14.9884,2514869,26850135,-0.6444,-4.1219,10.6766,3.8033,707520380,,1468040000,66123400,0,137200000,17.3916,2.7137,1.1475,-22.2489,
