ґъВл,јтіЖ,ИХЖЪ,З°КХЕМјЫ(ФЄ),їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),іЙЅ»Ѕр¶о(ФЄ),ХЗµш(ФЄ),ХЗµш·щ(%),ѕщјЫ(ФЄ),»»КЦВК(%),A№ЙБчНЁКРЦµ(ФЄ),B№ЙБчНЁКРЦµ(ФЄ),ЧЬКРЦµ(ФЄ),A№ЙБчНЁ№Й±ѕ(№Й),B№ЙБчНЁ№Й±ѕ(№Й),ЧЬ№Й±ѕ(№Й),КРУЇВК,КРѕ»ВК,КРПъВК,КРПЦВК,
002081.SZ,Ѕру«тл,20101224,249.1818,242.2937,242.986,224.987,229.9714,2666019,180157616.3,-19.2104,-7.7094,67.5755,0.9363,18917859707.12,,21207249360,284735998,0,319194000,70.5958,20.2882,5.1641,74.0162,
002081.SZ,Ѕру«тл,20101227,229.9714,231.9097,240.84,221.5257,235.3711,1588440,106390340.9,5.3997,2.348,66.9779,0.5579,19362047864,,21705192000,284735998,0,319194000,72.2534,20.7645,5.2853,75.7541,
002081.SZ,Ѕру«тл,20101228,235.3711,236.4787,241.2553,228.5522,228.6561,1374987,93252384,-6.715,-2.8529,67.8206,0.4829,18809660027.88,,21085955640,284735998,0,319194000,70.1921,20.1721,5.1345,73.5929,
002081.SZ,Ѕру«тл,20101229,228.6561,233.4327,233.4327,224.987,228.4138,1062221,70437924.9,-0.2423,-0.106,66.3119,0.3731,18789728508.02,,21063612060,284735998,0,319194000,70.1177,20.1507,5.1291,73.5149,
002081.SZ,Ѕру«тл,20101230,228.4138,230.179,234.298,228.4484,231.3905,1757222,117628920.2,2.9768,1.3032,66.9403,0.6171,19034601466.3,,21338118900,284735998,0,319194000,71.0315,20.4133,5.1959,74.473,
002081.SZ,Ѕру«тл,20101231,231.3905,235.0249,238.244,228.4484,238.0709,1368113,92789877.6,6.6804,2.8871,67.8233,0.4805,19584136783.94,,21954163320,284735923,0,319194000,73.0822,21.0027,5.3459,76.623,
002081.SZ,Ѕру«тл,20110104,238.0709,238.0709,260.985,233.8134,256.8314,2912315,211307066.8,18.7605,7.8802,72.5564,0.9954,21709505154.4,,23684194800,292580932,0,319194000,78.8412,22.6577,3.5672,100.3025,
002081.SZ,Ѕру«тл,20110105,256.8314,252.6777,261.2965,250.2202,254.7546,1238203,91506701.7,-2.0768,-0.8086,73.9028,0.4232,21533956595.2,,23492678400,292580932,0,319194000,78.2037,22.4745,3.5384,99.4914,
002081.SZ,Ѕру«тл,20110106,254.7546,254.7546,266.5231,254.7546,256.3468,2162597,163088150,1.5922,0.625,75.4131,0.7391,21668543823.92,,23639507640,292580932,0,319194000,78.6925,22.615,3.5605,100.1132,
002081.SZ,Ѕру«тл,20110107,256.3468,256.3468,260.9503,243.9552,245.3397,2059417,148674106.3,-11.0071,-4.2938,72.1923,0.7039,20738136460.16,,22624470720,292580932,0,319194000,75.3135,21.644,3.4076,95.8145,
002081.SZ,Ѕру«тл,20110110,245.3397,245.0628,247.4857,239.8362,242.2591,1432078,100390453.1,-3.0806,-1.2556,70.1012,0.4895,20477739430.68,,22340388060,292580932,0,319194000,74.3679,21.3722,3.3648,94.6114,
002081.SZ,Ѕру«тл,20110111,242.2591,239.5247,240.9092,230.3521,234.7826,1705929,115211058.1,-7.4765,-3.0862,67.5357,0.5831,19845764617.56,,21650929020,292580932,0,319194000,72.0728,20.7126,3.261,91.6916,
002081.SZ,Ѕру«тл,20110112,234.7826,236.5825,242.8822,233.6404,238.7978,1463646,100924847.4,4.0152,1.7102,68.9544,0.5003,20185158498.68,,22021194060,292580932,0,319194000,73.3053,21.0668,3.3168,93.2597,
002081.SZ,Ѕру«тл,20110113,238.7978,244.0244,253.0239,242.536,250.5317,1855190,133680411.2,11.7339,4.9138,72.0575,0.6341,21177007858.16,,23103261720,292580932,0,319194000,76.9074,22.102,3.4797,97.8422,
002081.SZ,Ѕру«тл,20110114,250.5317,251.2932,255.516,239.9054,241.1861,1466031,104814740.5,-9.3456,-3.7303,71.4956,0.5011,20387039341.76,,22241437920,292580932,0,319194000,74.0385,21.2775,3.3499,94.1924,
002081.SZ,Ѕру«тл,20110117,241.1861,241.1861,241.1861,241.1861,241.1861,,,0,0,,,20387039341.76,,22241437920,292580932,0,319194000,74.0385,21.2775,3.3499,94.1924,
002081.SZ,Ѕру«тл,20110118,241.1861,228.4484,238.1401,224.2948,235.3711,1998549,134104355.1,-5.815,-2.411,67.1009,0.6831,19895503376,,21705192000,292580932,0,319194000,72.2534,20.7645,3.2692,91.9214,
002081.SZ,Ѕру«тл,20110119,235.3711,234.5057,250.9125,234.4711,249.4933,1212078,85887964,14.1223,6,70.8601,0.4143,21089233578.56,,23007503520,292580932,0,319194000,76.5886,22.0104,3.4653,97.4367,
002081.SZ,Ѕру«тл,20110120,249.4933,249.4933,254.7546,241.8784,245.4089,1085690,77834191.5,-4.0844,-1.6371,71.691,0.3711,20743988078.8,,22630854600,292580932,0,319194000,75.3348,21.6501,3.4086,95.8416,
002081.SZ,Ѕру«тл,20110121,245.4089,240.5977,250.2548,240.5977,243.0206,1220767,86549338.6,-2.3883,-0.9732,70.8975,0.4172,20542107235.72,,22410610740,292580932,0,319194000,57.9662,21.4394,3.3754,94.9088,
002081.SZ,Ѕру«тл,20110124,243.0206,239.6631,244.0244,224.4678,224.987,2039170,134825188.9,-18.0336,-7.4206,66.1177,0.697,19017760580,,20747610000,292580932,0,319194000,53.6648,19.8484,3.1249,87.866,
002081.SZ,Ѕру«тл,20110125,224.987,223.2564,229.0368,204.2536,226.5793,2300204,141652448.7,1.5922,0.7077,61.5826,0.7862,19152347808.72,,20894439240,292580932,0,319194000,54.0446,19.9889,3.1471,88.4879,
002081.SZ,Ѕру«тл,20110126,226.5793,221.8026,237.4825,221.8026,235.3711,1146683,76212378,8.7918,3.8802,66.4633,0.3919,19895503376,,21705192000,292580932,0,319194000,56.1416,20.7645,3.2692,91.9214,
002081.SZ,Ѕру«тл,20110127,235.3711,238.0709,238.0709,226.5793,227.8253,983799,65413250.8,-7.5457,-3.2059,66.4905,0.3362,19257676944.24,,21009349080,292580932,0,319194000,54.3418,20.0988,3.1644,88.9745,
002081.SZ,Ѕру«тл,20110128,227.8253,228.033,234.9903,221.5603,223.2564,815285,52833613.3,-4.569,-2.0055,64.8039,0.2787,18871470114,,20588013000,292580932,0,319194000,53.252,19.6958,3.1009,87.1901,
002081.SZ,Ѕру«тл,20110131,223.2564,224.987,225.5755,215.8491,217.4413,1117398,70688868.4,-5.815,-2.6047,63.262,0.3819,18379934148.24,,20051767080,292580932,0,319194000,51.8649,19.1827,3.0201,84.9191,
002081.SZ,Ѕру«тл,20110201,217.4413,217.4413,222.0449,217.4413,218.5836,853229,54067698.8,1.1422,0.5253,63.3683,0.2916,18476485855.8,,20157101100,292580932,0,319194000,52.1374,19.2835,3.036,85.3652,
002081.SZ,Ѕру«тл,20110209,218.5836,217.9259,222.3218,214.2915,215.2261,767136,48295815,-3.3575,-1.536,62.956,0.2622,18192682351.76,,19847482920,292580932,0,319194000,51.3365,18.9873,2.9894,84.054,
002081.SZ,Ѕру«тл,20110210,215.2261,217.8221,224.2255,211.5917,224.0525,1009841,64195956.6,8.8264,4.101,63.5704,0.3451,18938763728.36,,20661427620,292580932,0,319194000,53.4419,19.766,3.112,87.5011,
002081.SZ,Ѕру«тл,20110211,224.0525,224.987,229.4868,223.2564,223.8794,1363757,89267566.2,-0.1731,-0.0772,65.4571,0.4661,18924134681.76,,20645467920,292580932,0,319194000,53.4006,19.7507,3.1096,87.4335,
002081.SZ,Ѕру«тл,20110214,223.8794,223.6025,227.7561,222.391,226.3023,1017779,66232238.9,2.4229,1.0823,65.0753,0.3479,19128941334.16,,20868903720,292580932,0,319194000,53.9785,19.9645,3.1432,88.3797,
002081.SZ,Ѕру«тл,20110215,226.3023,226.0254,230.5252,224.987,225.437,959601,63237969,-0.8653,-0.3824,65.9003,0.328,19055796101.16,,20789105220,292580932,0,319194000,53.7721,19.8881,3.1312,88.0418,
002081.SZ,Ѕру«тл,20110216,225.437,224.5717,227.3407,216.9221,220.8334,2100966,133752257.6,-4.6036,-2.0421,63.6623,0.7181,18666663461.6,,20364577200,292580932,0,319194000,52.674,19.482,3.0673,86.2439,
002081.SZ,Ѕру«тл,20110217,220.8334,221.5257,226.7177,220.8334,222.5987,1219692,78821660,1.7653,0.7994,64.6242,0.4169,18815879736.92,,20527366140,292580932,0,319194000,53.0951,19.6377,3.0918,86.9333,
002081.SZ,Ѕру«тл,20110218,222.5987,222.6679,223.2564,214.2915,214.4646,2115590,132726876.1,-8.1341,-3.6542,62.7375,0.7231,18128314546.72,,19777260240,292580932,0,319194000,51.1549,18.9201,2.9788,83.7566,
002081.SZ,Ѕру«тл,20110221,214.4646,214.3261,216.3337,210.0687,214.5338,2121515,130084692.2,0.0692,0.0323,61.3169,0.7251,18134166165.36,,19783644120,292580932,0,319194000,51.1714,18.9262,2.9798,83.7836,
002081.SZ,Ѕру«тл,20110222,214.5338,214.603,219.2066,214.2569,218.5143,1913448,119989662.5,3.9805,1.8554,62.7086,0.654,18470634237.16,,20150717220,292580932,0,319194000,52.1209,19.2774,3.035,85.3382,
002081.SZ,Ѕру«тл,20110223,218.5143,218.5836,221.0065,215.9876,219.0335,1107800,70111366.6,0.5192,0.2376,63.2888,0.3786,18514521376.96,,20198596320,292580932,0,319194000,52.2447,19.3232,3.0423,85.541,
002081.SZ,Ѕру«тл,20110224,219.0335,219.8296,229.4175,219.8296,228.8291,3124910,204324854.2,9.7956,4.4722,65.3858,1.068,19342525414.52,,21101915340,292580932,0,319194000,54.5812,20.1874,3.1783,89.3665,
002081.SZ,Ѕру«тл,20110225,228.8291,228.933,230.1098,225.1255,228.933,1535338,101236368,0.1038,0.0454,65.9375,0.5248,19351302842.48,,21111491160,292580932,0,319194000,54.606,20.1965,3.1798,89.4071,
002081.SZ,Ѕру«тл,20110228,228.933,230.5252,231.5636,222.9795,228.4484,1359837,88703812,-0.4846,-0.2117,65.2312,0.4648,19310341512,,21066804000,292580932,0,319194000,54.4904,20.1538,3.173,89.2178,
002081.SZ,Ѕру«тл,20110301,228.4484,228.9676,229.1406,222.0449,223.4987,1513602,98089719.8,-4.9497,-2.1667,64.8055,0.5173,18891950779.24,,20610356580,292580932,0,319194000,53.0315,17.0769,3.1043,87.2848,
002081.SZ,Ѕру«тл,20110302,223.4987,223.4294,226.337,217.4067,223.8794,863025,55303773.7,0.3807,0.1704,64.0813,0.295,18924134681.76,,20645467920,292580932,0,319194000,53.1218,17.106,3.1096,87.4335,
002081.SZ,Ѕру«тл,20110303,223.8794,224.814,224.814,214.6376,215.9529,1469643,93137795.6,-7.9265,-3.5405,63.3744,0.5023,18254124347.48,,19914513660,292580932,0,319194000,51.241,16.5003,2.9995,84.3379,
002081.SZ,Ѕру«тл,20110304,215.9529,216.126,219.622,212.1801,216.3337,1157352,71750302.2,0.3807,0.1763,61.9952,0.3956,18286308250,,19949625000,292580932,0,319194000,51.3314,16.5294,3.0048,84.4866,
002081.SZ,Ѕру«тл,20110307,216.3337,219.3104,219.795,213.4262,215.6414,2359180,146746748.3,-0.6923,-0.32,62.2024,0.8063,18227792063.6,,19885786200,292580932,0,319194000,51.1671,16.4765,2.9951,84.2162,
002081.SZ,Ѕру«тл,20110308,215.6414,215.7453,218.0297,212.8031,216.126,1124232,69869919.8,0.4846,0.2247,62.149,0.3842,18268753394.08,,19930473360,292580932,0,319194000,51.2821,16.5136,3.0019,84.4055,
002081.SZ,Ѕру«тл,20110309,216.126,216.126,221.1796,216.126,218.0644,2308481,145957552.3,1.9383,0.8969,63.2267,0.789,18432598716,,20109222000,292580932,0,319194000,51.742,16.6617,3.0288,85.1625,
002081.SZ,Ѕру«тл,20110310,218.0644,218.1682,227.1331,218.0644,226.0254,2420823,156705510.7,7.9611,3.6508,64.7323,0.8274,19105534859.6,,20843368200,292580932,0,319194000,53.631,17.27,3.1394,88.2716,
002081.SZ,Ѕру«тл,20110311,226.0254,225.8524,229.1406,222.8756,224.814,2016230,132218359.3,-1.2115,-0.536,65.577,0.6891,19003131533.4,,20731650300,292580932,0,319194000,53.3436,17.1774,3.1225,87.7984,
002081.SZ,Ѕру«тл,20110314,224.814,222.4949,223.464,217.2682,222.5641,1319934,83801156.2,-2.2499,-1.0008,63.4889,0.4511,18812953927.6,,20524174200,292580932,0,319194000,52.8097,17.0055,3.0913,86.9198,
002081.SZ,Ѕру«тл,20110315,222.5641,221.318,221.318,215.9876,217.649,853986,53808115,-4.9151,-2.2084,63.0082,0.2919,18397489004.16,,20070918720,292580932,0,319194000,51.6435,16.6299,3.023,85.0003,
002081.SZ,Ѕру«тл,20110316,217.649,217.9951,228.4484,217.9951,226.9946,1374540,89088107.4,9.3456,4.2939,64.813,0.4698,19187457520.56,,20932742520,292580932,0,319194000,53.861,17.344,3.1528,88.6501,
002081.SZ,Ѕру«тл,20110317,226.9946,224.987,227.6523,221.5949,222.5641,673271,43544080.5,-4.4305,-1.9518,64.6754,0.2301,18812953927.6,,20524174200,292580932,0,319194000,52.8097,17.0055,3.0913,86.9198,
002081.SZ,Ѕру«тл,20110318,222.5641,222.5641,226.0254,220.4181,222.5641,574013,36992532.3,0,0,64.4455,0.1962,18812953927.6,,20524174200,292580932,0,319194000,52.8097,17.0055,3.0913,86.9198,
002081.SZ,Ѕру«тл,20110321,222.5641,222.5641,222.5641,222.5641,222.5641,,,0,0,,,18812953927.6,,20524174200,292580932,0,319194000,52.8097,17.0055,3.0913,86.9198,
002081.SZ,Ѕру«тл,20110322,222.5641,222.5641,222.5641,222.5641,222.5641,,,0,0,,,18812953927.6,,20524174200,292580932,0,319194000,52.8097,17.0055,3.0913,86.9198,
002081.SZ,Ѕру«тл,20110323,222.5641,222.841,226.6485,217.3721,223.0141,1137234,72882881.2,0.45,0.2022,64.0878,0.3887,18850989448.76,,20565669420,292580932,0,319194000,52.9165,17.0399,3.0975,87.0955,
002081.SZ,Ѕру«тл,20110324,223.0141,223.0141,228.4484,219.795,228.4484,1087868,70889179.1,5.4343,2.4368,65.1634,0.3718,19310341512,,21066804000,292580932,0,319194000,54.2059,17.4551,3.173,89.2178,
002081.SZ,Ѕру«тл,20110325,228.4484,228.2407,245.9281,228.033,241.8784,2602972,180004779.7,13.43,5.8788,69.1536,0.8888,20465318640.36,,22305276720,292863747,0,319194000,57.3926,18.4812,3.3596,94.4627,
002081.SZ,Ѕру«тл,20110328,241.8784,241.8784,244.0244,231.9097,237.9671,1498241,102200367.5,-3.9113,-1.6171,68.2136,0.5116,20134382606.25,,21944587500,292863747,0,319194000,56.4645,18.1824,3.3052,92.9352,
002081.SZ,Ѕру«тл,20110329,237.9671,235.3711,238.7978,232.3943,233.2942,1264270,85707564.7,-4.6728,-1.9636,67.7921,0.4317,19739016547.8,,21513675600,292863747,0,319194000,55.3558,17.8253,3.2403,91.1103,
002081.SZ,Ѕру«тл,20110330,233.2942,233.225,233.2942,221.5603,225.7139,928115,60951607.8,-7.5803,-3.2493,65.6725,0.3169,19097644941.87,,20814640740,292863747,0,319194000,53.5571,17.2461,3.135,88.1499,
002081.SZ,Ѕру«тл,20110331,225.7139,225.7139,231.7552,213.5272,217.1728,1663903,70774789,-8.5411,-3.784,42.5354,0.3788,18318627395.7,,19965584700,439295621,0,478791000,51.3724,16.5427,3.0072,84.5542,
002081.SZ,Ѕру«тл,20110401,217.1728,216.1312,225.5056,215.1938,221.7558,1168949,49700969,4.583,2.1103,42.5177,0.2661,18705207542.18,,20386920780,439295621,0,478791000,52.4566,16.8918,3.0706,86.3385,
002081.SZ,Ѕру«тл,20110406,221.7558,221.235,221.3392,203.8925,205.1945,3736661,150521203.8,-16.5614,-7.4683,40.2823,0.8506,17308247467.4,,18864365400,439295621,0,478791000,48.539,15.6302,2.8413,79.8905,
002081.SZ,Ѕру«тл,20110407,205.1945,207.7984,210.9753,202.5905,209.2567,2307456,92117912.8,4.0622,1.9797,39.9219,0.5253,17650898051.78,,19237822380,439295621,0,478791000,49.4999,15.9397,2.8975,81.4721,
002081.SZ,Ѕру«тл,20110408,209.2567,208.3192,216.4437,207.3297,211.9648,2234855,91461220.2,2.7082,1.2942,40.9249,0.5087,17879331774.7,,19486793700,439295621,0,478791000,50.1405,16.1459,2.935,82.5265,
002081.SZ,Ѕру«тл,20110411,211.9648,214.673,219.2039,190.7683,213.5793,3427246,133247220.6,1.6145,0.7617,38.8788,0.7802,18015513417.21,,19635218910,439295621,0,478791000,50.5224,16.2689,2.9574,83.1551,
002081.SZ,Ѕру«тл,20110412,213.5793,205.7152,211.3919,205.7152,206.184,2403732,95664850.2,-7.3953,-3.4626,39.7985,0.5472,17391713635.39,,18955335690,439295621,0,478791000,48.773,15.7056,2.855,80.2758,
002081.SZ,Ѕру«тл,20110413,206.184,205.4549,213.4751,205.1945,211.2357,1194921,48178962.9,5.0517,2.4501,40.3198,0.272,17817830387.76,,19419762960,439295621,0,478791000,49.968,16.0904,2.9249,82.2426,
002081.SZ,Ѕру«тл,20110414,211.2357,211.2878,214.9855,208.5276,211.6523,820402,33383601.4,0.4166,0.1972,40.6918,0.1868,17852974037.44,,19458066240,439295621,0,478791000,50.0666,16.1221,2.9307,82.4048,
002081.SZ,Ѕру«тл,20110415,211.6523,214.048,217.5894,208.5796,213.5272,1461517,59641347.4,1.8749,0.8858,40.8078,0.3327,18011120461,,19630431000,439295621,0,478791000,50.5101,16.265,2.9567,83.1348,
002081.SZ,Ѕру«тл,20110418,213.5272,212.3815,212.4856,208.3192,209.2046,966974,38849560.2,-4.3226,-2.0244,40.1764,0.2201,17646505095.57,,19233034470,439295621,0,478791000,49.4876,15.9357,2.8968,81.4518,
002081.SZ,Ѕру«тл,20110419,209.2046,209.3608,216.1312,208.5796,213.0585,1789517,73070427.9,3.8539,1.8422,40.8325,0.4074,17971583855.11,,19587339810,439295621,0,478791000,50.3992,16.2293,2.9502,82.9523,
002081.SZ,Ѕру«тл,20110420,213.0585,213.6314,218.6831,212.5377,217.8498,1457910,60616885.5,4.7913,2.2488,41.5779,0.3319,18375735826.43,,20027827530,439295621,0,478791000,51.5326,16.5942,3.0165,84.8178,
002081.SZ,Ѕру«тл,20110421,217.8498,218.6831,221.235,215.1417,216.652,909755,38008598.8,-1.1978,-0.5498,41.7789,0.2071,18274697833.6,,19917705600,439295621,0,478791000,51.2492,16.503,2.9999,84.3514,
002081.SZ,Ѕру«тл,20110422,216.652,216.8603,218.1102,211.9648,213.0064,870607,35888403.3,-3.6456,-1.6827,41.2223,0.1982,17967190898.9,,19582551900,439295621,0,478791000,50.3869,16.2253,2.9495,82.932,
002081.SZ,Ѕру«тл,20110425,213.0064,211.7044,217.4853,209.3608,214.6209,1140066,46961476.1,1.6145,0.7579,41.1919,0.2595,18103372541.41,,19730977110,439295621,0,478791000,50.7688,16.3483,2.9718,83.5606,
002081.SZ,Ѕру«тл,20110426,214.6209,212.0169,216.3395,212.0169,213.6835,752417,30904858.1,-0.9374,-0.4368,41.0741,0.1713,18024299329.63,,19644794730,439295621,0,478791000,50.547,16.2769,2.9588,83.1956,
002081.SZ,Ѕру«тл,20110427,213.6835,213.6835,218.1102,211.2878,213.371,1067734,44112677.7,-0.3125,-0.1462,41.3143,0.2431,17997941592.37,,19616067270,439295621,0,478791000,50.4731,16.2531,2.9545,83.074,
002081.SZ,Ѕру«тл,20110428,213.371,213.4231,213.5272,201.1322,202.4863,2150161,85389423.3,-10.8847,-5.1013,39.713,0.4895,17079813744.48,,18615394080,439295621,0,478791000,47.8983,15.4239,2.8038,78.8361,
002081.SZ,Ѕру«тл,20110429,202.4863,202.5905,207.6422,201.4447,205.1424,1430780,55955928.1,2.6561,1.3117,39.1087,0.3257,17303854511.19,,18859577490,439295621,0,478791000,42.1381,14.9731,2.8406,79.8702,
002081.SZ,Ѕру«тл,20110503,205.1424,205.7152,207.2256,202.4342,206.236,770948,30412718.9,1.0937,0.5331,39.4485,0.1755,17396106591.6,,18960123600,439295621,0,478791000,42.3628,15.053,2.8557,80.296,
002081.SZ,Ѕру«тл,20110504,206.236,206.9652,209.4129,203.8925,204.2049,842462,33384361.4,-2.0311,-0.9848,39.6271,0.1918,17224781299.41,,18773395110,439295621,0,478791000,41.9456,14.9047,2.8276,79.5052,
002081.SZ,Ѕру«тл,20110505,204.2049,204.2049,205.6111,199.2053,200.5593,991153,38555590.3,-3.6456,-1.7853,38.8997,0.2256,16917274364.71,,18438241410,439295621,0,478791000,41.1967,14.6386,2.7771,78.0859,
002081.SZ,Ѕру«тл,20110506,200.5593,199.2574,207.7984,199.2574,205.8194,671106,26170881.8,5.2601,2.6227,38.9966,0.1528,17360962941.92,,18921820320,439295621,0,478791000,42.2772,15.0225,2.8499,80.1338,
002081.SZ,Ѕру«тл,20110509,205.8194,205.1945,214.1001,205.1945,211.444,834227,33754872.7,5.6246,2.7328,40.4625,0.1899,17835402212.6,,19438914600,439295621,0,478791000,43.4325,15.4331,2.9278,82.3237,
002081.SZ,Ѕру«тл,20110510,211.444,211.444,213.9439,209.8816,210.4024,475282,19309808.9,-1.0416,-0.4926,40.6281,0.1082,17747543088.4,,19343156400,439295621,0,478791000,43.2186,15.3571,2.9134,81.9182,
002081.SZ,Ѕру«тл,20110511,210.4024,209.7775,211.3919,209.7254,210.6628,356414,14413652.5,0.2604,0.1238,40.4408,0.0811,17769507869.45,,19367095950,439295621,0,478791000,43.2721,15.3761,2.917,82.0196,
002081.SZ,Ѕру«тл,20110512,210.6628,210.6108,210.6108,205.1945,205.8194,613192,24497007.4,-4.8434,-2.2991,39.95,0.1396,17360962941.92,,18921820320,439295621,0,478791000,42.2772,15.0225,2.8499,80.1338,
002081.SZ,Ѕру«тл,20110513,205.8194,205.8194,206.0277,200.5073,203.58,742101,28867004.8,-2.2394,-1.0881,38.899,0.1689,17172065824.89,,18715940190,439295621,0,478791000,41.8172,14.8591,2.8189,79.2619,
002081.SZ,Ѕру«тл,20110516,203.58,206.7568,212.4856,206.6527,208.3192,882954,35520624.3,4.7393,2.328,40.2293,0.201,17571824840,,19151640000,439295621,0,478791000,42.7907,15.205,2.8846,81.1071,
002081.SZ,Ѕру«тл,20110517,208.3192,208.3192,209.3608,205.7673,208.3192,430875,17180434.7,0,0,39.8734,0.0981,17571824840,,19151640000,439295621,0,478791000,42.7907,15.205,2.8846,81.1071,
002081.SZ,Ѕру«тл,20110518,208.3192,209.6212,209.8816,206.236,207.7984,389006,15541782.3,-0.5208,-0.25,39.9526,0.0886,17527895277.9,,19103760900,439295621,0,478791000,42.6837,15.167,2.8774,80.9043,
002081.SZ,Ѕру«тл,20110519,207.7984,207.7984,208.163,205.7152,205.7152,426085,16897715.5,-2.0832,-1.0025,39.6581,0.097,17352177029.5,,18912244500,439295621,0,478791000,42.2558,15.0149,2.8485,80.0933,
002081.SZ,Ѕру«тл,20110520,205.7152,208.1109,208.1109,204.9341,205.3507,385305,15210919.7,-0.3646,-0.1772,39.4776,0.0877,17321426336.03,,18878729130,439295621,0,478791000,42.1809,14.9883,2.8435,79.9513,
002081.SZ,Ѕру«тл,20110523,205.3507,205.3507,205.3507,200.5593,202.8509,1080765,41906781.1,-2.4998,-1.2173,38.7751,0.246,17110564437.95,,18648909450,439295621,0,478791000,41.6674,14.8059,2.8088,78.978,
002081.SZ,Ѕру«тл,20110524,202.8509,202.7467,202.7988,197.3825,200.0906,867334,33239183.9,-2.7602,-1.3607,38.3234,0.1974,16877737758.82,,18395150220,439295621,0,478791000,41.1005,14.6044,2.7706,77.9034,
002081.SZ,Ѕру«тл,20110525,200.0906,200.0906,200.0906,192.6953,193.3203,687245,25862093.5,-6.7704,-3.3837,37.6315,0.1564,16306653451.52,,17772721920,439295621,0,478791000,39.7098,14.1102,2.6769,75.2674,
002081.SZ,Ѕру«тл,20110526,193.3203,193.3203,196.4971,189.4143,190.7683,1212193,44552012.6,-2.5519,-1.32,36.7532,0.2759,16091398597.23,,17538114330,439295621,0,478791000,39.1856,13.924,2.6415,74.2738,
002081.SZ,Ѕру«тл,20110527,190.7683,190.6121,190.7683,187.4873,188.1644,749896,27215486.8,-2.604,-1.365,36.2923,0.1707,15871750786.73,,17298718830,439295621,0,478791000,38.6507,13.7339,2.6055,73.26,
002081.SZ,Ѕру«тл,20110530,188.1644,188.3727,191.185,183.998,187.6956,781603,28269662.9,-0.4687,-0.2491,36.1688,0.1779,15832214180.84,,17255627640,439295621,0,478791000,38.5544,13.6997,2.599,73.0775,
002081.SZ,Ѕру«тл,20110531,187.6956,187.6956,193.2161,187.0707,190.9767,1099831,39980065.8,3.281,1.7481,36.3511,0.2504,16108970422.07,,17557265970,439295621,0,478791000,39.2284,13.9392,2.6444,74.3549,
002081.SZ,Ѕру«тл,20110601,190.9767,191.862,191.862,188.0602,189.9871,688487,24980991.4,-0.9895,-0.5181,36.2839,0.1567,16025504254.08,,17466295680,439295621,0,478791000,39.0251,13.867,2.6307,73.9697,
002081.SZ,Ѕру«тл,20110602,189.9871,188.8935,189.0497,184.3625,188.4248,599623,21516950.6,-1.5624,-0.8224,35.8841,0.1365,15893715567.78,,17322658380,439295621,0,478791000,38.7042,13.7529,2.6091,73.3614,
002081.SZ,Ѕру«тл,20110603,188.4248,187.5394,194.9868,187.4873,194.3098,1194681,44220684.2,5.885,3.1233,37.0146,0.272,16390119619.51,,17863692210,439295621,0,478791000,39.913,14.1825,2.6906,75.6527,
002081.SZ,Ѕру«тл,20110607,194.3098,194.0494,195.6638,192.0703,194.8826,401220,14929518.3,0.5729,0.2948,37.2103,0.0913,16438442137.82,,17916359220,439295621,0,478791000,40.0307,14.2243,2.6985,75.8757,
002081.SZ,Ѕру«тл,20110608,194.8826,194.6222,195.2472,191.1329,194.2577,529006,19646165.7,-0.625,-0.3207,37.1379,0.1204,16385726663.3,,17858904300,439295621,0,478791000,39.9023,14.1787,2.6899,75.6324,
002081.SZ,Ѕру«тл,20110609,194.2577,193.7369,194.2577,192.0703,192.0703,434692,16131041.8,-2.1874,-1.126,37.1091,0.099,16201222502.48,,17657812080,439295621,0,478791000,39.453,14.019,2.6596,74.7808,
002081.SZ,Ѕру«тл,20110610,192.0703,192.4349,193.0078,189.3622,193.0078,529654,19421293.1,0.9374,0.4881,36.6679,0.1206,16280295714.26,,17743994460,439295621,0,478791000,39.6456,14.0874,2.6725,75.1457,
002081.SZ,Ѕру«тл,20110613,193.0078,190.56,192.9557,190.56,192.6953,683782,25214532.5,-0.3125,-0.1619,36.8751,0.1557,16253937977,,17715267000,439295621,0,478791000,39.5814,14.0646,2.6682,75.0241,
002081.SZ,Ѕру«тл,20110614,192.6953,192.1745,197.7991,189.883,193.8931,1270685,47177210.2,1.1978,0.6216,37.1274,0.2893,16354975969.83,,17825388930,439295621,0,478791000,39.8274,14.1521,2.6848,75.4904,
002081.SZ,Ѕру«тл,20110615,193.8931,192.8515,196.7575,192.1224,192.5391,567222,21084948.4,-1.3541,-0.6984,37.1723,0.1291,16240759108.37,,17700903270,439295621,0,478791000,39.5493,14.0532,2.6661,74.9632,
002081.SZ,Ѕру«тл,20110616,192.5391,192.3307,192.3307,189.5705,190.7163,1228051,44844867.4,-1.8228,-0.9467,36.5171,0.2796,16087005641.02,,17533326420,439295621,0,478791000,39.1749,13.9202,2.6408,74.2536,
002081.SZ,Ѕру«тл,20110617,190.7163,188.581,190.56,187.4873,187.904,1681792,60893026.9,-2.8123,-1.4746,36.2072,0.3828,15849786005.68,,17274779280,439295621,0,478791000,38.5972,13.7149,2.6019,73.1586,
