ґъВл,јтіЖ,ИХЖЪ,З°КХЕМјЫ(ФЄ),їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),іЙЅ»Ѕр¶о(ФЄ),ХЗµш(ФЄ),ХЗµш·щ(%),ѕщјЫ(ФЄ),»»КЦВК(%),A№ЙБчНЁКРЦµ(ФЄ),B№ЙБчНЁКРЦµ(ФЄ),ЧЬКРЦµ(ФЄ),A№ЙБчНЁ№Й±ѕ(№Й),B№ЙБчНЁ№Й±ѕ(№Й),ЧЬ№Й±ѕ(№Й),КРУЇВК,КРѕ»ВК,КРПъВК,КРПЦВК,
002081.SZ,Ѕру«тл,20070129,30.5,30.6,32.12,30.3,32,481348,15021286,1.5,4.918,31.2067,2.507,614400000,,3008000000,19200000,0,94000000,48.8665,16.5736,1.6944,9.7407,
002081.SZ,Ѕру«тл,20070130,32,32,33.2,31.82,32.8,814566,26578011.3,0.8,2.5,32.6284,4.2425,629760000,,3083200000,19200000,0,94000000,50.0881,16.9879,1.7367,9.9842,
002081.SZ,Ѕру«тл,20070131,32.8,32.2,32.8,30.09,30.2,532759,16605935.9,-2.6,-7.9268,31.1697,2.7748,579840000,,2838800000,19200000,0,94000000,46.1177,15.6413,1.599,9.1928,
002081.SZ,Ѕру«тл,20070201,30.2,29.67,30.85,29.5,30.06,420858,12673905.2,-0.14,-0.4636,30.1144,2.192,577152000,,2825640000,19200000,0,94000000,45.9039,15.5688,1.5916,9.1501,
002081.SZ,Ѕру«тл,20070202,30.06,30.1,30.22,28.7,28.8,814031,23992919.3,-1.26,-4.1916,29.4742,4.2397,552960000,,2707200000,19200000,0,94000000,43.9798,14.9162,1.5249,8.7666,
002081.SZ,Ѕру«тл,20070205,28.8,28.86,30.18,28.86,29.4,262717,7840128.6,0.6,2.0833,29.8425,1.3683,564480000,,2763600000,19200000,0,94000000,44.8961,15.227,1.5567,8.9492,
002081.SZ,Ѕру«тл,20070206,29.4,29.12,30.69,29.12,30.69,249314,7457228.1,1.29,4.3878,29.911,1.2985,589248000,,2884860000,19200000,0,94000000,46.866,15.8951,1.625,9.3419,
002081.SZ,Ѕру«тл,20070207,30.69,30.82,30.87,29.66,30.2,927176,27877896.5,-0.49,-1.5966,30.0675,4.829,579840000,,2838800000,19200000,0,94000000,46.1177,15.6413,1.599,9.1928,
002081.SZ,Ѕру«тл,20070208,30.2,30.26,32.8,29.6,32.8,794329,24483193.3,2.6,8.6093,30.8225,4.1371,629760000,,3083200000,19200000,0,94000000,50.0881,16.9879,1.7367,9.9842,
002081.SZ,Ѕру«тл,20070209,32.8,32,32.3,30.8,32.01,679028,21654837.4,-0.79,-2.4085,31.8909,3.5366,614592000,,3008940000,19200000,0,94000000,48.8817,16.5788,1.6949,9.7437,
002081.SZ,Ѕру«тл,20070212,32.01,31.89,33.18,31.89,32.68,756517,24848118,0.67,2.0931,32.8454,3.9402,627456000,,3071920000,19200000,0,94000000,49.9049,16.9258,1.7304,9.9477,
002081.SZ,Ѕру«тл,20070213,32.68,32.68,32.89,31.5,31.9,413331,13188270.7,-0.78,-2.3868,31.9073,2.1528,612480000,,2998600000,19200000,0,94000000,48.7138,16.5218,1.6891,9.7102,
002081.SZ,Ѕру«тл,20070214,31.9,32.5,32.68,31.12,32.1,749942,23678901.6,0.2,0.627,31.5743,3.9059,616320000,,3017400000,19200000,0,94000000,49.0192,16.6254,1.6996,9.7711,
002081.SZ,Ѕру«тл,20070215,32.1,32.11,33.17,31.81,33.08,831720,27112041.7,0.98,3.053,32.5976,4.3319,635136000,,3109520000,19200000,0,94000000,50.5157,17.1329,1.7515,10.0694,
002081.SZ,Ѕру«тл,20070216,33.08,33.5,33.85,32.51,33,499653,16498467.2,-0.08,-0.2418,33.0199,2.6024,633600000,,3102000000,19200000,0,94000000,50.3935,17.0915,1.7473,10.0451,
002081.SZ,Ѕру«тл,20070226,33,32.8,33,31.96,31.98,1644580,53171573.8,-1.02,-3.0909,32.3314,6.8524,767520000,,3006120000,24000000,0,94000000,48.8359,16.5632,1.6933,9.7346,
002081.SZ,Ѕру«тл,20070227,31.98,31.99,32.24,28.78,29,1583850,48698677.9,-2.98,-9.3183,30.747,6.5994,696000000,,2726000000,24000000,0,94000000,44.2852,15.0198,1.5355,8.8275,
002081.SZ,Ѕру«тл,20070228,29,28.96,29.8,28.56,29.65,751197,21856152.4,0.65,2.2414,29.0951,3.13,711600000,,2787100000,24000000,0,94000000,45.2778,15.3565,1.5699,9.0253,
002081.SZ,Ѕру«тл,20070301,29.65,29.49,29.49,28.01,28.5,440342,12615284.8,-1.15,-3.8786,28.6488,1.8348,684000000,,2679000000,24000000,0,94000000,43.5217,14.7608,1.509,8.6753,
002081.SZ,Ѕру«тл,20070302,28.5,28.5,29.9,28.3,29.5,482023,14085668.9,1,3.5088,29.222,2.0084,708000000,,2773000000,24000000,0,94000000,45.0488,15.2788,1.562,8.9797,
002081.SZ,Ѕру«тл,20070305,29.5,29.3,29.96,28.5,29.16,302002,8869737.9,-0.34,-1.1525,29.3698,1.2583,699840000,,2741040000,24000000,0,94000000,44.5296,15.1027,1.544,8.8762,
002081.SZ,Ѕру«тл,20070306,29.16,28.8,29.2,28.31,28.98,358470,10307027.4,-0.18,-0.6173,28.7528,1.4936,695520000,,2724120000,24000000,0,94000000,44.2547,15.0095,1.5344,8.8214,
002081.SZ,Ѕру«тл,20070307,28.98,29.1,29.9,28.75,29.8,407227,11973807.5,0.82,2.8295,29.4033,1.6968,715200000,,2801200000,24000000,0,94000000,45.5069,15.4341,1.5779,9.071,
002081.SZ,Ѕру«тл,20070308,29.8,29.8,29.9,29.3,29.79,287451,8493577.2,-0.01,-0.0336,29.5479,1.1977,714960000,,2800260000,24000000,0,94000000,45.4916,15.429,1.5773,9.068,
002081.SZ,Ѕру«тл,20070309,29.79,29.88,30.43,29.65,30,433588,13025138.3,0.21,0.7049,30.0404,1.8066,720000000,,2820000000,24000000,0,94000000,45.8123,15.5377,1.5885,9.1319,
002081.SZ,Ѕру«тл,20070312,30,30.15,30.4,29.8,30.19,448003,13473785,0.19,0.6333,30.0752,1.8667,724560000,,2837860000,24000000,0,94000000,46.1025,15.6361,1.5985,9.1897,
002081.SZ,Ѕру«тл,20070313,30.19,29.52,30.18,29.52,29.9,763470,22855902.8,-0.29,-0.9606,29.9369,3.1811,717600000,,2810600000,24000000,0,94000000,45.6596,15.4859,1.5832,9.1014,
002081.SZ,Ѕру«тл,20070314,29.9,29.88,31.68,29.58,31.28,736081,22639945.6,1.38,4.6154,30.7574,3.067,750720000,,2940320000,24000000,0,94000000,47.767,16.2007,1.6562,9.5215,
002081.SZ,Ѕру«тл,20070315,31.28,31,31.9,30.76,31.78,727576,22772253.5,0.5,1.5985,31.2988,3.0316,762720000,,2987320000,24000000,0,94000000,48.5305,16.4596,1.6827,9.6737,
002081.SZ,Ѕру«тл,20070316,31.78,31.8,32,31.45,31.69,656236,20811661.7,-0.09,-0.2832,31.7137,2.7343,760560000,,2978860000,24000000,0,94000000,48.3931,16.413,1.6779,9.6463,
002081.SZ,Ѕру«тл,20070319,31.69,31,32.7,30.22,32.08,475000,15220661.1,0.39,1.2307,32.0435,1.9792,769920000,,3015520000,24000000,0,94000000,48.9886,16.615,1.6986,9.765,
002081.SZ,Ѕру«тл,20070320,32.08,32.4,32.4,31,32,434567,13721774.7,-0.08,-0.2494,31.5757,1.8107,768000000,,3008000000,24000000,0,94000000,48.8665,16.5736,1.6944,9.7407,
002081.SZ,Ѕру«тл,20070321,32,31.69,32,31.3,31.9,386463,12238350.4,-0.1,-0.3125,31.6676,1.6103,765600000,,2998600000,24000000,0,94000000,48.7138,16.5218,1.6891,9.7102,
002081.SZ,Ѕру«тл,20070322,31.9,31.89,32.67,31.5,31.99,471144,15065657.1,0.09,0.2821,31.9768,1.9631,767760000,,3007060000,24000000,0,94000000,48.8512,16.5684,1.6938,9.7376,
002081.SZ,Ѕру«тл,20070323,31.99,31.6,31.9,30.9,31.6,423291,13296530.2,-0.39,-1.2191,31.4123,1.7637,758400000,,2970400000,24000000,0,94000000,48.2556,16.3664,1.6732,9.6189,
002081.SZ,Ѕру«тл,20070326,31.6,31.5,31.81,31.3,31.61,449855,14206481.9,0.01,0.0316,31.5801,1.8744,758640000,,2971340000,24000000,0,94000000,48.2709,16.3716,1.6737,9.622,
002081.SZ,Ѕру«тл,20070327,31.61,31.5,33.09,31.5,32.98,836752,27486314.1,1.37,4.3341,32.8488,3.4865,791520000,,3100120000,24000000,0,94000000,50.363,17.0811,1.7462,10.039,
002081.SZ,Ѕру«тл,20070328,32.98,36,36.28,34.63,36.28,1736472,62827293,3.3,10.0061,36.181,7.2353,870720000,,3410320000,24000000,0,94000000,55.4024,18.7903,1.921,11.0435,
002081.SZ,Ѕру«тл,20070329,36.28,35.8,35.8,32.98,33.51,1807412,61451000.9,-2.77,-7.6351,33.9994,7.5309,804240000,,3149940000,24000000,0,94000000,47.0395,17.3556,1.7743,10.2003,
002081.SZ,Ѕру«тл,20070330,33.51,33.44,35.8,33,34.87,1237540,42848711.9,1.36,4.0585,34.6241,5.1564,836880000,,3277780000,24000000,0,94000000,48.9486,18.06,1.8463,10.6143,
