測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
300297.SZ,*ST懦嗎,20120315,,28.26,31,28.21,30.98,13002333,382154777.2,14.98,93.625,29.3912,66.0017,610306000,,3036040000,19700000,0,98000000,58.0279,12.201,10.8908,44.624,
300297.SZ,*ST懦嗎,20120316,30.98,28.32,28.95,27.88,27.88,8466225,238276285.2,-3.1,-10.0065,28.1443,42.9758,549236000,,2732240000,19700000,0,98000000,52.2213,10.9801,9.801,40.1587,
300297.SZ,*ST懦嗎,20120319,27.88,25.8,27.7,25.5,26.63,7441094,196989719.1,-1.25,-4.4835,26.4732,37.7721,524611000,,2609740000,19700000,0,98000000,49.88,10.4878,9.3616,38.3582,
300297.SZ,*ST懦嗎,20120320,26.63,26.28,26.47,24.4,24.43,5636855,142576522.1,-2.2,-8.2614,25.2936,28.6135,481271000,,2394140000,19700000,0,98000000,45.7592,9.6214,8.5882,35.1893,
300297.SZ,*ST懦嗎,20120321,24.43,24,24.25,22.32,22.88,4422571,102195956.5,-1.55,-6.3447,23.1078,22.4496,450736000,,2242240000,19700000,0,98000000,42.8559,9.011,8.0433,32.9566,
300297.SZ,*ST懦嗎,20120322,22.88,22.79,23.48,22.53,23.03,3029633,70265102.1,0.15,0.6556,23.1926,15.3788,453691000,,2256940000,19700000,0,98000000,43.1369,9.07,8.096,33.1727,
300297.SZ,*ST懦嗎,20120323,23.03,23.28,24.09,23.15,23.43,3210433,75611942.9,0.4,1.7369,23.5519,16.2966,461571000,,2296140000,19700000,0,98000000,43.8861,9.2276,8.2367,33.7489,
300297.SZ,*ST懦嗎,20120326,23.43,23.11,23.26,22.22,22.55,2431747,55250534.4,-0.88,-3.7559,22.7205,12.3439,444235000,,2209900000,19700000,0,98000000,42.2378,8.881,7.9273,32.4813,
300297.SZ,*ST懦嗎,20120327,22.55,22.7,22.96,22.3,22.77,2164183,49076399,0.22,0.9756,22.6766,10.9857,448569000,,2231460000,19700000,0,98000000,42.6499,8.9676,8.0046,32.7982,
300297.SZ,*ST懦嗎,20120328,22.77,22.48,22.48,20.49,20.49,3436106,72528450.3,-2.28,-10.0132,21.1077,17.4422,403653000,,2008020000,19700000,0,98000000,38.3793,8.0697,7.2031,29.514,
300297.SZ,*ST懦嗎,20120329,20.49,20.12,20.5,19.3,19.76,2897640,57738909.5,-0.73,-3.5627,19.9262,14.7088,389272000,,1936480000,19700000,0,98000000,37.012,7.7822,6.9465,28.4625,
