´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200115,,18.25,21.9,18.25,21.9,362415,7930319,6.69,43.9842,21.8819,0.9058,876219000,,8760219000,40010000,0,400010000,29.9566,7.5629,5.3098,90.4296,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200116,21.9,24.09,24.09,24.09,24.09,340488,8202356,2.19,10,24.09,0.851,963840900,,9636240900,40010000,0,400010000,32.9523,8.3192,5.8408,99.4725,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200117,24.09,25.53,25.53,23.35,23.78,20815579,510227591,-0.31,-1.2868,24.5118,52.0259,951437800,,9512237800,40010000,0,400010000,32.5282,8.2122,5.7656,98.1925,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200120,23.78,22.39,22.39,21.4,21.44,13380704,289843171,-2.34,-9.8402,21.6613,33.4434,857814400,,8576214400,40010000,0,400010000,29.3274,7.4041,5.1983,88.5301,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200121,21.44,20.99,21.14,20.04,20.1,9834774,201537155,-1.34,-6.25,20.4923,24.5808,804201000,,8040201000,40010000,0,400010000,27.4944,6.9413,4.8734,82.997,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200122,20.1,19.61,20.55,19.5,20,6689285,134871156,-0.1,-0.4975,20.1623,16.719,800200000,,8000200000,40010000,0,400010000,27.3576,6.9068,4.8491,82.5841,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200123,20,19.76,20.26,18.63,18.95,6267972,121328761,-1.05,-5.25,19.3569,15.666,758189500,,7580189500,40010000,0,400010000,25.9213,6.5442,4.5946,78.2484,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200203,18.95,17.06,17.06,17.06,17.06,772100,13172026,-1.89,-9.9736,17.06,1.9298,682570600,,6824170600,40010000,0,400010000,23.3361,5.8915,4.1363,70.4442,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200204,17.06,15.48,16.53,15.48,16.19,6155733,99261990,-0.87,-5.0996,16.1251,15.3855,647761900,,6476161900,40010000,0,400010000,22.146,5.5911,3.9254,66.8518,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200205,16.19,16.11,16.97,16.11,16.43,5068707,83857498,0.24,1.4824,16.5442,12.6686,657364300,,6572164300,40010000,0,400010000,22.4743,5.6739,3.9836,67.8428,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200206,16.43,16.51,16.78,16.28,16.66,4651358,77195545,0.23,1.3999,16.5963,11.6255,666566600,,6664166600,40010000,0,400010000,22.7889,5.7534,4.0393,68.7925,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200207,16.66,16.8,17.66,16.61,17.25,5958521,102482419,0.59,3.5414,17.1993,14.8926,690172500,,6900172500,40010000,0,400010000,23.5959,5.9571,4.1824,71.2288,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200210,17.25,17.05,17.48,16.82,17.41,4291691,73771316,0.16,0.9275,17.1893,10.7265,696574100,,6964174100,40010000,0,400010000,23.8148,6.0124,4.2212,71.8895,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200211,17.41,17.43,17.43,17.01,17.11,3582454,61526371,-0.3,-1.7231,17.1744,8.9539,684571100,,6844171100,40010000,0,400010000,23.4044,5.9088,4.1484,70.6507,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200212,17.11,17.01,17.18,16.88,17.09,3268459,55768738,-0.02,-0.1169,17.0627,8.1691,683770900,,6836170900,40010000,0,400010000,23.3771,5.9019,4.1436,70.5681,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200213,17.09,17.07,17.25,16.62,16.68,3811763,64318016,-0.41,-2.3991,16.8736,9.527,667366800,,6672166800,40010000,0,400010000,22.8163,5.7603,4.0442,68.8751,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200214,16.68,16.65,18.29,16.61,17.95,8111207,142206629,1.27,7.6139,17.5321,20.2729,718179500,,7180179500,40010000,0,400010000,24.5535,6.1989,4.3521,74.1192,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200217,17.95,17.9,19,17.7,18.86,8277471,153744618,0.91,5.0696,18.5739,20.6885,754588600,,7544188600,40010000,0,400010000,25.7982,6.5131,4.5727,77.8768,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200218,18.86,18.52,18.87,18.23,18.66,6381713,118427235,-0.2,-1.0604,18.5573,15.9503,746586600,,7464186600,40010000,0,400010000,25.5247,6.444,4.5242,77.051,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200219,18.66,18.63,18.64,18.13,18.16,4142861,75916730,-0.5,-2.6795,18.3247,10.3546,726581600,,7264181600,40010000,0,400010000,24.8407,6.2714,4.403,74.9864,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200220,18.16,18.13,18.47,17.81,18.26,3790188,68826906,0.1,0.5507,18.1592,9.4731,730582600,,7304182600,40010000,0,400010000,24.9775,6.3059,4.4273,75.3993,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200221,18.26,18.2,18.26,18.02,18.1,3358401,60866873,-0.16,-0.8762,18.1238,8.3939,724181000,,7240181000,40010000,0,400010000,24.7586,6.2507,4.3885,74.7386,
603551.SH,°ÂÆÕ¼Ò¾Ó,20200224,18.1,18.04,18.04,17.6,17.75,4041643,71759097,-0.35,-1.9337,17.7549,10.1016,710177500,,7100177500,40010000,0,400010000,24.2799,6.1298,4.3036,73.2934,
