ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
605259.SH,ยฬฬ๏ป๚ะต,20210615,,39.02,39.02,39.02,39.02,554940,21653759,11.92,43.9852,39.02,2.5225,858440000,,3433760000,22000000,0,88000000,27.1875,4.9465,2.8028,43.8878,
605259.SH,ยฬฬ๏ป๚ะต,20210616,39.02,42.92,42.92,42.92,42.92,95177,4084997,3.9,9.9949,42.92,0.4326,944240000,,3776960000,22000000,0,88000000,29.9049,5.4409,3.0829,48.2743,
605259.SH,ยฬฬ๏ป๚ะต,20210617,42.92,47.21,47.21,47.21,47.21,62296,2940994,4.29,9.9953,47.21,0.2832,1038620000,,4154480000,22000000,0,88000000,32.894,5.9847,3.391,53.0995,
605259.SH,ยฬฬ๏ป๚ะต,20210618,47.21,45.99,45.99,42.49,42.49,10572372,460090720,-4.72,-9.9979,43.5182,48.0562,934780000,,3739120000,22000000,0,88000000,29.6053,5.3864,3.052,47.7906,
605259.SH,ยฬฬ๏ป๚ะต,20210621,42.49,39.88,46.5,39.5,44.67,9149022,386540672,2.18,5.1306,42.2494,41.5865,982740000,,3930960000,22000000,0,88000000,31.1242,5.6627,3.2086,50.2426,
605259.SH,ยฬฬ๏ป๚ะต,20210622,44.67,42.88,44.44,41.78,42.22,6129497,265129480,-2.45,-5.4847,43.2547,27.8614,928840000,,3715360000,22000000,0,88000000,29.4171,5.3521,3.0326,47.487,
605259.SH,ยฬฬ๏ป๚ะต,20210623,42.22,41.44,41.5,39.86,40.45,5726163,231907281,-1.77,-4.1923,40.4996,26.028,889900000,,3559600000,22000000,0,88000000,28.1839,5.1278,2.9055,45.4962,
605259.SH,ยฬฬ๏ป๚ะต,20210624,40.45,39.87,40.22,37.88,38.4,5650732,219179986,-2.05,-5.068,38.7879,25.6851,844800000,,3379200000,22000000,0,88000000,26.7555,4.8679,2.7582,43.1904,
605259.SH,ยฬฬ๏ป๚ะต,20210625,38.4,38.01,38.8,37.51,38.33,3203072,122326136,-0.07,-0.1823,38.1903,14.5594,843260000,,3373040000,22000000,0,88000000,26.7067,4.859,2.7532,43.1117,
605259.SH,ยฬฬ๏ป๚ะต,20210628,38.33,38.95,38.95,36.9,37.1,3539405,132988864,-1.23,-3.209,37.5738,16.0882,816200000,,3264800000,22000000,0,88000000,25.8497,4.7031,2.6649,41.7282,
605259.SH,ยฬฬ๏ป๚ะต,20210629,37.1,36.9,36.9,35.83,36.1,3482482,126018217,-1,-2.6954,36.1863,15.8295,794200000,,3176800000,22000000,0,88000000,25.153,4.5763,2.593,40.6035,
605259.SH,ยฬฬ๏ป๚ะต,20210630,36.1,36.11,36.51,35.47,35.65,2517204,90215936,-0.45,-1.2465,35.8397,11.4418,784300000,,3137200000,22000000,0,88000000,24.8394,4.5193,2.5607,40.0974,
605259.SH,ยฬฬ๏ป๚ะต,20210701,35.65,35.65,36.18,35.43,35.44,2367332,84614905,-0.21,-0.5891,35.7427,10.7606,779680000,,3118720000,22000000,0,88000000,24.6931,4.4927,2.5456,39.8612,
