덜쯤,숌냔,휑퍅,품澗턍송(禱),역턍송(禱),離멕송(禱),離됴송(禱),澗턍송(禱),냥슥좆(믈),냥슥쏜띨(禱),朗딨(禱),朗딨류(%),엇송(禱),뻣癎쪽(%),A믈직繫懇令(禱),B믈직繫懇令(禱),悧懇令(禱),A믈직繫믈굶(믈),B믈직繫믈굶(믈),悧믈굶(믈),懇簞쪽,懇씐쪽,懇饋쪽,懇君쪽,
002102.SZ,ST박르,20070118,11.06,11,11.23,10.71,11.15,2307039,25140020.7,0.09,0.8137,10.8971,9.6127,267600000,,1267455711.7,24000000,0,113673158,43.6215,6.2658,3.7908,7.423,
002102.SZ,ST박르,20070119,11.15,11.2,11.88,11.17,11.82,5582373,64380710.4,0.67,6.009,11.5329,23.2599,283680000,,1343616727.56,24000000,0,113673158,46.2428,6.6423,4.0186,7.869,
002102.SZ,ST박르,20070122,11.82,12.37,13,12.3,13,7281596,93316492.2,1.18,9.9831,12.8154,30.34,312000000,,1477751054,24000000,0,113673158,50.8592,7.3054,4.4198,8.6546,
002102.SZ,ST박르,20070123,13,13.03,13.78,12.9,13.28,5494110,73555265.5,0.28,2.1538,13.388,22.8921,318720000,,1509579538.24,24000000,0,113673158,51.9546,7.4627,4.515,8.841,
002102.SZ,ST박르,20070124,13.28,13.39,13.6,13.01,13.44,3993106,53095034.9,0.16,1.2048,13.2967,16.6379,322560000,,1527767243.52,24000000,0,113673158,52.5806,7.5526,4.5694,8.9475,
002102.SZ,ST박르,20070125,13.44,13.6,14.45,13.55,13.89,6117012,84698973.5,0.45,3.3482,13.8465,25.4875,333360000,,1578920164.62,24000000,0,113673158,54.3411,7.8055,4.7224,9.2471,
002102.SZ,ST박르,20070126,13.89,13.5,13.85,12.5,13.49,3272821,42958004.5,-0.4,-2.8798,13.1257,13.6368,323760000,,1533450901.42,24000000,0,113673158,52.7762,7.5807,4.5864,8.9808,
002102.SZ,ST박르,20070129,13.49,13.48,13.98,13.01,13.9,2881588,39063453.4,0.41,3.0393,13.5562,12.0066,333600000,,1580056896.2,24000000,0,113673158,54.3802,7.8111,4.7258,9.2538,
002102.SZ,ST박르,20070130,13.9,13.9,14.08,13.3,13.42,1745734,23684020.8,-0.48,-3.4532,13.5668,7.2739,322080000,,1525493780.36,24000000,0,113673158,52.5023,7.5414,4.5626,8.9342,
002102.SZ,ST박르,20070131,13.42,13.3,13.62,12.52,12.82,1586685,20743759.3,-0.6,-4.4709,13.0736,6.6112,307680000,,1457289885.56,24000000,0,113673158,50.155,7.2042,4.3586,8.5348,
