測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600983.SH,需奧ひ,20070104,4.4535,4.4535,4.5501,4.4122,4.4811,3565597,11566336,0.0276,0.6192,3.2439,3.2268,359125000,,1082250000,110500000,0,333000000,21.9768,2.0554,2.1188,40.6563,
600983.SH,需奧ひ,20070105,4.4811,4.4949,4.5776,4.4398,4.5776,2620950,8608477,0.0965,2.1538,3.2845,2.3719,366860000,,1105560000,110500000,0,333000000,22.4502,2.0997,2.1645,41.5319,
600983.SH,需奧ひ,20070108,4.5776,4.5914,4.7293,4.5501,4.7017,4196648,14148093,0.1241,2.7108,3.3713,3.7979,376805000,,1135530000,110500000,0,333000000,23.0588,2.1566,2.2231,42.6578,
600983.SH,需奧ひ,20070109,4.7017,4.7017,4.7707,4.6604,4.7293,4927867,16892585,0.0276,0.5865,3.428,4.4596,379015000,,1142190000,110500000,0,333000000,23.194,2.1692,2.2362,42.908,
600983.SH,需奧ひ,20070110,4.7293,4.7293,4.8258,4.6466,4.812,6829160,23376085,0.0827,1.7493,3.423,6.1802,385645000,,1162170000,110500000,0,333000000,23.5997,2.2072,2.2753,43.6586,
600983.SH,需奧ひ,20070111,4.812,4.7982,4.9775,4.7569,4.8258,8400112,29701180,0.0138,0.2865,3.5358,7.6019,386750000,,1165500000,110500000,0,333000000,23.6673,2.2135,2.2818,43.7837,
600983.SH,需奧ひ,20070112,4.8258,4.812,4.8258,4.5776,4.5776,5785759,19688275,-0.2482,-5.1429,3.4029,5.236,366860000,,1105560000,110500000,0,333000000,22.4502,2.0997,2.1645,41.5319,
600983.SH,需奧ひ,20070115,4.5776,4.5501,4.7707,4.5501,4.7569,4729153,16075213,0.1792,3.9157,3.3992,4.2798,381225000,,1148850000,110500000,0,333000000,23.3292,2.1819,2.2492,43.1582,
600983.SH,需奧ひ,20070116,4.7569,4.7569,4.9223,4.7155,4.8948,6776787,23770511,0.1379,2.8986,3.5076,6.1328,392275000,,1182150000,110500000,0,333000000,24.0054,2.2451,2.3144,44.4092,
600983.SH,需奧ひ,20070117,4.8948,4.8948,4.9913,4.7017,4.812,9521905,33776109,-0.0827,-1.6901,3.5472,8.6171,385645000,,1162170000,110500000,0,333000000,23.5997,2.2072,2.2753,43.6586,
600983.SH,需奧ひ,20070118,4.812,4.8258,5.0326,4.7569,5.0051,8308241,29606141,0.193,4.0115,3.5635,7.5188,401115000,,1208790000,110500000,0,333000000,24.5464,2.2957,2.3666,45.4099,
600983.SH,需奧ひ,20070119,5.0051,5.074,5.1292,4.9775,5.0878,8180478,30038730,0.0827,1.6529,3.672,7.4031,407745000,,1228770000,110500000,0,333000000,24.9521,2.3337,2.4057,46.1605,
600983.SH,需奧ひ,20070122,5.0878,5.1981,5.598,5.1981,5.598,20283323,80869018,0.5102,10.0271,3.987,18.3559,448630000,,1351980000,110500000,0,333000000,27.4541,2.5677,2.6469,50.7891,
600983.SH,需奧ひ,20070123,5.598,5.6669,6.0943,5.5428,6.0943,18619544,79030057,0.4964,8.867,4.2445,16.8503,488410000,,1471860000,110500000,0,333000000,29.8885,2.7954,2.8816,55.2925,
600983.SH,需奧ひ,20070124,6.0943,6.0667,6.0667,5.791,5.9702,9829355,42275050,-0.1241,-2.0362,4.3009,8.8953,478465000,,1441890000,110500000,0,333000000,29.2799,2.7384,2.8229,54.1667,
600983.SH,需奧ひ,20070125,5.9702,5.9289,5.9427,5.529,5.5566,8271105,34468018,-0.4136,-6.9284,4.1673,7.4852,445315000,,1341990000,110500000,0,333000000,27.2513,2.5487,2.6274,50.4138,
