¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
603579.SH,»ŸÃ©Ω°øµ,20170111,,53.59,64.31,53.59,64.31,3300,211151,19.65,43.9991,63.9852,0.0189,1125425000,,4501700000,17500000,0,70000000,22.9864,10.9596,3.5031,16.9964,
603579.SH,»ŸÃ©Ω°øµ,20170112,64.31,70.74,70.74,70.74,70.74,5400,381996,6.43,9.9984,70.74,0.0309,1237950000,,4951800000,17500000,0,70000000,25.2847,12.0554,3.8534,18.6958,
603579.SH,»ŸÃ©Ω°øµ,20170113,70.74,77.81,77.81,77.81,77.81,15800,1229398,7.07,9.9943,77.81,0.0903,1361675000,,5446700000,17500000,0,70000000,27.8117,13.2603,4.2385,20.5643,
603579.SH,»ŸÃ©Ω°øµ,20170116,77.81,85.59,85.59,85.59,85.59,45400,3885786,7.78,9.9987,85.59,0.2594,1497825000,,5991300000,17500000,0,70000000,30.5925,14.5862,4.6623,22.6205,
603579.SH,»ŸÃ©Ω°øµ,20170117,85.59,94.15,94.15,94.15,94.15,611524,57574985,8.56,10.0012,94.15,3.4944,1647625000,,6590500000,17500000,0,70000000,33.6521,16.045,5.1286,24.8828,
603579.SH,»ŸÃ©Ω°øµ,20170118,94.15,103.57,103.57,103.57,103.57,154081,15958169,9.42,10.0053,103.57,0.8805,1812475000,,7249900000,17500000,0,70000000,37.0191,17.6503,5.6417,27.3724,
603579.SH,»ŸÃ©Ω°øµ,20170119,103.57,113.92,113.92,93.41,93.48,9635466,946032952,-10.09,-9.7422,98.1824,55.0598,1635900000,,6543600000,17500000,0,70000000,33.4127,15.9308,5.0921,24.7057,
603579.SH,»ŸÃ©Ω°øµ,20170120,93.48,93.09,102.83,93.09,102.83,6804881,673210912,9.35,10.0021,98.9306,38.885,1799525000,,7198100000,17500000,0,70000000,36.7546,17.5242,5.6014,27.1768,
603579.SH,»ŸÃ©Ω°øµ,20170123,102.83,104.83,112.7,103.18,108.86,6705454,722623757,6.03,5.864,107.7666,38.3169,1905050000,,7620200000,17500000,0,70000000,38.91,18.5518,5.9299,28.7704,
603579.SH,»ŸÃ©Ω°øµ,20170124,108.86,107,112.47,104.5,105.02,4386749,472093919,-3.84,-3.5275,107.6182,25.0671,1837850000,,7351400000,17500000,0,70000000,37.5374,17.8974,5.7207,27.7556,
603579.SH,»ŸÃ©Ω°øµ,20170125,105.02,103.88,115.52,103.25,113.72,5244151,585826267,8.7,8.2841,111.7104,29.9666,1990100000,,7960400000,17500000,0,70000000,40.6471,19.3801,6.1946,30.0549,
603579.SH,»ŸÃ©Ω°øµ,20170126,113.72,112.6,123.18,112,120.86,5573391,650689262,7.14,6.2786,116.7493,31.8479,2115050000,,8460200000,17500000,0,70000000,43.1991,20.5968,6.5836,31.9419,
603579.SH,»ŸÃ©Ω°øµ,20170203,120.86,118.75,125.36,118.36,119.78,4146329,502858687,-1.08,-0.8936,121.278,23.6933,2096150000,,8384600000,17500000,0,70000000,42.8131,20.4128,6.5247,31.6565,
603579.SH,»ŸÃ©Ω°øµ,20170206,119.78,119.12,123.99,116,123.14,3923131,471708126,3.36,2.8051,120.2377,22.4179,2154950000,,8619800000,17500000,0,70000000,44.0141,20.9854,6.7078,32.5445,
603579.SH,»ŸÃ©Ω°øµ,20170207,123.14,121.09,123.35,119.01,121.5,2778156,336217830,-1.64,-1.3318,121.0219,15.8752,2126250000,,8505000000,17500000,0,70000000,43.4279,20.7059,6.6184,32.111,
603579.SH,»ŸÃ©Ω°øµ,20170208,121.5,120.11,123.6,117.8,122.74,3324700,402840379,1.24,1.0206,121.1659,18.9983,2147950000,,8591800000,17500000,0,70000000,43.8711,20.9172,6.686,32.4388,
603579.SH,»ŸÃ©Ω°øµ,20170209,122.74,122,129.85,122,125.01,3586255,451525899,2.27,1.8494,125.9046,20.4929,2187675000,,8750700000,17500000,0,70000000,44.6825,21.3041,6.8096,33.0387,
603579.SH,»ŸÃ©Ω°øµ,20170210,125.01,124.5,125.86,119.3,119.93,2853682,349674813,-5.08,-4.0637,122.5346,16.3068,2098775000,,8395100000,17500000,0,70000000,42.8667,20.4384,6.5329,31.6961,
603579.SH,»ŸÃ©Ω°øµ,20170213,119.93,119.01,124.75,118.01,122.91,2567130,314189038,2.98,2.4848,122.3892,14.6693,2150925000,,8603700000,17500000,0,70000000,43.9319,20.9462,6.6952,32.4837,
603579.SH,»ŸÃ©Ω°øµ,20170214,122.91,122.5,126.5,122.11,124.72,2441301,303636258,1.81,1.4726,124.3748,13.9503,2182600000,,8730400000,17500000,0,70000000,44.5788,21.2547,6.7938,32.9621,
603579.SH,»ŸÃ©Ω°øµ,20170215,124.72,125,127,119,120.53,3525068,437309780,-4.19,-3.3595,124.0571,20.1432,2109275000,,8437100000,17500000,0,70000000,43.0812,20.5406,6.5656,31.8547,
603579.SH,»ŸÃ©Ω°øµ,20170216,120.53,119.31,122.3,118.07,120.01,2235025,267647668,-0.52,-0.4314,119.7515,12.7716,2100175000,,8400700000,17500000,0,70000000,42.8953,20.452,6.5373,31.7173,
603579.SH,»ŸÃ©Ω°øµ,20170217,120.01,119.5,121.85,114.6,116.39,2805168,328675229,-3.62,-3.0164,117.1678,16.0295,2036825000,,8147300000,17500000,0,70000000,41.6014,19.8351,6.3401,30.7605,
603579.SH,»ŸÃ©Ω°øµ,20170220,116.39,116.12,116.67,111.33,114.13,1945162,220826630,-2.26,-1.9417,113.5261,11.1152,1997275000,,7989100000,17500000,0,70000000,40.7936,19.4499,6.217,30.1632,
603579.SH,»ŸÃ©Ω°øµ,20170221,114.13,114.38,125.54,114,125.54,3261729,396569381,11.41,9.9974,121.5826,18.6385,2196950000,,8787800000,17500000,0,70000000,44.8719,21.3944,6.8385,33.1788,
603579.SH,»ŸÃ©Ω°øµ,20170222,125.54,126.87,135,125.98,131.8,4626480,601293075,6.26,4.9865,129.9677,26.437,2306500000,,9226000000,17500000,0,70000000,47.1094,22.4612,7.1795,34.8332,
603579.SH,»ŸÃ©Ω°øµ,20170223,131.8,130.18,133.39,129,132.98,3177331,418275055,1.18,0.8953,131.6435,18.1562,2327150000,,9308600000,17500000,0,70000000,47.5312,22.6623,7.2438,35.1451,
603579.SH,»ŸÃ©Ω°øµ,20170224,132.98,133,135.86,126.85,126.98,4220994,546637474,-6,-4.512,129.5044,24.12,2222150000,,8888600000,17500000,0,70000000,45.3866,21.6398,6.9169,33.5593,
