代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600161.SH,天坛生物,20070104,70.6058,71.6291,71.6291,66.1717,67.6725,5112724,102595453,-2.9334,-4.1546,20.0667,3.5917,2824224000,,6457920000,142350000,0,325500000,66.4191,10.0832,15.4956,-84.4161,
600161.SH,天坛生物,20070105,67.6725,67.3655,69.412,65.6259,68.5593,4094372,81280679,0.8868,1.3105,19.8518,2.8763,2861235000,,6542550000,142350000,0,325500000,67.2895,10.2153,15.6987,-85.5223,
600161.SH,天坛生物,20070108,68.5593,68.5593,75.4152,68.5593,75.4152,5180734,111594952,6.8559,10,21.5404,3.6394,3147358500,,7196805000,142350000,0,325500000,74.0184,11.2369,17.2685,-94.0746,
600161.SH,天坛生物,20070109,75.4152,75.7222,78.1439,73.3346,77.2912,3638488,81989438,1.876,2.4876,22.5339,2.556,3225651000,,7375830000,142350000,0,325500000,75.8597,11.5164,17.6981,-96.4147,
600161.SH,天坛生物,20070110,77.2912,78.0416,81.1797,77.2571,78.4509,2266556,52563622,1.1597,1.5004,23.191,1.5922,3274050000,,7486500000,142350000,0,325500000,76.9979,11.6892,17.9636,-97.8614,
600161.SH,天坛生物,20070111,78.4509,78.1098,82.8851,76.7455,82.7487,3445121,82333444,4.2977,5.4783,23.8986,2.4202,3453411000,,7896630000,142350000,0,325500000,81.216,12.3295,18.9477,-103.2225,
600161.SH,天坛生物,20070112,82.7487,82.3735,84.2154,78.4509,81.8959,4212787,99631937,-0.8527,-1.0305,23.6499,2.9595,3417823500,,7815255000,142350000,0,325500000,80.3791,12.2025,18.7525,-102.1588,
600161.SH,天坛生物,20070115,81.8959,80.361,85.2728,80.361,85.1022,2338505,56977939,3.2063,3.915,24.3651,1.6428,3551632500,,8121225000,142350000,0,325500000,83.526,12.6802,19.4866,-106.1583,
600161.SH,天坛生物,20070116,85.1022,83.5673,92.0946,83.5673,91.924,3210774,82856179,6.8218,8.016,25.8057,2.2555,3836332500,,8772225000,142350000,0,325500000,90.2215,13.6967,21.0487,-114.668,
600161.SH,天坛生物,20070117,91.924,92.0946,100.2808,89.3658,92.1628,3662196,101751491,0.2388,0.2597,27.7843,2.5727,3846297000,,8795010000,142350000,0,325500000,90.4558,13.7322,21.1034,-114.9658,
600161.SH,天坛生物,20070118,92.1628,92.7768,96.1877,90.9349,95.4373,2649833,72883836,3.2745,3.5529,27.5051,1.8615,3982953000,,9107490000,142350000,0,325500000,93.6696,14.2201,21.8532,-119.0505,
600161.SH,天坛生物,20070119,95.4373,95.3349,101.2017,95.3349,99.9738,2030094,59042222,4.5365,4.7534,29.0835,1.4261,4172278500,,9540405000,142350000,0,325500000,98.1221,14.8961,22.8919,-124.7094,
600161.SH,天坛生物,20070122,99.9738,99.9397,103.0095,99.428,101.5769,2701809,79932724,1.6031,1.6035,29.5849,1.898,4239183000,,9693390000,142350000,0,325500000,99.6955,15.135,23.259,-126.7092,
600161.SH,天坛生物,20070123,101.5769,101.6451,102.6684,94.9938,97.9954,4462312,126882689,-3.5815,-3.5259,28.4343,3.1347,4089715500,,9351615000,142350000,0,325500000,96.1804,14.6013,22.4389,-122.2416,
600161.SH,天坛生物,20070124,97.9954,96.8698,99.0869,92.5039,97.245,3082530,87421657,-0.7504,-0.7658,28.3604,2.1655,4058398500,,9280005000,142350000,0,325500000,95.4439,14.4895,22.2671,-121.3055,
600161.SH,天坛生物,20070125,97.245,96.8698,97.2109,90.7302,93.8,3977550,109800032,-3.445,-3.5426,27.6049,2.7942,3914625000,,8951250000,142350000,0,325500000,92.0627,13.9762,21.4783,-117.0082,
600161.SH,天坛生物,20070126,93.8,92.0264,93.8,85.9549,92.1287,4334718,114133303,-1.6713,-1.7818,26.33,3.0451,3844873500,,8791755000,142350000,0,325500000,90.4223,13.7272,21.0956,-114.9233,
600161.SH,天坛生物,20070129,92.1287,90.3891,93.8,90.3891,93.152,3777233,102361937,1.0233,1.1107,27.0997,2.6535,3887578500,,8889405000,142350000,0,325500000,91.4266,13.8796,21.3299,-116.1997,
600161.SH,天坛生物,20070130,93.152,93.152,101.5769,93.152,100.4513,3284908,93112631,7.2993,7.836,28.3456,2.3076,4192207500,,9585975000,142350000,0,325500000,98.5908,14.9672,23.0013,-125.3051,
600161.SH,天坛生物,20070131,100.4513,99.428,103.18,95.1985,97.8931,3215337,93814292,-2.5582,-2.5467,29.1771,2.2588,4085445000,,9341850000,142350000,0,325500000,96.08,14.5861,22.4155,-122.114,
600161.SH,天坛生物,20070201,97.8931,96.8698,100.6218,96.8698,99.0187,1542695,44646572,1.1256,1.1498,28.9406,1.0837,4132420500,,9449265000,142350000,0,325500000,97.1847,14.7538,22.6732,-123.5181,
600161.SH,天坛生物,20070202,99.0187,95.5055,100.6218,94.8233,97.2792,1716374,49254507,-1.7396,-1.7568,28.6968,1.2057,4059822000,,9283260000,142350000,0,325500000,95.4774,14.4946,22.2749,-121.3481,
600161.SH,天坛生物,20070205,97.2792,95.5396,98.5753,95.5396,97.2792,755993,21564316,0,0,28.5245,0.5311,4059822000,,9283260000,142350000,0,325500000,95.4774,14.4946,22.2749,-121.3481,
600161.SH,天坛生物,20070206,97.2792,98.2342,98.4048,88.7178,94.4481,2403563,65320332,-2.8311,-2.9102,27.1765,1.6885,3941671500,,9013095000,142350000,0,325500000,92.6988,14.0728,21.6267,-117.8166,
600161.SH,天坛生物,20070207,94.4481,94.1752,103.8963,94.1752,103.8963,3105247,92887360,9.4482,10.0036,29.913,2.1814,4335981000,,9914730000,142350000,0,325500000,101.972,15.4805,23.7901,-129.6025,
600161.SH,天坛生物,20070208,103.8963,109.4902,114.2996,105.9429,106.8297,4195870,137232138,2.9334,2.8234,32.7065,2.9476,4458402000,,10194660000,142350000,0,325500000,104.8511,15.9176,24.4618,-133.2616,
600161.SH,天坛生物,20070209,106.8297,105.6359,114.2655,104.3738,112.7306,2115584,68513297,5.9009,5.5236,32.3851,1.4862,4704667500,,10757775000,142350000,0,325500000,110.6426,16.7968,25.813,-140.6225,
600161.SH,天坛生物,20070212,112.7306,113.2422,122.7587,113.2422,115.4934,2701876,93652989,2.7628,2.4508,34.6622,1.8981,4819971000,,11021430000,142350000,0,325500000,113.3543,17.2085,26.4456,-144.069,
600161.SH,天坛生物,20070213,115.4934,115.6298,119.0408,115.2205,116.619,1027375,35010064,1.1256,0.9746,34.0772,0.7217,4866946500,,11128845000,142350000,0,325500000,114.4591,17.3762,26.7033,-145.4731,
600161.SH,天坛生物,20070214,116.619,116.926,117.6423,114.2655,117.233,1062667,35887846,0.614,0.5265,33.7715,0.7465,4892569500,,11187435000,142350000,0,325500000,115.0616,17.4677,26.8439,-146.2389,
600161.SH,天坛生物,20070215,117.233,115.6298,118.6997,115.2546,116.8237,1716489,58817466,-0.4093,-0.3491,34.2661,1.2058,4875487500,,11148375000,142350000,0,325500000,114.6599,17.4067,26.7502,-145.7283,
600161.SH,天坛生物,20070216,116.8237,122.7587,128.5231,117.9493,122.3152,1834541,65630194,5.4916,4.7007,35.7747,1.2888,5104671000,,11672430000,142350000,0,325500000,120.0498,18.225,28.0077,-152.5786,
600161.SH,天坛生物,20070226,122.3152,122.4517,122.4517,117.6764,120.3369,1211826,42359717,-1.9783,-1.6174,34.9553,0.8513,5022108000,,11483640000,142350000,0,325500000,118.1081,17.9302,27.5547,-150.1108,
600161.SH,天坛生物,20070227,120.3369,119.3819,120.4051,108.2964,108.2964,1410199,47556110,-12.0405,-10.0057,33.723,0.9907,4519612500,,10334625000,142350000,0,325500000,106.2906,16.1362,24.7976,-135.0912,
600161.SH,天坛生物,20070228,108.2964,105.056,109.115,101.9862,108.6716,2078848,64571914,0.3752,0.3465,31.0614,1.4604,4535271000,,10370430000,142350000,0,325500000,106.6588,16.1921,24.8836,-135.5593,
600161.SH,天坛生物,20070301,108.6716,108.808,117.1989,105.7382,113.9244,4409424,143529350,5.2528,4.8336,32.5506,3.0976,4754490000,,10871700000,142350000,0,325500000,111.8143,16.9747,26.0863,-142.1117,
600161.SH,天坛生物,20070302,113.9244,113.9585,116.7554,108.4669,113.9244,2909646,96038995,0,0,33.0071,2.044,4754490000,,10871700000,142350000,0,325500000,111.8143,16.9747,26.0863,-142.1117,
600161.SH,天坛生物,20070305,113.9244,111.6391,113.1058,102.532,102.532,3556387,109075121,-11.3924,-10,30.6702,2.4983,4279041000,,9784530000,142350000,0,325500000,100.6329,15.2773,23.4777,-127.9006,
600161.SH,天坛生物,20070306,102.532,100.6218,105.5677,98.9164,102.7707,1800021,54400337,0.2388,0.2329,30.2221,1.2645,4289005500,,9807315000,142350000,0,325500000,100.8672,15.3128,23.5324,-128.1984,
600161.SH,天坛生物,20070307,102.7707,104.0328,108.4669,101.9862,106.8638,1875848,57507143,4.0931,3.9827,30.6566,1.3178,4459825500,,10197915000,142350000,0,325500000,104.8845,15.9227,24.4696,-133.3042,
600161.SH,天坛生物,20070308,106.8638,106.5909,107.2731,104.7149,106.8979,841113,26191193,0.0341,0.0319,31.1387,0.5909,4461249000,,10201170000,142350000,0,325500000,104.918,15.9278,24.4774,-133.3467,
600161.SH,天坛生物,20070309,106.8979,106.5909,111.5026,106.5909,107.4778,1349022,42811739,0.5799,0.5424,31.7354,0.9477,4485448500,,10256505000,142350000,0,325500000,105.4871,16.0142,24.6102,-134.0701,
600161.SH,天坛生物,20070312,107.4778,107.8189,109.8313,104.8855,106.7956,1038774,32532762,-0.6822,-0.6347,31.3184,0.7297,4456978500,,10191405000,142350000,0,325500000,104.8176,15.9125,24.454,-133.2191,
600161.SH,天坛生物,20070313,106.7956,106.0793,108.808,104.5785,104.9878,1173436,36548512,-1.8078,-1.6927,31.1466,0.8243,4381533000,,10018890000,142350000,0,325500000,103.0433,15.6432,24.04,-130.964,
600161.SH,天坛生物,20070314,104.9878,103.3506,104.3738,100.6218,101.5769,3809225,114062601,-3.4109,-3.2489,29.9438,2.676,4239183000,,9693390000,142350000,0,325500000,99.6955,15.135,23.259,-126.7092,
600161.SH,天坛生物,20070315,101.5769,99.9738,104.0328,99.9738,102.2932,2184102,65573833,0.7163,0.7052,30.0232,1.5343,4269076500,,9761745000,142350000,0,325500000,100.3986,15.2417,23.423,-127.6027,
600161.SH,天坛生物,20070316,102.2932,103.0095,107.2731,101.2699,103.1459,1792018,54438832,0.8527,0.8336,30.3785,1.2589,4304664000,,9843120000,142350000,0,325500000,101.2355,15.3687,23.6183,-128.6664,
600161.SH,天坛生物,20070319,103.1459,100.6218,104.0669,99.2575,104.0328,1179510,35339748,0.8868,0.8598,29.9614,0.8286,4341675000,,9927750000,142350000,0,325500000,102.1059,15.5009,23.8214,-129.7727,
600161.SH,天坛生物,20070320,104.0328,103.7599,105.7041,101.9862,102.7025,1685805,51077934,-1.3303,-1.2787,30.2988,1.1843,4286158500,,9800805000,142350000,0,325500000,100.8003,15.3027,23.5168,-128.1133,
600161.SH,天坛生物,20070321,102.7025,102.3273,103.2824,98.9164,99.9738,2749538,80819770,-2.7287,-2.6569,29.3939,1.9315,4172278500,,9540405000,142350000,0,325500000,98.1221,14.8961,22.8919,-124.7094,
600161.SH,天坛生物,20070322,99.9738,99.5986,103.3165,99.5986,102.1909,2263423,67601330,2.2171,2.2177,29.8669,1.59,4264806000,,9751980000,142350000,0,325500000,100.2981,15.2264,23.3996,-127.4751,
600161.SH,天坛生物,20070323,102.1909,102.3273,102.9413,100.7242,101.6451,1311372,39149145,-0.5457,-0.534,29.8536,0.9212,4242030000,,9699900000,142350000,0,325500000,99.7625,15.1451,23.2746,-126.7943,
600161.SH,天坛生物,20070326,101.6451,102.3273,107.7506,100.6218,107.6142,2144499,65529686,5.9691,5.8725,30.5571,1.5065,4491142500,,10269525000,142350000,0,325500000,105.621,16.0345,24.6414,-134.2403,
600161.SH,天坛生物,20070327,107.6142,106.7615,107.1026,105.3289,105.67,1921494,59702172,-1.9442,-1.8067,31.0707,1.3498,4410003000,,10083990000,142350000,0,325500000,103.7128,15.7448,24.1962,-131.815,
600161.SH,天坛生物,20070328,105.67,103.5552,103.5552,95.0962,98.5412,13009302,366225877,-7.1288,-6.7463,28.1511,9.139,4112491500,,9403695000,142350000,0,325500000,93.0638,14.6826,22.5639,-122.9224,
600161.SH,天坛生物,20070329,98.5412,95.676,95.676,88.6837,88.6837,15003173,395581414,-9.8575,-10.0035,26.3665,10.5396,3701100000,,8463000000,142350000,0,325500000,83.7542,13.2139,20.3067,-110.6259,
600161.SH,天坛生物,20070330,88.6837,87.524,89.5364,83.2262,85.7844,8196362,208363016,-2.8993,-3.2692,25.4214,5.7579,3580102500,,8186325000,142350000,0,325500000,81.0161,12.7819,19.6429,-107.0093,
600161.SH,天坛生物,20070402,85.7844,86.296,91.7535,86.296,89.5705,6723860,175446228,3.7861,4.4135,26.0931,4.7235,3738111000,,8547630000,142350000,0,325500000,84.5918,13.346,20.5098,-111.7321,
600161.SH,天坛生物,20070403,89.5705,89.6046,92.7426,89.5364,92.4016,6617695,175895856,2.8311,3.1607,26.5796,4.6489,3856261500,,8817795000,142350000,0,325500000,87.2655,13.7678,21.158,-115.2637,
600161.SH,天坛生物,20070404,92.4016,92.7085,94.9938,92.7085,94.4481,7310886,201222450,2.0465,2.2148,27.5237,5.1359,3941671500,,9013095000,142350000,0,325500000,89.1982,14.0728,21.6267,-117.8166,
600161.SH,天坛生物,20070405,94.4481,94.4481,96.1194,92.7085,95.7442,6830377,188559134,1.2961,1.3723,27.606,4.7983,3995764500,,9136785000,142350000,0,325500000,90.4223,14.2659,21.9235,-119.4334,
600161.SH,天坛生物,20070406,95.7442,95.1985,96.1536,90.7302,92.9814,8424153,232388839,-2.7628,-2.8856,27.586,5.9179,3880461000,,8873130000,142350000,0,325500000,87.8131,13.8542,21.2908,-115.987,
