¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
688793.SH,±∂«·À…,20210715,,160,185.58,157,171.18,9677819,1620054676,143.78,524.7445,167.3987,77.1423,2147523797.34,,10551535200,12545413,0,61640000,112.1303,42.9756,12.7668,182.1449,
688793.SH,±∂«·À…,20210716,171.18,168,175.88,151.51,171,5697793,933730896,-0.18,-0.1052,163.8759,45.4173,2145265623,,10540440000,12545413,0,61640000,112.0124,42.9304,12.7533,181.9533,
688793.SH,±∂«·À…,20210719,171,169,169,138.05,139.99,3147461,489155709,-31.01,-18.1345,155.4128,25.0885,1756232365.87,,8628983600,12545413,0,61640000,91.6995,35.1452,10.4406,148.957,
688793.SH,±∂«·À…,20210720,139.99,139,155.62,135.51,153.33,2414939,359728786,13.34,9.5293,148.9598,19.2496,1923588175.29,,9451261200,12545413,0,61640000,100.4378,38.4943,11.4355,163.1515,
688793.SH,±∂«·À…,20210721,153.33,154.6,155.26,144.16,150.3,2081921,310422459,-3.03,-1.9761,149.1039,16.5951,1885575573.9,,9264492000,12545413,0,61640000,98.453,37.7336,11.2095,159.9274,
688793.SH,±∂«·À…,20210722,150.3,150.02,150.02,138.9,139.58,1384884,198072933,-10.72,-7.1324,143.0249,11.039,1751088746.54,,8603711200,12545413,0,61640000,91.4309,35.0423,10.41,148.5208,
688793.SH,±∂«·À…,20210723,139.58,138.9,139.98,119.98,128.13,2020443,257135303,-11.45,-8.2032,127.2668,16.105,1607443767.69,,7897933200,12545413,0,61640000,83.9307,32.1677,9.5561,136.3373,
688793.SH,±∂«·À…,20210726,128.13,123.99,133,119.84,120.2,1743078,220215553,-7.93,-6.189,126.3372,13.8941,1507958642.6,,7409128000,12545413,0,61640000,78.7362,30.1768,8.9646,127.8994,
688793.SH,±∂«·À…,20210727,120.2,118,128,115.6,115.98,1278034,156869002,-4.22,-3.5108,122.7424,10.1873,1455016999.74,,7149007200,12545413,0,61640000,75.9719,29.1174,8.6499,123.4091,
688793.SH,±∂«·À…,20210728,115.98,115,123.34,111.11,120,834112,99100491,4.02,3.4661,118.8096,6.6487,1505449560,,7396800000,12545413,0,61640000,78.6052,30.1266,8.9497,127.6866,
