¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
300997.SZ,ª∂¿÷º“,20210602,,31,33.17,29.87,31,63310816,1980035312,26.06,527.5304,31.2748,74.917,2619747814,,13950000000,84507994,0,450000000,71.4383,17.5126,11.1876,402.6325,
300997.SZ,ª∂¿÷º“,20210603,31,32,32.88,25.97,26,49118003,1387563988,-5,-16.129,28.2496,58.1223,2197207844,,11700000000,84507994,0,450000000,59.916,14.688,9.3832,337.6918,
300997.SZ,ª∂¿÷º“,20210604,26,24.4,25.5,22.8,22.95,36698076,875084454,-3.05,-11.7308,23.8455,43.4256,1939458462.3,,10327500000,84507994,0,450000000,52.8874,12.965,8.2825,298.0779,
300997.SZ,ª∂¿÷º“,20210607,22.95,22.35,24.09,21.7,22.5,30086610,690427848,-0.45,-1.9608,22.948,35.6021,1901429865,,10125000000,84507994,0,450000000,51.8504,12.7108,8.1201,292.2333,
300997.SZ,ª∂¿÷º“,20210608,22.5,22.4,22.4,20.82,20.95,29044436,625793903,-1.55,-6.8889,21.5461,34.3689,1770442474.3,,9427500000,84507994,0,450000000,48.2785,11.8351,7.5607,272.1017,
300997.SZ,ª∂¿÷º“,20210609,20.95,21.01,21.55,20.76,20.95,17427059,367516135,0,0,21.0888,20.6218,1770442474.3,,9427500000,84507994,0,450000000,48.2785,11.8351,7.5607,272.1017,
300997.SZ,ª∂¿÷º“,20210610,20.95,20.8,20.95,20.03,20.08,20286103,413717886,-0.87,-4.1527,20.3942,24.005,1696920519.52,,9036000000,84507994,0,450000000,46.2736,11.3436,7.2467,260.802,
300997.SZ,ª∂¿÷º“,20210611,20.08,19.99,20.88,19.9,20.44,21114220,433112680,0.36,1.7928,20.5128,24.9849,1727343397.36,,9198000000,84507994,0,450000000,47.1032,11.547,7.3766,265.4777,
300997.SZ,ª∂¿÷º“,20210615,20.44,20.5,20.5,18.98,19.1,19349648,377408794,-1.34,-6.5558,19.5047,22.8968,1614102685.4,,8595000000,84507994,0,450000000,44.0152,10.79,6.893,248.0736,
300997.SZ,ª∂¿÷º“,20210616,19.1,19,19.91,18.9,19.69,17260412,336938518,0.59,3.089,19.5209,20.4246,1663962401.86,,8860500000,84507994,0,450000000,45.3748,11.1233,7.106,255.7366,
300997.SZ,ª∂¿÷º“,20210617,19.69,19.37,20.66,19.12,19.82,18232647,363846288,0.13,0.6602,19.9558,21.5751,1674948441.08,,8919000000,84507994,0,450000000,45.6744,11.1968,7.1529,257.425,
300997.SZ,ª∂¿÷º“,20210618,19.82,20.2,22.76,19.55,21.01,28684088,607051181,1.19,6.004,21.1633,33.9425,1775512953.94,,9454500000,84507994,0,450000000,48.4167,11.869,7.5823,272.881,
300997.SZ,ª∂¿÷º“,20210621,21.01,20.81,21.69,20.65,20.76,21403442,450866028,-0.25,-1.1899,21.0651,25.3271,1754385955.44,,9342000000,84507994,0,450000000,47.8406,11.7278,7.4921,269.6339,
300997.SZ,ª∂¿÷º“,20210622,20.76,20.3,21.35,20.06,20.94,18816041,391901115,0.18,0.8671,20.828,22.2654,1769597394.36,,9423000000,84507994,0,450000000,48.2554,11.8295,7.5571,271.9718,
300997.SZ,ª∂¿÷º“,20210623,20.94,20.79,20.79,19.72,19.75,18385162,367772475,-1.19,-5.6829,20.0038,21.7555,1669032881.5,,8887500000,84507994,0,450000000,45.5131,11.1572,7.1276,256.5159,
300997.SZ,ª∂¿÷º“,20210624,19.75,19.61,19.67,19.05,19.05,11848351,228278981,-0.7,-3.5443,19.2667,14.0204,1609877285.7,,8572500000,84507994,0,450000000,43.9,10.7618,6.875,247.4242,
300997.SZ,ª∂¿÷º“,20210625,19.05,18.99,19.47,18.95,19.44,9938773,191814317,0.39,2.0472,19.2996,11.7607,1642835403.36,,8748000000,84507994,0,450000000,44.7987,10.9821,7.0157,252.4896,
300997.SZ,ª∂¿÷º“,20210628,19.44,19.39,19.9,19,19.71,10160553,198993879,0.27,1.3889,19.5849,12.0232,1665652561.74,,8869500000,84507994,0,450000000,45.4209,11.1346,7.1132,255.9964,
300997.SZ,ª∂¿÷º“,20210629,19.71,19.67,20.02,19.1,19.56,11494162,224544412,-0.15,-0.761,19.5355,13.6013,1652976362.64,,8802000000,84507994,0,450000000,45.0753,11.0499,7.059,254.0481,
300997.SZ,ª∂¿÷º“,20210630,19.56,19.37,19.47,18.73,18.76,12541627,238615067,-0.8,-4.09,19.0258,14.8408,1585369967.44,,8442000000,84507994,0,450000000,43.2317,10.5979,6.7703,243.6576,
