¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
301198.SZ,œ≤‘√÷«––,20211202,,55.02,60,55,57.9,16849742,976033294,36.14,166.0846,57.9257,71.0751,1372633157.7,,5790000000,23706963,0,100000000,88.8757,14.2279,21.6311,3254.4995,
301198.SZ,œ≤‘√÷«––,20211203,57.9,52,53,47.55,47.75,13539180,672617293,-10.15,-17.5302,49.6793,57.1106,1132007483.25,,4775000000,23706963,0,100000000,73.2956,11.7337,17.8391,2683.9785,
301198.SZ,œ≤‘√÷«––,20211206,47.75,45,45.5,41.81,41.82,10092816,438012876,-5.93,-12.4188,43.3985,42.5732,991425192.66,,4182000000,23706963,0,100000000,64.1931,10.2765,15.6237,2350.6594,
301198.SZ,œ≤‘√÷«––,20211207,41.82,41,42.95,40.2,41.16,7340613,304281602,-0.66,-1.5782,41.4518,30.964,975778597.08,,4116000000,23706963,0,100000000,63.18,10.1143,15.3771,2313.5613,
301198.SZ,œ≤‘√÷«––,20211208,41.16,41.2,43.57,40,42,7554171,315373593,0.84,2.0408,41.7483,31.8648,995692446,,4200000000,23706963,0,100000000,64.4694,10.3208,15.691,2360.7769,
301198.SZ,œ≤‘√÷«––,20211209,42,41.9,41.9,40.11,40.19,6416015,260549294,-1.81,-4.3095,40.6092,27.0638,952782842.97,,4019000000,23706963,0,100000000,61.6911,9.876,15.0148,2259.0386,
301198.SZ,œ≤‘√÷«––,20211210,40.19,39.36,39.37,38.3,38.86,5501056,213663543,-1.33,-3.3093,38.8405,23.2044,921252582.18,,3886000000,23706963,0,100000000,59.6495,9.5492,14.5179,2184.2808,
301198.SZ,œ≤‘√÷«––,20211213,38.86,38.71,39.47,38.5,39.26,3736953,145697759,0.4,1.0293,38.9884,15.7631,930735367.38,,3926000000,23706963,0,100000000,60.2635,9.6474,14.6673,2206.7644,
301198.SZ,œ≤‘√÷«––,20211214,39.26,39,40.48,38.88,40.17,5071030,201275685,0.91,2.3179,39.6913,21.3905,952308703.71,,4017000000,23706963,0,100000000,61.6604,9.8711,15.0073,2257.9146,
301198.SZ,œ≤‘√÷«––,20211215,40.17,42,48.2,41.88,46.9,14357934,648233728,6.73,16.7538,45.1481,60.5642,1111856564.7,,4690000000,23706963,0,100000000,71.9908,11.5248,17.5216,2636.2009,
301198.SZ,œ≤‘√÷«––,20211216,46.9,42.99,44.87,42,43.96,10928662,473804935,-2.94,-6.2687,43.3543,46.099,1042158093.48,,4396000000,23706963,0,100000000,67.478,10.8024,16.4232,2470.9465,
301198.SZ,œ≤‘√÷«––,20211217,43.96,42.84,43,40.78,40.79,7269444,303331817,-3.17,-7.2111,41.727,30.6638,967007020.77,,4079000000,23706963,0,100000000,62.6121,10.0234,15.2389,2292.7642,
301198.SZ,œ≤‘√÷«––,20211220,40.79,40.32,41.3,40.2,40.82,4306414,175525175,0.03,0.0735,40.759,18.1652,967718229.66,,4082000000,23706963,0,100000000,62.6581,10.0308,15.2501,2294.4504,
301198.SZ,œ≤‘√÷«––,20211221,40.82,40.69,40.69,39.6,40.33,3314711,132855583,-0.49,-1.2004,40.0806,13.982,956101817.79,,4033000000,23706963,0,100000000,61.906,9.9104,15.0671,2266.908,
301198.SZ,œ≤‘√÷«––,20211222,40.33,40.15,40.8,39.51,39.66,3372256,134731061,-0.67,-1.6613,39.9528,14.2247,940218152.58,,3966000000,23706963,0,100000000,60.8775,9.7457,14.8168,2229.248,
301198.SZ,œ≤‘√÷«––,20211223,39.66,39.8,41.12,38.88,40.98,5178286,208826322,1.32,3.3283,40.3273,21.8429,971511343.74,,4098000000,23706963,0,100000000,62.9037,10.0701,15.3099,2303.4438,
301198.SZ,œ≤‘√÷«––,20211224,40.98,40.64,40.66,38.3,38.31,4069519,160300884,-2.67,-6.5154,39.3906,17.1659,908213752.53,,3831000000,23706963,0,100000000,58.8053,9.414,14.3124,2153.3657,
301198.SZ,œ≤‘√÷«––,20211227,38.31,38.05,38.05,36.18,36.65,2885522,106096782,-1.66,-4.3331,36.7687,12.1716,868860193.95,,3665000000,23706963,0,100000000,56.2572,9.0061,13.6922,2060.0588,
301198.SZ,œ≤‘√÷«––,20211228,36.65,36.81,37.2,36.48,37.1,1928627,71089117,0.45,1.2278,36.86,8.1353,879528327.3,,3710000000,23706963,0,100000000,56.948,9.1167,13.8604,2085.353,
301198.SZ,œ≤‘√÷«––,20211229,37.1,37.1,37.77,36.48,37.5,2305579,85959851,0.4,1.0782,37.2834,9.7253,889011112.5,,3750000000,23706963,0,100000000,57.562,9.215,14.0098,2107.8364,
301198.SZ,œ≤‘√÷«––,20211230,37.5,37.29,37.91,37.1,37.13,2254642,84795859,-0.37,-0.9867,37.6095,9.5105,880239536.19,,3713000000,23706963,0,100000000,56.994,9.124,13.8716,2087.0393,
301198.SZ,œ≤‘√÷«––,20211231,37.13,37.15,37.71,36.76,37.19,1975856,73743484,0.06,0.1616,37.3223,8.3345,881661953.97,,3719000000,23706963,0,100000000,57.0861,9.1388,13.894,2090.4119,
301198.SZ,œ≤‘√÷«––,20220104,37.19,37.3,38.88,37.3,38.09,2871348,109634083,0.9,2.42,38.1821,12.1118,902998220.67,,3809000000,23706963,0,100000000,58.4676,9.3599,10.4942,8.2518,
301198.SZ,œ≤‘√÷«––,20220105,38.09,37.62,37.92,35.77,35.77,2994208,109281868,-2.32,-6.0908,36.4978,12.6301,847998066.51,,3577000000,23706963,0,100000000,54.9064,8.7898,9.855,7.7492,
301198.SZ,œ≤‘√÷«––,20220106,35.77,35.68,36.4,35.37,36.19,1674210,60298390,0.42,1.1742,36.016,7.0621,857954990.97,,3619000000,23706963,0,100000000,55.5511,8.893,9.9707,7.8402,
301198.SZ,œ≤‘√÷«––,20220107,36.19,36.15,36.68,35.42,35.51,1911167,68920484,-0.68,-1.879,36.062,8.0616,841834256.13,,3551000000,23706963,0,100000000,54.5073,8.7259,9.7834,7.6929,
