測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
300834.SZ,陎閩遠第,20220113,,51.98,52.34,50,50.5,18993682,964968931,-5.07,-9.1236,50.8047,41.3522,2319540144,,9782473826.5,45931488,0,193712353,30.1895,13.692,4.9512,114.128,
300834.SZ,陎閩遠第,20220114,50.5,48,48.75,47.47,47.79,12047611,577801621,-2.71,-5.3663,47.9599,26.2295,2195065811.52,,9257513349.87,45931488,0,193712353,28.5694,12.9572,4.6855,108.0035,
300834.SZ,陎閩遠第,20220117,47.79,47.52,48.95,47.4,48.09,7885033,378322125,0.3,0.6277,47.9798,17.1669,2208845257.92,,9315627055.77,45931488,0,193712353,28.7488,13.0385,4.7149,108.6815,
300834.SZ,陎閩遠第,20220118,48.09,47.88,48.69,47.2,48.59,7986928,382364569,0.5,1.0397,47.8738,17.3888,2231811001.92,,9412483232.27,45931488,0,193712353,29.0477,13.1741,4.7639,109.8115,
300834.SZ,陎閩遠第,20220119,48.59,48.1,48.48,47.5,47.58,5550538,265881109,-1.01,-2.0786,47.9019,12.0844,2185420199.04,,9216833755.74,45931488,0,193712353,28.4439,12.9003,4.6649,107.5289,
300834.SZ,陎閩遠第,20220120,47.58,47.35,47.37,45,45.21,7178194,330671326,-2.37,-4.9811,46.0661,15.628,2076562572.48,,8757735479.13,45931488,0,193712353,27.0271,12.2577,4.4325,102.1728,
300834.SZ,陎閩遠第,20220121,45.21,45.11,45.15,43.32,43.42,4538717,199594991,-1.79,-3.9593,43.9761,9.8815,1994345208.96,,8410990367.26,45931488,0,193712353,25.957,11.7724,4.257,98.1275,
300834.SZ,陎閩遠第,20220124,43.42,43.42,43.87,43.15,43.28,2231337,97145821,-0.14,-0.3224,43.537,4.858,1987914800.64,,8383870637.84,45931488,0,193712353,25.8733,11.7344,4.2433,97.8111,
300834.SZ,陎閩遠第,20220125,43.28,43.2,43.48,41.35,41.36,3263014,137753754,-1.92,-4.4362,42.2167,7.1041,1899726343.68,,8011942920.08,45931488,0,193712353,24.7255,11.2139,4.0551,93.472,
300834.SZ,陎閩遠第,20220126,41.36,41.59,41.89,40.85,41.48,2038091,84198620,0.12,0.2901,41.3125,4.4372,1905238122.24,,8035188402.44,45931488,0,193712353,24.7972,11.2464,4.0668,93.7432,
300834.SZ,陎閩遠第,20220127,41.48,41.43,41.43,39.89,39.9,2693785,109257234,-1.58,-3.8091,40.559,5.8648,1832666371.2,,7729122884.7,45931488,0,193712353,23.8527,10.818,3.9119,90.1724,
300834.SZ,陎閩遠第,20220128,39.9,40.27,41,39.98,40.25,1890078,76465149,0.35,0.8772,40.4561,4.115,1848742392,,7796922208.25,45931488,0,193712353,24.0619,10.9129,3.9462,90.9634,
300834.SZ,陎閩遠第,20220207,40.25,40.95,41.75,40.7,41.03,1948831,80329126,0.78,1.9379,41.2191,4.2429,1884568952.64,,7948017843.59,45931488,0,193712353,24.5282,11.1244,4.0227,92.7262,
300834.SZ,陎閩遠第,20220208,41.03,41.18,41.4,40.83,41.4,1686215,69356602,0.37,0.9018,41.1315,3.6712,1901563603.2,,8019691414.2,45931488,0,193712353,24.7494,11.2247,4.059,93.5624,
300834.SZ,陎閩遠第,20220209,41.4,41.5,41.67,41.22,41.64,1674771,69571676,0.24,0.5797,41.541,3.6462,1912587160.32,,8066182378.92,45931488,0,193712353,24.8929,11.2898,4.0825,94.1048,
300834.SZ,陎閩遠第,20220210,41.64,41.54,41.7,41.21,41.29,1646866,68092948,-0.35,-0.8405,41.347,3.5855,1896511139.52,,7998383055.37,45931488,0,193712353,24.6837,11.1949,4.0482,93.3138,
300834.SZ,陎閩遠第,20220211,41.29,41.36,42.98,41.36,41.83,2900280,122688628,0.54,1.3078,42.3023,6.3144,1921314143.04,,8102987725.99,45931488,0,193712353,25.0065,11.3413,4.1011,94.5342,
300834.SZ,陎閩遠第,20220214,41.83,42.1,42.1,40.5,41.36,1345658,55593011,-0.47,-1.1236,41.3129,2.9297,1899726343.68,,8011942920.08,45931488,0,193712353,24.7255,11.2139,4.0551,93.472,
300834.SZ,陎閩遠第,20220215,41.36,41.39,41.7,41.02,41.4,1400282,57806222,0.04,0.0967,41.2818,3.0486,1901563603.2,,8019691414.2,45931488,0,193712353,24.7494,11.2247,4.059,93.5624,
300834.SZ,陎閩遠第,20220216,41.4,41.53,42.47,41.37,42.39,2220613,93296450,0.99,2.3913,42.0138,4.8346,1947035776.32,,8211466643.67,45931488,0,193712353,25.3413,11.4931,4.156,95.7997,
300834.SZ,陎閩遠第,20220217,42.39,42.18,42.48,42.01,42.05,2001652,84493612,-0.34,-0.8021,42.2119,4.3579,1931419070.4,,8145604443.65,45931488,0,193712353,25.138,11.4009,4.1227,95.0314,
300834.SZ,陎閩遠第,20220218,42.05,41.7,42.01,41.6,41.92,1304868,54555970,-0.13,-0.3092,41.8096,2.8409,1925447976.96,,8120421837.76,45931488,0,193712353,25.0603,11.3657,4.11,94.7376,
300834.SZ,陎閩遠第,20220221,41.92,41.92,42.42,41.75,42.24,1371041,57761628,0.32,0.7634,42.1298,2.985,1940146053.12,,8182409790.72,45931488,0,193712353,25.2516,11.4524,4.1413,95.4607,
300834.SZ,陎閩遠第,20220222,42.24,42.07,42.1,41.02,41.06,2027333,83916506,-1.18,-2.7936,41.3926,4.4138,1885946897.28,,7953829214.18,45931488,0,193712353,24.5462,11.1325,4.0256,92.794,
300834.SZ,陎閩遠第,20220223,41.06,41.07,41.8,41.06,41.66,1411909,58636610,0.6,1.4613,41.53,3.0739,1913505790.08,,8070056625.98,45931488,0,193712353,24.9048,11.2952,4.0845,94.15,
300834.SZ,陎閩遠第,20220224,41.66,41.46,41.96,40.1,40.42,2527568,103427388,-1.24,-2.9765,40.9197,5.5029,1856550744.96,,7829853308.26,45931488,0,193712353,24.1636,10.959,3.9629,91.3476,
300834.SZ,陎閩遠第,20220225,40.42,40.83,41.2,40.61,40.7,1596701,65250364,0.28,0.6927,40.8657,3.4763,1869411561.6,,7884092767.1,45931488,0,193712353,24.3309,11.0349,3.9904,91.9804,
300834.SZ,陎閩遠第,20220228,40.7,40.85,41.32,40.42,41.22,1419547,58107895,0.52,1.2776,40.9341,3.0906,1893295935.36,,7984823190.66,45931488,0,193712353,24.6418,11.1759,4.0413,93.1556,
300834.SZ,陎閩遠第,20220301,41.22,41.28,42.08,41.15,42.06,1861431,77700951,0.84,2.0378,41.7426,4.0526,1931878385.28,,8147541567.18,45931488,0,193712353,25.144,11.4036,4.1237,95.054,
300834.SZ,陎閩遠第,20220302,42.06,41.84,42.19,41.75,41.98,1537213,64432435,-0.08,-0.1902,41.9151,3.3468,1928203866.24,,8132044578.94,45931488,0,193712353,25.0961,11.382,4.1158,94.8732,
300834.SZ,陎閩遠第,20220303,41.98,41.97,42.34,41.85,42.28,2141649,90268342,0.3,0.7146,42.149,4.6627,1941983312.64,,8190158284.84,45931488,0,193712353,25.2755,11.4633,4.1453,95.5511,
300834.SZ,陎閩遠第,20220304,42.28,42.03,42.08,41.35,41.42,1865299,77579860,-0.86,-2.0341,41.5911,4.061,1902482232.96,,8023565661.26,45931488,0,193712353,24.7614,11.2301,4.0609,93.6076,
300834.SZ,陎閩遠第,20220307,41.42,41.88,42.94,41.63,41.76,3353758,141789516,0.34,0.8209,42.2778,7.3017,1918098938.88,,8089427861.28,45931488,0,193712353,27.6974,10.5288,4.0943,94.376,
300834.SZ,陎閩遠第,20220308,41.76,41.43,41.55,40.23,40.3,2262394,92014083,-1.46,-3.4962,40.6711,4.9256,1851038966.4,,7806607825.9,45931488,0,193712353,26.7291,10.1606,3.9511,91.0764,
300834.SZ,陎閩遠第,20220309,40.3,40.26,40.67,37.99,39.14,2053872,80995514,-1.16,-2.8784,39.4355,4.4716,1797758440.32,,7581901496.42,45931488,0,193712353,25.9597,9.8682,3.8374,88.4549,
300834.SZ,陎閩遠第,20220310,39.14,39.8,40.32,39.33,39.34,1428356,56907162,0.2,0.511,39.841,3.1098,1806944737.92,,7620643967.02,45931488,0,193712353,26.0923,9.9186,3.857,88.9069,
300834.SZ,陎閩遠第,20220311,39.34,38.88,39.44,38.38,39.22,1510465,58599678,-0.12,-0.305,38.7958,3.2885,1801432959.36,,7597398484.66,45931488,0,193712353,26.0128,9.8884,3.8452,88.6357,
300834.SZ,陎閩遠第,20220314,39.22,39,40.09,38.91,39.29,1400498,55363047,0.07,0.1785,39.531,3.0491,1804648163.52,,7610958349.37,45931488,0,193712353,26.0592,9.906,3.8521,88.7939,
300834.SZ,陎閩遠第,20220315,39.29,38.96,39.18,37.7,37.75,1530956,58870937,-1.54,-3.9196,38.4537,3.3331,1733913672,,7312641325.75,45931488,0,193712353,25.0378,9.5177,3.7011,85.3135,
300834.SZ,陎閩遠第,20220316,37.75,38.1,38.45,37.15,38.41,1384572,52668712,0.66,1.7483,38.0397,3.0144,1764228454.08,,7440491478.73,45931488,0,193712353,25.4755,9.6841,3.7658,86.8051,
300834.SZ,陎閩遠第,20220317,38.41,38.61,39.27,38.6,38.75,1684925,65642591,0.34,0.8852,38.9588,3.6683,1779845160,,7506353678.75,45931488,0,193712353,25.701,9.7699,3.7992,87.5735,
300834.SZ,陎閩遠第,20220318,38.75,38.88,39.09,38.61,39.03,994088,38656007,0.28,0.7226,38.8859,2.1643,1792705976.64,,7560593137.59,45931488,0,193712353,25.8867,9.8405,3.8266,88.2063,
300834.SZ,陎閩遠第,20220321,39.03,38.53,38.85,38.28,38.78,1498767,57867295,-0.25,-0.6405,38.6099,3.263,1781223104.64,,7512165049.34,45931488,0,193712353,25.7209,9.7774,3.8021,87.6413,
300834.SZ,陎閩遠第,20220322,38.78,38.81,38.88,38.28,38.43,1181204,45444417,-0.35,-0.9025,38.473,2.5717,1765147083.84,,7444365725.79,45931488,0,193712353,25.4888,9.6892,3.7678,86.8503,
300834.SZ,陎閩遠第,20220323,38.43,38.38,38.77,38.32,38.48,879151,33885243,0.05,0.1301,38.5431,1.914,1767443658.24,,7454051343.44,45931488,0,193712353,25.5219,9.7018,3.7727,86.9633,
300834.SZ,陎閩遠第,20220324,38.48,38.3,38.33,38.03,38.15,1025483,39109075,-0.33,-0.8576,38.1372,2.2326,1752286267.2,,7390126266.95,45931488,0,193712353,25.3031,9.6186,3.7403,86.2175,
300834.SZ,陎閩遠第,20220325,38.15,38.22,38.51,38.08,38.16,817797,31287030,0.01,0.0262,38.2577,1.7805,1752745582.08,,7392063390.48,45931488,0,193712353,25.3097,9.6211,3.7413,86.2401,
300834.SZ,陎閩遠第,20220328,38.16,38.09,38.13,37.35,37.6,1006849,37912347,-0.56,-1.4675,37.6545,2.1921,1727023948.8,,7283584472.8,45931488,0,193712353,24.9383,9.4799,3.6864,84.9745,
300834.SZ,陎閩遠第,20220329,37.6,37.6,37.9,37.35,37.4,813567,30524993,-0.2,-0.5319,37.5199,1.7713,1717837651.2,,7244842002.2,45931488,0,193712353,24.8056,9.4295,3.6668,84.5225,
300834.SZ,陎閩遠第,20220330,37.4,37.52,37.95,37.52,37.89,715828,26999324,0.49,1.3102,37.7176,1.5585,1740344080.32,,7339761055.17,45931488,0,193712353,25.1306,9.553,3.7148,85.6299,
300834.SZ,陎閩遠第,20220331,37.89,38.57,41.45,38.56,39.71,3500916,139092425,1.82,4.8034,39.7303,7.622,1823939388.48,,7692317537.63,45931488,0,193712353,26.3377,10.0119,3.8933,89.743,
300834.SZ,陎閩遠第,20220401,39.71,39.3,39.47,38.72,39.2,1768691,69151889,-0.51,-1.2843,39.0978,3.8507,1800514329.6,,7593524237.6,45931488,0,193712353,25.9995,9.8833,3.8433,88.5905,
300834.SZ,陎閩遠第,20220406,39.2,39.15,40.22,39,40.18,1622212,64656320,0.98,2.5,39.8569,3.5318,1845527187.84,,7783362343.54,45931488,0,193712353,26.6495,10.1304,3.9394,90.8052,
300834.SZ,陎閩遠第,20220407,40.18,40.2,40.33,39.45,39.79,1671006,66418745,-0.39,-0.9706,39.7478,3.638,1827613907.52,,7707814525.87,45931488,0,193712353,26.3908,10.0321,3.9011,89.9238,
300834.SZ,陎閩遠第,20220408,39.79,39.0596,39.0596,37.5777,37.6412,1961018,70375991,-2.1488,-5.4004,35.8875,4.2694,1633323713.28,,6888411272.68,45931488,0,193712353,23.5852,8.9656,3.4864,80.3642,
300834.SZ,陎閩遠第,20220411,37.6412,37.4506,37.6306,35.9899,36.1381,1381897,47710655,-1.5031,-3.9933,34.5255,3.0086,1568101000.32,,6613339731.42,45931488,0,193712353,22.6434,8.6076,3.3472,77.1551,
300834.SZ,陎閩遠第,20220412,36.1381,36.3074,36.4133,34.9419,35.7993,1090269,36613181,-0.3387,-0.9373,33.5818,2.3737,1553402924.16,,6551351778.46,45931488,0,193712353,22.4312,8.5269,3.3158,76.4319,
300834.SZ,陎閩遠第,20220413,35.7993,35.6723,35.6723,34.9631,35.0372,835750,27781868,-0.7621,-2.1289,33.2418,1.8196,1520332252.8,,6411878884.3,45931488,0,193712353,21.9536,8.3453,3.2452,74.8047,
300834.SZ,陎閩遠第,20220414,35.0372,35.0372,35.3018,35.0372,35.1536,599200,19911526,0.1164,0.3323,33.2302,1.3046,1525384716.48,,6433187243.13,45931488,0,193712353,22.0266,8.3731,3.256,75.0533,
300834.SZ,陎閩遠第,20220415,35.1536,35.016,35.0478,33.7987,33.8199,1208090,39017396,-1.3337,-3.794,32.2968,2.6302,1467511041.6,,6189109678.35,45931488,0,193712353,21.1909,8.0554,3.1325,72.2057,
300834.SZ,陎閩遠第,20220418,33.8199,33.8622,34.2433,33.2377,34.1798,655875,20965019,0.3599,1.0642,31.965,1.4279,1483127747.52,,6254971878.37,45931488,0,193712353,21.4164,8.1411,3.1658,72.9741,
300834.SZ,陎閩遠第,20220419,34.1798,33.9258,34.3809,33.7776,33.894,578584,18609402,-0.2858,-0.8362,32.1637,1.2597,1470726245.76,,6202669543.06,45931488,0,193712353,21.2373,8.0731,3.1393,72.364,
300834.SZ,陎閩遠第,20220420,33.894,33.894,34.3068,33.6505,33.8199,665016,21385351,-0.0741,-0.2186,32.1576,1.4478,1467511041.6,,6189109678.35,45931488,0,193712353,21.1909,8.0554,3.1325,72.2057,
300834.SZ,陎閩遠第,20220421,33.8199,33.7141,33.9046,32.6555,32.7085,885305,27828823,-1.1115,-3.2864,31.4342,1.9274,1419282979.2,,5985711707.7,45931488,0,193712353,20.4945,7.7907,3.0295,69.8328,
300834.SZ,陎閩遠第,20220422,32.7085,32.6026,33.6188,32.2321,33.2165,957844,29788123,0.5081,1.5534,31.0991,2.0854,1441330093.44,,6078693637.14,45931488,0,193712353,20.8129,7.9117,3.0766,70.9176,
300834.SZ,陎閩遠第,20220425,33.2165,32.6767,32.899,29.9351,30.1362,1272806,37841316,-3.0803,-9.2734,29.7306,2.7711,1307669463.36,,5514990689.91,45931488,0,193712353,18.8828,7.178,2.7913,64.3411,
