代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
430139.BJ,华岭股份,20120907,,5.88,5.9,5.88,5.9,120000,707400,,,5.895,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120910,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120911,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120912,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120913,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120914,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120917,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120918,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120919,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120920,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120921,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120924,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120925,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120926,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120927,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20120928,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121008,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121009,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121010,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121011,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121012,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121015,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121016,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121017,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121018,5.9,5.9,5.9,5.9,5.9,,,0,0,,,0,,182900000,0,0,31000000,15.4845,3.0218,3.4311,-20.1252,
430139.BJ,华岭股份,20121019,5.9,6.28,6.28,6.28,6.28,30000,188400,0.38,6.4407,6.28,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121022,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121023,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121024,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121025,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121026,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121029,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121030,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121031,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121101,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121102,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121105,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121106,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121107,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121108,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121109,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121112,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
430139.BJ,华岭股份,20121113,6.28,6.28,6.28,6.28,6.28,,,0,0,,,0,,194680000,0,0,31000000,16.4818,3.2164,3.6521,-21.4214,
