ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
601007.SH,ฝ๐ม๊ทนต๊,20070406,,8.5,15,8.5,13.37,68067778,845277981,9.12,214.5882,12.4182,77.3506,1176546630,,4011000000,87999000,0,300000000,103.1306,10.9614,11.7458,98.264,
601007.SH,ฝ๐ม๊ทนต๊,20070409,13.37,12.88,14.19,12.73,13.99,38965831,514559373,0.62,4.6372,13.2054,44.2799,1231106010,,4197000000,87999000,0,300000000,107.913,11.4698,12.2905,102.8207,
601007.SH,ฝ๐ม๊ทนต๊,20070410,13.99,13.7,14.39,13.2,13.81,25212318,348696943,-0.18,-1.2866,13.8304,28.6507,1215266190,,4143000000,87999000,0,300000000,106.5246,11.3222,12.1324,101.4978,
601007.SH,ฝ๐ม๊ทนต๊,20070411,13.81,13.7,14,13.5,13.77,15313720,209995257,-0.04,-0.2896,13.7129,17.4022,1211746230,,4131000000,87999000,0,300000000,106.216,11.2894,12.0973,101.2038,
601007.SH,ฝ๐ม๊ทนต๊,20070412,13.77,13.85,14.9,13.74,14.66,26829259,387583134,0.89,6.4633,14.4463,30.4881,1290065340,,4398000000,87999000,0,300000000,113.0811,12.0191,12.8791,107.745,
601007.SH,ฝ๐ม๊ทนต๊,20070413,14.66,14.35,14.67,14.11,14.21,17546854,251929176,-0.45,-3.0696,14.3575,19.9398,1250465790,,4263000000,87999000,0,300000000,109.61,11.6501,12.4838,104.4377,
601007.SH,ฝ๐ม๊ทนต๊,20070416,14.21,14.28,14.54,14.14,14.39,9891117,141705858,0.18,1.2667,14.3266,11.24,1266305610,,4317000000,87999000,0,300000000,110.9984,11.7977,12.6419,105.7606,
601007.SH,ฝ๐ม๊ทนต๊,20070417,14.39,14.43,14.43,13.61,14.09,14549787,204091726,-0.3,-2.0848,14.0271,16.534,1239905910,,4227000000,87999000,0,300000000,108.6843,11.5517,12.3784,103.5557,
601007.SH,ฝ๐ม๊ทนต๊,20070418,14.09,13.98,14.38,13.62,14.28,10641466,148037595,0.19,1.3485,13.9114,12.0927,1256625720,,4284000000,87999000,0,300000000,110.1499,11.7075,12.5453,104.9521,
601007.SH,ฝ๐ม๊ทนต๊,20070419,14.28,14.28,14.28,13.5,13.78,10002060,139248807,-0.5,-3.5014,13.922,11.3661,1212626220,,4134000000,87999000,0,300000000,106.2931,11.2976,12.106,101.2773,
601007.SH,ฝ๐ม๊ทนต๊,20070420,13.78,13.89,15.16,13.8,15.16,20395661,300140042,1.38,10.0145,14.7159,23.1772,1334064840,,4548000000,87999000,0,300000000,116.9379,12.429,13.3184,111.4198,
601007.SH,ฝ๐ม๊ทนต๊,20070423,15.16,15.35,16,15.1,15.77,21975891,342103759,0.61,4.0237,15.5672,24.9729,1387744230,,4731000000,87999000,0,300000000,121.6432,12.9291,13.8543,115.903,
601007.SH,ฝ๐ม๊ทนต๊,20070424,15.77,15.7,15.9,15.38,15.56,11933301,186304417,-0.21,-1.3316,15.6121,13.5607,1369264440,,4668000000,87999000,0,300000000,120.0233,12.7569,13.6698,114.3596,
601007.SH,ฝ๐ม๊ทนต๊,20070425,15.56,15.3,16.22,15.25,15.98,13003033,206215106,0.42,2.6992,15.859,14.7763,1406224020,,4794000000,87999000,0,300000000,123.263,13.1013,14.0388,117.4464,
601007.SH,ฝ๐ม๊ทนต๊,20070426,15.98,15.9,15.99,15.59,15.79,6548191,103348221,-0.19,-1.189,15.7827,7.4412,1389504210,,4737000000,87999000,0,300000000,121.7974,12.9455,13.8719,116.05,
601007.SH,ฝ๐ม๊ทนต๊,20070427,15.79,15.7,15.78,15.01,15.2,8851879,135269865,-0.59,-3.7365,15.2815,10.0591,1337584800,,4560000000,87999000,0,300000000,117.2464,12.4618,13.3535,111.7138,
