代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002207.SZ,准油股份,20080128,,23.01,25.8,23.01,25.35,14947152,368983182.9,17.5,222.9299,24.6859,74.7358,507000000,,2521277766.15,20000000,0,99458689,98.7462,14.8408,9.9201,38.3753,
002207.SZ,准油股份,20080129,25.35,24.1,27.3,23.28,25,10203641,261297416.4,-0.35,-1.3807,25.6083,51.0182,500000000,,2486467225,20000000,0,99458689,97.3828,14.6359,9.7831,37.8455,
002207.SZ,准油股份,20080130,25,24.3,25,22.5,22.5,7074087,166179176.4,-2.5,-10,23.4913,35.3704,450000000,,2237820502.5,20000000,0,99458689,87.6445,13.1723,8.8048,34.0609,
002207.SZ,准油股份,20080131,22.5,21.78,22,20.71,20.9,4210418,90006446.4,-1.6,-7.1111,21.3771,21.0521,418000000,,2078686600.1,20000000,0,99458689,81.412,12.2356,8.1787,31.6388,
002207.SZ,准油股份,20080201,20.9,20.2,20.77,18.81,19.2,3764164,72533328.5,-1.7,-8.134,19.2694,18.8208,384000000,,1909606828.8,20000000,0,99458689,74.79,11.2404,7.5134,29.0653,
002207.SZ,准油股份,20080204,19.2,19.9,20.99,19.4,20.8,3124491,63327546.7,1.6,8.3333,20.2681,15.6225,416000000,,2068740731.2,20000000,0,99458689,81.0225,12.1771,8.1396,31.4874,
002207.SZ,准油股份,20080205,20.8,20.39,20.87,19.7,20.45,2341286,47232187,-0.35,-1.6827,20.1736,11.7064,409000000,,2033930190.05,20000000,0,99458689,79.6591,11.9722,8.0026,30.9576,
002207.SZ,准油股份,20080213,20.45,20.02,22.07,19.7,21.96,3236458,68338718.1,1.51,7.3839,21.1153,16.1823,439200000,,2184112810.44,20000000,0,99458689,85.5411,12.8562,8.5935,33.2435,
002207.SZ,准油股份,20080214,21.96,21.58,22.8,21.32,22.03,3350879,74035104.1,0.07,0.3188,22.0942,16.7544,440600000,,2191074918.67,20000000,0,99458689,85.8137,12.8972,8.6209,33.3494,
002207.SZ,准油股份,20080215,22.03,21.7,22.5,21.32,22.09,1682532,36887428.7,0.06,0.2724,21.9238,8.4127,441800000,,2197042440.01,20000000,0,99458689,86.0475,12.9323,8.6444,33.4403,
002207.SZ,准油股份,20080218,22.09,22.33,23.19,22,22.55,2399590,54509102.7,0.46,2.0824,22.716,11.9979,451000000,,2242793436.95,20000000,0,99458689,87.8393,13.2016,8.8244,34.1366,
002207.SZ,准油股份,20080219,22.55,22.5,22.8,22.15,22.65,1605795,36084392.3,0.1,0.4435,22.4714,8.029,453000000,,2252739305.85,20000000,0,99458689,88.2288,13.2602,8.8635,34.288,
002207.SZ,准油股份,20080220,22.65,22.95,23.61,21.85,22.02,2112265,47876493.3,-0.63,-2.7815,22.666,10.5613,440400000,,2190080331.78,20000000,0,99458689,85.7748,12.8913,8.617,33.3343,
002207.SZ,准油股份,20080221,22.02,21.99,23.47,21.58,23.16,2091625,47473961,1.14,5.1771,22.6972,10.4581,463200000,,2303463237.24,20000000,0,99458689,90.2154,13.5587,9.0631,35.0601,
002207.SZ,准油股份,20080222,23.16,23,23.01,20.84,21.42,1870910,41153354.8,-1.74,-7.513,21.9964,9.3545,428400000,,2130405118.38,20000000,0,99458689,78.5288,12.5401,8.3822,32.426,
002207.SZ,准油股份,20080225,21.42,21.22,21.87,20.1,20.11,1275544,26371610.5,-1.31,-6.1158,20.6748,6.3777,402200000,,2000114235.79,20000000,0,99458689,73.7262,11.7731,7.8696,30.4429,
002207.SZ,准油股份,20080226,20.11,20.9,21.38,20.34,20.9,1497557,31138950.6,0.79,3.9284,20.7932,7.4878,418000000,,2078686600.1,20000000,0,99458689,76.6224,12.2356,8.1787,31.6388,
002207.SZ,准油股份,20080227,20.9,20.88,21.8,20.7,21.63,1177168,25241480.5,0.73,3.4928,21.4425,5.8858,432600000,,2151291443.07,20000000,0,99458689,79.2987,12.663,8.4644,32.7439,
002207.SZ,准油股份,20080228,21.63,21.9,21.9,20.8,21.01,1106834,23536052.9,-0.62,-2.8664,21.2643,5.5342,420200000,,2089627055.89,20000000,0,99458689,77.0257,12.3,8.2217,31.8053,
002207.SZ,准油股份,20080229,21.01,21,21.57,20.82,21.41,847656,18034796.1,0.4,1.9039,21.2761,4.2383,428200000,,2129410531.49,20000000,0,99458689,78.4921,12.5342,8.3783,32.4109,
002207.SZ,准油股份,20080303,21.41,21.29,22.1,20.65,21.7,1303274,27930866.1,0.29,1.3545,21.4313,6.5164,434000000,,2158253551.3,20000000,0,99458689,79.5553,12.704,8.4918,32.8499,
002207.SZ,准油股份,20080304,21.7,21.85,21.85,20.73,20.79,1354939,28734357.8,-0.91,-4.1935,21.2071,6.7747,415800000,,2067746144.31,20000000,0,99458689,76.2191,12.1712,8.1357,31.4723,
002207.SZ,准油股份,20080305,20.79,20.51,20.98,20,20.55,1070341,21934568.8,-0.24,-1.1544,20.4931,5.3517,411000000,,2043876058.95,20000000,0,99458689,75.3393,12.0307,8.0417,31.109,
002207.SZ,准油股份,20080306,20.55,20.6,21,20.2,20.75,872114,17992568,0.2,0.9732,20.631,4.3606,415000000,,2063767796.75,20000000,0,99458689,76.0725,12.1478,8.12,31.4117,
002207.SZ,准油股份,20080307,20.75,20.62,20.62,20.02,20.2,694604,14081793.6,-0.55,-2.6506,20.2731,3.473,404000000,,2009065517.8,20000000,0,99458689,74.0561,11.8258,7.9048,30.5791,
002207.SZ,准油股份,20080310,20.2,20.2,20.2,19.3,19.35,849099,16615886.4,-0.85,-4.2079,19.5688,4.2455,387000000,,1924525632.15,20000000,0,99458689,70.9399,11.3282,7.5721,29.2924,
002207.SZ,准油股份,20080311,19.35,19.3,19.73,19.02,19.55,363771,7083479.8,0.2,1.0336,19.4724,1.8189,391000000,,1944417369.95,20000000,0,99458689,71.6731,11.4453,7.6504,29.5952,
002207.SZ,准油股份,20080312,19.55,19.98,20.18,19.1,19.15,661678,13007848.6,-0.4,-2.046,19.6589,3.3084,383000000,,1904633894.35,20000000,0,99458689,70.2067,11.2111,7.4939,28.9896,
002207.SZ,准油股份,20080313,19.15,19.15,19.55,18.16,18.69,912159,17065813.2,-0.46,-2.4021,18.7093,4.5608,373800000,,1858882897.41,20000000,0,99458689,68.5202,10.9418,7.3139,28.2933,
002207.SZ,准油股份,20080314,18.69,18.7,19.3,18.3,19.09,649317,12264750.7,0.4,2.1402,18.8887,3.2466,381800000,,1898666373.01,20000000,0,99458689,69.9867,11.176,7.4704,28.8988,
002207.SZ,准油股份,20080317,19.09,18.99,18.99,17.6,17.65,554297,10201049,-1.44,-7.5432,18.4036,2.7715,353000000,,1755445860.85,20000000,0,99458689,64.7075,10.333,6.9069,26.7189,
