╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
002922.SZ,ра╦Й╤Ш,20171229,,16.38,17.87,16.38,17.87,18279,325900,5.46,43.9968,17.8292,0.0554,589710000,,2358712676.25,33000000,0,131992875,32.9294,4.761,2.6787,-77.4872,
002922.SZ,ра╦Й╤Ш,20180102,17.87,19.66,19.66,19.66,19.66,3700,72742,1.79,10.0168,19.66,0.0112,648780000,,2594979922.5,33000000,0,131992875,36.2279,5.2379,2.2588,6.3781,
002922.SZ,ра╦Й╤Ш,20180103,19.66,21.63,21.63,21.63,21.63,6771,146456,1.97,10.0203,21.6299,0.0205,713790000,,2855005886.25,33000000,0,131992875,39.858,5.7627,2.4851,7.0172,
002922.SZ,ра╦Й╤Ш,20180104,21.63,23.79,23.79,23.79,23.79,18208,433168,2.16,9.9861,23.79,0.0552,785070000,,3140110496.25,33000000,0,131992875,43.8383,6.3382,2.7333,7.7179,
002922.SZ,ра╦Й╤Ш,20180105,23.79,26.17,26.17,26.17,26.17,38248,1000950,2.38,10.0042,26.17,0.1159,863610000,,3454253538.75,33000000,0,131992875,48.224,6.9723,3.0067,8.49,
002922.SZ,ра╦Й╤Ш,20180108,26.17,28.79,28.79,28.79,28.79,54200,1560418,2.62,10.0115,28.79,0.1642,950070000,,3800074871.25,33000000,0,131992875,53.0519,7.6703,3.3078,9.34,
002922.SZ,ра╦Й╤Ш,20180109,28.79,31.67,31.67,31.67,31.67,83532,2645458,2.88,10.0035,31.67,0.2531,1045110000,,4180214351.25,33000000,0,131992875,58.3589,8.4376,3.6386,10.2743,
002922.SZ,ра╦Й╤Ш,20180110,31.67,34.46,34.84,33,34.84,20514745,698016179,3.17,10.0095,34.0251,62.1659,1149720000,,4598631765,33000000,0,131992875,64.2003,9.2821,4.0028,11.3027,
002922.SZ,ра╦Й╤Ш,20180111,34.84,34.84,34.84,34.84,34.84,,,0,0,,,1149720000,,4598631765,33000000,0,131992875,64.2003,9.2821,4.0028,11.3027,
002922.SZ,ра╦Й╤Ш,20180112,34.84,34.84,34.84,34.84,34.84,,,0,0,,,1149720000,,4598631765,33000000,0,131992875,64.2003,9.2821,4.0028,11.3027,
