ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
603848.SH,บรฬซฬซ,20171228,21.79,21.1,23.97,20.62,23.97,20008783,447936973,2.18,10.0046,22.387,48.8019,982770000,,9611970000,41000000,0,401000000,63.2464,12.8392,11.8986,154.4076,
603848.SH,บรฬซฬซ,20171229,23.97,24.8,25.88,22.35,22.69,24633720,598183930,-1.28,-5.34,24.2831,60.0822,930290000,,9098690000,41000000,0,401000000,59.869,12.1536,11.2632,146.1623,
603848.SH,บรฬซฬซ,20180102,22.69,22.12,24.96,21.7,24.32,22343110,529806753,1.63,7.1838,23.7123,54.4954,997120000,,9752320000,41000000,0,401000000,64.1699,13.0267,8.7643,29.405,
603848.SH,บรฬซฬซ,20180103,24.32,23.5,23.71,22.05,23.21,19547381,447162873,-1.11,-4.5641,22.8758,47.6765,951610000,,9307210000,41000000,0,401000000,61.2411,12.4321,8.3643,28.063,
603848.SH,บรฬซฬซ,20180104,23.21,22.61,23.17,22.12,22.39,12058790,271093437,-0.82,-3.533,22.481,29.4117,917990000,,8978390000,41000000,0,401000000,59.0774,11.9929,8.0688,27.0715,
603848.SH,บรฬซฬซ,20180105,22.39,22.35,22.63,21.8,21.84,9415152,208341193,-0.55,-2.4565,22.1283,22.9638,895440000,,8757840000,41000000,0,401000000,57.6262,11.6983,7.8706,26.4065,
603848.SH,บรฬซฬซ,20180108,21.84,21.48,22.4,20.6,22.32,12225444,261988016,0.48,2.1978,21.4297,29.8182,915120000,,8950320000,41000000,0,401000000,58.8927,11.9554,8.0435,26.9869,
603848.SH,บรฬซฬซ,20180109,22.32,22,23.73,21.79,23.36,18892298,433303781,1.04,4.6595,22.9355,46.0788,957760000,,9367360000,41000000,0,401000000,61.6369,12.5125,8.4183,28.2443,
603848.SH,บรฬซฬซ,20180110,23.36,23.02,23.33,22.27,22.67,12672811,288742061,-0.69,-2.9538,22.7844,30.9093,929470000,,9090670000,41000000,0,401000000,59.8162,12.1429,8.1697,27.4101,
603848.SH,บรฬซฬซ,20180111,22.67,22.1,23.4,21.8,22.47,11944098,272066988,-0.2,-0.8822,22.7784,29.1319,921270000,,9010470000,41000000,0,401000000,59.2885,12.0357,8.0976,27.1682,
603848.SH,บรฬซฬซ,20180112,22.47,21.93,22.14,21.02,21.06,10749172,231438773,-1.41,-6.275,21.5308,26.2175,863460000,,8445060000,41000000,0,401000000,55.5682,11.2805,7.5895,25.4634,
603848.SH,บรฬซฬซ,20180115,21.06,20.62,22.09,20.41,21.5,9364821,200763483,0.44,2.0893,21.438,22.841,881500000,,8621500000,41000000,0,401000000,56.7291,11.5162,7.748,25.9954,
