代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
603238.SH,诺邦股份,20170222,,19.17,19.17,19.17,19.17,17200,329724,5.86,44.027,19.17,0.0573,575100000,,2300400000,30000000,0,120000000,31.0884,6.1863,4.375,288.8705,
603238.SH,诺邦股份,20170223,19.17,21.09,21.09,21.09,21.09,4200,88578,1.92,10.0156,21.09,0.014,632700000,,2530800000,30000000,0,120000000,34.2021,6.8059,4.8132,317.8027,
603238.SH,诺邦股份,20170224,21.09,23.2,23.2,23.2,23.2,5426,125883,2.11,10.0047,23.2,0.0181,696000000,,2784000000,30000000,0,120000000,37.6239,7.4868,5.2947,349.5981,
603238.SH,诺邦股份,20170227,23.2,25.52,25.52,25.52,25.52,15800,403216,2.32,10,25.52,0.0527,765600000,,3062400000,30000000,0,120000000,41.3863,8.2354,5.8242,384.5579,
603238.SH,诺邦股份,20170228,25.52,28.07,28.07,28.07,28.07,23050,647014,2.55,9.9922,28.07,0.0768,842100000,,3368400000,30000000,0,120000000,45.5217,9.0583,6.4061,422.9835,
603238.SH,诺邦股份,20170301,28.07,30.88,30.88,30.88,30.88,16800,518784,2.81,10.0107,30.88,0.056,926400000,,3705600000,30000000,0,120000000,50.0787,9.9651,7.0474,465.3271,
603238.SH,诺邦股份,20170302,30.88,33.97,33.97,33.97,33.97,60753,2063779,3.09,10.0065,33.97,0.2025,1019100000,,4076400000,30000000,0,120000000,55.0898,10.9623,7.7526,511.8899,
603238.SH,诺邦股份,20170303,33.97,37.37,37.37,37.37,37.37,147800,5523286,3.4,10.0088,37.37,0.4927,1121100000,,4484400000,30000000,0,120000000,60.6036,12.0595,8.5286,563.1241,
603238.SH,诺邦股份,20170306,37.37,41.11,41.11,41.11,41.11,1082282,44492613,3.74,10.008,41.11,3.6076,1233300000,,4933200000,30000000,0,120000000,66.6689,13.2664,9.3821,619.4817,
603238.SH,诺邦股份,20170307,41.11,45.22,45.22,45.22,45.22,584590,26435160,4.11,9.9976,45.22,1.9486,1356600000,,5426400000,30000000,0,120000000,73.3341,14.5927,10.3201,681.4148,
603238.SH,诺邦股份,20170308,45.22,49.74,49.74,49.74,49.74,326528,16241503,4.52,9.9956,49.74,1.0884,1492200000,,5968800000,30000000,0,120000000,80.6643,16.0514,11.3517,749.5262,
603238.SH,诺邦股份,20170309,49.74,50.61,54.65,50.03,53.93,20161232,1069336176,4.19,8.4238,53.0392,67.2041,1617900000,,6471600000,30000000,0,120000000,87.4593,17.4035,12.3079,812.6648,
603238.SH,诺邦股份,20170310,53.93,51,51.5,48.88,48.9,11472735,573522615,-5.03,-9.3269,49.9901,38.2424,1467000000,,5868000000,30000000,0,120000000,79.3021,15.7803,11.16,736.8683,
