ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
301079.SZ,ษÛั๔าบัน,20211019,,30,36.36,29.67,32.19,12370046,387482010,20.27,170.0503,31.3242,69.1165,576116823.15,,2700526421.46,17897385,0,83893334,42.9366,13.1777,7.9931,-738.5944,
301079.SZ,ษÛั๔าบัน,20211020,32.19,29.97,30.44,29.05,29.48,9839489,291449072,-2.71,-8.4188,29.6203,54.9772,527614909.8,,2473175486.32,17897385,0,83893334,39.3218,12.0683,7.3202,-676.4139,
301079.SZ,ษÛั๔าบัน,20211021,29.48,29.38,30.16,28.42,29.85,7717007,227192077,0.37,1.2551,29.4404,43.1181,534236942.25,,2504216019.9,17897385,0,83893334,39.8154,12.2198,7.4121,-684.9034,
301079.SZ,ษÛั๔าบัน,20211022,29.85,29.6,31.77,29.3,31.31,10227420,313190665,1.46,4.8911,30.6226,57.1448,560367124.35,,2626700287.54,17897385,0,83893334,41.7628,12.8175,7.7746,-718.4029,
301079.SZ,ษÛั๔าบัน,20211025,31.31,31.26,31.26,28.82,29.91,7999431,237041027,-1.4,-4.4714,29.6322,44.6961,535310785.35,,2509249619.94,17897385,0,83893334,39.8954,12.2444,7.427,-686.2802,
301079.SZ,ษÛั๔าบัน,20211026,29.91,29.25,35.89,28.86,33.25,12185069,391982358,3.34,11.1668,32.1691,68.083,595088051.25,,2789453355.5,17897385,0,83893334,44.3505,13.6117,8.2563,-762.9159,
301079.SZ,ษÛั๔าบัน,20211027,33.25,32,36.47,30.92,34.09,11309420,370630524,0.84,2.5263,32.7718,63.1903,610121854.65,,2859923756.06,17897385,0,83893334,45.4709,13.9556,8.4649,-782.1896,
301079.SZ,ษÛั๔าบัน,20211028,34.09,33,33,30.23,30.9,7186264,227014263,-3.19,-9.3576,31.59,40.1526,553029196.5,,2592304020.6,17897385,0,83893334,43.9784,11.9015,7.6728,-708.9955,
301079.SZ,ษÛั๔าบัน,20211029,30.9,30.88,31.88,29.34,29.6,5928939,181116599,-1.3,-4.2071,30.5479,33.1274,529762596,,2483242686.4,17897385,0,83893334,42.1281,11.4008,7.35,-679.1672,
301079.SZ,ษÛั๔าบัน,20211101,29.6,29.09,30.7,28.52,30.49,4304531,128666974,0.89,3.0068,29.8911,24.0512,545691268.65,,2557907753.66,17897385,0,83893334,43.3948,11.7436,7.571,-699.5881,
