╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
603908.SH,да╦ъ╣я,20170307,,23.57,23.57,23.57,23.57,10500,247485,7.2,43.9829,23.57,0.0629,393383300,,1571883300,16690000,0,66690000,33.1014,8.1087,3.6492,117.8084,
603908.SH,да╦ъ╣я,20170308,23.57,25.93,25.93,25.93,25.93,2500,64825,2.36,10.0127,25.93,0.015,432771700,,1729271700,16690000,0,66690000,36.4158,8.9206,4.0146,129.6043,
603908.SH,да╦ъ╣я,20170309,25.93,28.52,28.52,28.52,28.52,4500,128340,2.59,9.9884,28.52,0.027,475998800,,1901998800,16690000,0,66690000,40.0531,9.8117,4.4156,142.5497,
603908.SH,да╦ъ╣я,20170310,28.52,31.37,31.37,31.37,31.37,5900,185083,2.85,9.993,31.37,0.0354,523565300,,2092065300,16690000,0,66690000,44.0556,10.7922,4.8568,156.7947,
603908.SH,да╦ъ╣я,20170313,31.37,34.51,34.51,34.51,34.51,3000,103530,3.14,10.0096,34.51,0.018,575971900,,2301471900,16690000,0,66690000,48.4654,11.8724,5.343,172.4892,
603908.SH,да╦ъ╣я,20170314,34.51,37.96,37.96,37.96,37.96,8100,307476,3.45,9.9971,37.96,0.0485,633552400,,2531552400,16690000,0,66690000,53.3106,13.0593,5.8771,189.7331,
603908.SH,да╦ъ╣я,20170315,37.96,41.76,41.76,41.76,41.76,10400,434304,3.8,10.0105,41.76,0.0623,696974400,,2784974400,16690000,0,66690000,58.6472,14.3666,6.4654,208.7264,
603908.SH,да╦ъ╣я,20170316,41.76,45.94,45.94,45.94,45.94,18700,859078,4.18,10.0096,45.94,0.112,766738600,,3063738600,16690000,0,66690000,64.5176,15.8047,7.1126,229.619,
603908.SH,да╦ъ╣я,20170317,45.94,50.53,50.53,50.53,50.53,74400,3759432,4.59,9.9913,50.53,0.4458,843345700,,3369845700,16690000,0,66690000,70.9637,17.3837,7.8232,252.5609,
603908.SH,да╦ъ╣я,20170320,50.53,55.58,55.58,55.58,55.58,46300,2573354,5.05,9.9941,55.58,0.2774,927630200,,3706630200,16690000,0,66690000,78.0559,19.1211,8.6051,277.802,
603908.SH,да╦ъ╣я,20170321,55.58,61.14,61.14,61.14,61.14,61400,3753996,5.56,10.0036,61.14,0.3679,1020426600,,4077426600,16690000,0,66690000,85.8643,21.0339,9.4659,305.5922,
603908.SH,да╦ъ╣я,20170322,61.14,67.25,67.25,67.25,67.25,135034,9081037,6.11,9.9935,67.25,0.8091,1122402500,,4484902500,16690000,0,66690000,94.4451,23.1359,10.4119,336.1314,
603908.SH,да╦ъ╣я,20170323,67.25,73.98,73.98,73.98,73.98,95900,7094682,6.73,10.0074,73.98,0.5746,1234726200,,4933726200,16690000,0,66690000,103.8966,25.4512,11.4538,369.7696,
603908.SH,да╦ъ╣я,20170324,73.98,81.38,81.38,81.01,81.38,3624612,294970235,7.4,10.0027,81.3798,21.7173,1358232200,,5427232200,16690000,0,66690000,114.2891,27.997,12.5995,406.7565,
