代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600867.SH,通化东宝,20070104,49.232,50.8349,52.0944,49.461,50.2625,10802990,95856661,1.0304,2.093,8.8732,4.567,2076873177.6,,3236061703.44,236545920,0,368571948,72.584,2.5529,7.8011,-166.6892,
600867.SH,通化东宝,20070105,50.2625,50.2052,55.3002,49.3465,55.1284,15234430,141671696,4.866,9.6811,9.2994,6.4404,2277937209.6,,3549347859.24,236545920,0,368571948,79.6109,2.8001,8.5563,-182.8266,
600867.SH,通化东宝,20070108,55.1284,54.8995,57.2466,54.3842,56.9603,11972818,116971495,1.8319,3.3229,9.7698,5.0615,2353631904,,3667290882.6,236545920,0,368571948,82.2563,2.8931,8.8407,-188.9018,
600867.SH,通化东宝,20070109,56.9603,56.9603,57.4755,55.4719,57.3611,9588473,94588163,0.4007,0.7035,9.8648,4.0535,2370190118.4,,3693090918.96,236545920,0,368571948,82.835,2.9135,8.9029,-190.2308,
600867.SH,通化东宝,20070110,57.3611,56.9603,57.4755,55.4147,56.7886,7190942,71000774,-0.5725,-0.998,9.8736,3.04,2346535526.4,,3656233724.16,236545920,0,368571948,82.0083,2.8844,8.814,-188.3322,
600867.SH,通化东宝,20070111,56.7886,56.6168,62.456,56.1589,60.2234,14387283,153106946,3.4348,6.0484,10.6418,6.0822,2488463078.4,,3877376892.96,236545920,0,368571948,86.9685,3.0589,9.3471,-199.7233,
600867.SH,通化东宝,20070112,60.2234,59.5364,63.2574,58.964,60.1661,11303202,121714463,-0.0572,-0.0951,10.7681,4.7784,2486097619.2,,3873691173.48,236545920,0,368571948,86.8858,3.056,9.3382,-199.5335,
600867.SH,通化东宝,20070115,60.1661,60.1661,66.177,59.9944,65.8908,8495254,95460510,5.7247,9.5147,11.2369,3.5914,2722643539.2,,4242263121.48,236545920,0,368571948,95.1528,3.3467,10.2267,-218.5186,
600867.SH,通化东宝,20070116,65.8908,65.948,71.272,65.948,67.322,8635145,103355969,1.4312,2.172,11.9692,3.6505,2781780019.2,,4334406108.48,236545920,0,368571948,97.2196,3.4194,10.4489,-223.2648,
600867.SH,通化东宝,20070117,67.322,67.4364,69.2683,64.6886,68.0089,11155109,129843505,0.687,1.0204,11.6398,4.7158,2810165529.6,,4378634742.24,236545920,0,368571948,98.2116,3.4543,10.5555,-225.5431,
600867.SH,通化东宝,20070118,68.0089,67.5509,68.2951,63.5437,66.0053,7637877,87701775,-2.0036,-2.9461,11.4825,3.2289,2727374457.6,,4249634560.44,236545920,0,368571948,95.3182,3.3526,10.2445,-218.8983,
600867.SH,通化东宝,20070119,66.0053,66.1198,70.6995,66.1198,68.0089,7390115,88017543,2.0036,3.0356,11.9102,3.1242,2810165529.6,,4378634742.24,236545920,0,368571948,98.2116,3.4543,10.5555,-225.5431,
600867.SH,通化东宝,20070122,68.0089,68.8676,70.4133,68.0089,69.6691,8849472,106803384,1.6602,2.4411,12.0689,3.7411,2878763846.4,,4485520607.16,236545920,0,368571948,100.609,3.5386,10.8132,-231.0487,
600867.SH,通化东宝,20070123,69.6691,69.6118,69.8408,65.3756,68.4669,8424919,98774726,-1.2022,-1.7256,11.7241,3.5616,2829089203.2,,4408120498.08,236545920,0,368571948,98.873,3.4776,10.6266,-227.0619,
600867.SH,通化东宝,20070124,68.4669,67.9517,67.9517,64.5169,65.1466,8123933,93315193,-3.3203,-4.8495,11.4865,3.4344,2691892569.6,,4194348768.24,236545920,0,368571948,94.0781,3.3089,10.1112,-216.0505,
600867.SH,通化东宝,20070125,65.1466,64.5169,65.1466,60.3951,61.8263,7954910,87191895,-3.3203,-5.0967,10.9608,3.3629,2554695936,,3980577038.4,236545920,0,368571948,89.2833,3.1403,9.5959,-205.0391,
600867.SH,通化东宝,20070126,61.8263,61.0248,67.5509,61.0248,66.2343,9110414,101967015,4.408,7.1296,11.1924,3.8514,2736836294.4,,4264377438.36,236545920,0,368571948,95.6488,3.3642,10.2801,-219.6577,
600867.SH,通化东宝,20070129,66.2343,66.7495,68.8676,65.5473,66.0053,8907808,104531422,-0.229,-0.3457,11.7348,3.7658,2727374457.6,,4249634560.44,236545920,0,368571948,95.3182,3.3526,10.2445,-218.8983,
600867.SH,通化东宝,20070130,66.0053,66.406,68.5241,64.9748,67.2075,10097654,118050530,1.2022,1.8213,11.6909,4.2688,2777049100.8,,4327034669.52,236545920,0,368571948,97.0542,3.4136,10.4311,-222.8851,
600867.SH,通化东宝,20070131,67.2075,66.635,71.5582,66.1198,67.4364,18376422,220550747,0.229,0.3407,12.0018,7.7686,2786510937.6,,4341777547.44,236545920,0,368571948,97.3849,3.4252,10.4666,-223.6445,
600867.SH,通化东宝,20070201,67.4364,68.5814,74.1915,67.4364,74.1915,20316587,256246946,6.7551,10.017,12.6127,8.5889,3065635123.2,,4776692446.08,236545920,0,368571948,107.1399,3.7684,11.5151,-246.047,
600867.SH,通化东宝,20070202,74.1915,76.4242,81.0039,68.0089,68.6386,22867538,299706276,-5.5529,-7.4846,13.1062,9.6673,2836185580.8,,4419177656.52,236545920,0,368571948,99.121,3.4863,10.6532,-227.6314,
600867.SH,通化东宝,20070205,68.6386,66.4633,68.6959,62.456,67.1502,10778229,125045781,-1.4884,-2.1685,11.6017,4.5565,2774683641.6,,4323348950.04,236545920,0,368571948,96.9715,3.4107,10.4222,-222.6953,
