ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
002623.SZ,ัวย๊ถู,20111013,,39,39.3,37.75,38.21,16562824,635230709.2,0.21,0.5526,38.3528,51.7588,1222720000,,6113600000,32000000,0,160000000,28.0204,14.9891,10.272,79.4487,
002623.SZ,ัวย๊ถู,20111014,38.21,37,37.08,35.2,35.69,9350344,336995329.4,-2.52,-6.5951,36.041,29.2198,1142080000,,5710400000,32000000,0,160000000,26.1724,14.0005,9.5945,74.2089,
002623.SZ,ัวย๊ถู,20111017,35.69,35.5,37.89,35.5,37.3,8861357,328750357.1,1.61,4.5111,37.0993,27.6917,1193600000,,5968000000,32000000,0,160000000,27.3531,14.6321,10.0273,77.5565,
002623.SZ,ัวย๊ถู,20111018,37.3,36.55,37.5,35.81,36.38,5367577,196868197,-0.92,-2.4665,36.6773,16.7737,1164160000,,5820800000,32000000,0,160000000,26.6784,14.2712,9.78,75.6436,
002623.SZ,ัวย๊ถู,20111019,36.38,36.65,36.8,34.55,34.82,5063127,180019943.1,-1.56,-4.2881,35.5551,15.8223,1114240000,,5571200000,32000000,0,160000000,25.5344,13.6592,9.3606,72.4,
002623.SZ,ัวย๊ถู,20111020,34.82,34.39,34.39,32.06,32.9,3975302,131634375.5,-1.92,-5.5141,33.1131,12.4228,1052800000,,5264000000,32000000,0,160000000,24.1265,12.9061,8.8445,68.4078,
002623.SZ,ัวย๊ถู,20111021,32.9,32.8,33.4,32.5,32.86,2064751,68052374.8,-0.04,-0.1216,32.9591,6.4523,1051520000,,5257600000,32000000,0,160000000,24.0971,12.8904,8.8337,68.3246,
002623.SZ,ัวย๊ถู,20111024,32.86,33,33,29.8,32.44,3943030,124130212.9,-0.42,-1.2781,31.4809,12.322,1038080000,,5190400000,32000000,0,160000000,23.7891,12.7256,8.7208,67.4513,
002623.SZ,ัวย๊ถู,20111025,32.44,31.88,33.99,31.35,33.32,3585094,117636260.5,0.88,2.7127,32.8126,11.2034,1066240000,,5331200000,32000000,0,160000000,24.4345,13.0708,8.9574,69.2811,
002623.SZ,ัวย๊ถู,20111026,33.32,33.42,34,32.68,32.9,4081743,135796171.8,-0.42,-1.2605,33.2692,12.7554,1052800000,,5264000000,32000000,0,160000000,23.9652,2.6976,8.8445,68.4078,
002623.SZ,ัวย๊ถู,20111027,32.9,32.8,34.2,32.56,33.95,4275262,143750762.1,1.05,3.1915,33.6238,13.3602,1086400000,,5432000000,32000000,0,160000000,24.7301,2.7837,9.1268,70.591,
002623.SZ,ัวย๊ถู,20111028,33.95,34.35,34.36,33.69,34.28,3261041,111072005.4,0.33,0.972,34.0603,10.1908,1096960000,,5484800000,32000000,0,160000000,24.9704,2.8108,9.2155,71.2772,
002623.SZ,ัวย๊ถู,20111031,34.28,34.28,34.65,33.7,34.17,2635664,90060277.7,-0.11,-0.3209,34.1699,8.2364,1093440000,,5467200000,32000000,0,160000000,24.8903,2.8018,9.1859,71.0484,
002623.SZ,ัวย๊ถู,20111101,34.17,33.83,34.38,33.51,33.93,2484419,84250296.1,-0.24,-0.7024,33.9115,7.7638,1085760000,,5428800000,32000000,0,160000000,24.7155,2.7821,9.1214,70.5494,
002623.SZ,ัวย๊ถู,20111102,33.93,33.49,34.56,32.72,34.37,3418117,114612188.6,0.44,1.2968,33.5308,10.6816,1099840000,,5499200000,32000000,0,160000000,25.036,2.8182,9.2397,71.4643,
002623.SZ,ัวย๊ถู,20111103,34.37,34.37,35.25,34.37,34.4,4116004,143459298,0.03,0.0873,34.854,12.8625,1100800000,,5504000000,32000000,0,160000000,25.0578,2.8206,9.2477,71.5267,
002623.SZ,ัวย๊ถู,20111104,34.4,34.49,35.5,34.35,34.99,3534210,123838313.7,0.59,1.7151,35.0399,11.0444,1119680000,,5598400000,32000000,0,160000000,25.4876,2.869,9.4063,72.7534,
002623.SZ,ัวย๊ถู,20111107,34.99,34.6,34.97,34.2,34.22,2145293,73929268.8,-0.77,-2.2006,34.4612,6.704,1095040000,,5475200000,32000000,0,160000000,24.9267,2.8059,9.1993,71.1524,
