ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
002615.SZ,นþถ๛หน,20110909,,22.5,26.07,21.57,23.6,15448936,359702559.8,5.6,31.1111,23.2833,84.6981,430464000,,2152320000,18240000,0,91200000,47.4665,13.1002,5.0975,91.6874,
002615.SZ,นþถ๛หน,20110913,23.6,22.5,22.65,21.24,21.24,7769527,166711255.8,-2.36,-10,21.4571,42.5961,387417600,,1937088000,18240000,0,91200000,42.7199,11.7902,4.5878,82.5187,
002615.SZ,นþถ๛หน,20110914,21.24,20.79,22.18,20.63,21.88,7169838,153736553,0.64,3.0132,21.4421,39.3083,399091200,,1995456000,18240000,0,91200000,44.0071,12.1455,4.726,85.0051,
002615.SZ,นþถ๛หน,20110915,21.88,21.55,22.69,21.21,21.58,7336818,161515229.1,-0.3,-1.3711,22.0143,40.2238,393619200,,1968096000,18240000,0,91200000,43.4037,11.9789,4.6612,83.8396,
002615.SZ,นþถ๛หน,20110916,21.58,21.25,21.49,20.1,20.3,6613414,137507358,-1.28,-5.9314,20.7922,36.2578,370272000,,1851360000,18240000,0,91200000,40.8292,11.2684,4.3847,78.8667,
002615.SZ,นþถ๛หน,20110919,20.3,19.98,19.99,18.76,18.81,3902661,75242076.6,-1.49,-7.3399,19.2797,21.3962,343094400,,1715472000,18240000,0,91200000,37.8324,10.4413,4.0629,73.078,
002615.SZ,นþถ๛หน,20110920,18.81,18.36,19.05,18.36,18.69,2858904,53528369.6,-0.12,-0.638,18.7234,15.6738,340905600,,1704528000,18240000,0,91200000,37.5911,10.3747,4.037,72.6118,
002615.SZ,นþถ๛หน,20110921,18.69,18.75,19.56,18.5,19.5,3907063,75065579.9,0.81,4.3339,19.2128,21.4203,355680000,,1778400000,18240000,0,91200000,39.2202,10.8243,4.2119,75.7587,
002615.SZ,นþถ๛หน,20110922,19.5,19.21,19.25,18.11,18.11,3870689,72650695.9,-1.39,-7.1282,18.7694,21.2209,330326400,,1651632000,18240000,0,91200000,36.4245,10.0527,3.9117,70.3584,
002615.SZ,นþถ๛หน,20110923,18.11,17.51,17.98,17.4,17.83,2348213,41526677.8,-0.28,-1.5461,17.6844,12.874,325219200,,1626096000,18240000,0,91200000,35.8613,9.8973,3.8512,69.2706,
002615.SZ,นþถ๛หน,20110926,17.83,17.87,18.79,17.8,18.22,3486682,64228072.6,0.39,2.1873,18.421,19.1156,332332800,,1661664000,18240000,0,91200000,36.6457,10.1138,3.9355,70.7858,
002615.SZ,นþถ๛หน,20110927,18.22,18.4,18.72,17.8,18.33,1988118,36142901.9,0.11,0.6037,18.1795,10.8998,334339200,,1671696000,18240000,0,91200000,36.867,10.1749,3.9592,71.2132,
002615.SZ,นþถ๛หน,20110928,18.33,18.48,18.5,17.5,17.54,1853575,33253743.8,-0.79,-4.3099,17.9403,10.1621,319929600,,1599648000,18240000,0,91200000,35.2781,9.7363,3.7886,68.144,
002615.SZ,นþถ๛หน,20110929,17.54,17.31,17.34,16.48,16.59,1866601,31564704.7,-0.95,-5.4162,16.9103,10.2336,302601600,,1513008000,18240000,0,91200000,33.3673,9.209,3.5834,64.4531,
002615.SZ,นþถ๛หน,20110930,16.59,16.75,16.75,16.02,16.18,1147630,18732199.9,-0.41,-2.4714,16.3225,6.2918,295123200,,1475616000,18240000,0,91200000,32.5427,8.9814,3.4948,62.8603,
002615.SZ,นþถ๛หน,20111010,16.18,16.34,16.6,16.11,16.3,1126366,18428913,0.12,0.7417,16.3614,6.1753,297312000,,1486560000,18240000,0,91200000,32.7841,9.048,3.5207,63.3265,
002615.SZ,นþถ๛หน,20111011,16.3,16.81,16.96,16.23,16.5,1850516,30888969.2,0.2,1.227,16.6921,10.1454,300960000,,1504800000,18240000,0,91200000,33.1863,9.159,3.5639,64.1035,
002615.SZ,นþถ๛หน,20111012,16.5,16.37,17.29,15.81,17.22,2745359,46290277.2,0.72,4.3636,16.8613,15.0513,314092800,,1570464000,18240000,0,91200000,34.6345,9.5587,3.7195,66.9007,
002615.SZ,นþถ๛หน,20111013,17.22,17.13,17.98,16.9,17.87,3190286,55677633,0.65,3.7747,17.4522,17.4906,325948800,,1629744000,18240000,0,91200000,35.9418,9.9195,3.8599,69.426,
002615.SZ,นþถ๛หน,20111014,17.87,17.6,17.87,17.4,17.76,2064580,36503570.4,-0.11,-0.6156,17.6809,11.319,323942400,,1619712000,18240000,0,91200000,35.7206,9.8585,3.8361,68.9987,
002615.SZ,นþถ๛หน,20111017,17.76,17.77,19.1,17.76,18.61,4352830,80330308.3,0.85,4.786,18.4547,23.8642,339446400,,1697232000,18240000,0,91200000,37.4302,10.3303,4.0197,72.301,
