╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
603916.SH,ку╡╘ль,20171110,,10.82,12.99,10.82,12.99,24196,314089,3.97,44.0133,12.981,0.0318,987240000,,3948960000,76000000,0,304000000,25.6961,3.2019,3.0057,69.6321,
603916.SH,ку╡╘ль,20171113,12.99,14.29,14.29,14.29,14.29,12000,171480,1.3,10.0077,14.29,0.0158,1086040000,,4344160000,76000000,0,304000000,28.2677,3.5223,3.3065,76.6007,
603916.SH,ку╡╘ль,20171114,14.29,15.72,15.72,15.72,15.72,8000,125760,1.43,10.007,15.72,0.0105,1194720000,,4778880000,76000000,0,304000000,31.0965,3.8748,3.6374,84.2661,
603916.SH,ку╡╘ль,20171115,15.72,17.29,17.29,17.29,17.29,19472,336671,1.57,9.9873,17.29,0.0256,1314040000,,5256160000,76000000,0,304000000,34.2022,4.2618,4.0006,92.682,
603916.SH,ку╡╘ль,20171116,17.29,19.02,19.02,19.02,19.02,31200,593424,1.73,10.0058,19.02,0.0411,1445520000,,5782080000,76000000,0,304000000,37.6244,4.6882,4.4009,101.9556,
603916.SH,ку╡╘ль,20171117,19.02,20.92,20.92,20.92,20.92,144550,3023986,1.9,9.9895,20.92,0.1902,1589920000,,6359680000,76000000,0,304000000,41.3828,5.1565,4.8406,112.1404,
603916.SH,ку╡╘ль,20171120,20.92,23.01,23.01,23.01,23.01,224157,5157853,2.09,9.9904,23.01,0.2949,1748760000,,6995040000,76000000,0,304000000,45.5172,5.6717,5.3242,123.3438,
603916.SH,ку╡╘ль,20171121,23.01,24.88,24.88,20.92,21.31,36592474,821734813,-1.7,-7.3881,22.4564,48.148,1619560000,,6478240000,76000000,0,304000000,42.1543,5.2527,4.9308,114.231,
603916.SH,ку╡╘ль,20171122,21.31,20.83,23.44,20.1,23.44,31752332,694987859,2.13,9.9953,21.8878,41.7794,1781440000,,7125760000,76000000,0,304000000,46.3678,5.7777,5.4237,125.6488,
603916.SH,ку╡╘ль,20171123,23.44,23,25.78,22.33,23.42,44340462,1052273229,-0.02,-0.0853,23.7317,58.3427,1779920000,,7119680000,76000000,0,304000000,46.3282,5.7728,5.419,125.5415,
