╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
300459.SZ,люд╥ц╗,20150515,,10.35,11.29,10.35,11.29,9557,106958.5,3.45,44.0051,11.1916,0.0361,299185000,,1196740000,26500000,0,106000000,33.0781,2.8519,2.5094,11.5642,
300459.SZ,люд╥ц╗,20150518,11.29,12.42,12.42,12.42,12.42,2000,24840,1.13,10.0089,12.42,0.0075,329130000,,1316520000,26500000,0,106000000,36.3888,3.1374,2.7606,12.7217,
300459.SZ,люд╥ц╗,20150519,12.42,13.66,13.66,13.66,13.66,2000,27320,1.24,9.9839,13.66,0.0075,361990000,,1447960000,26500000,0,106000000,40.0218,3.4506,3.0362,13.9918,
300459.SZ,люд╥ц╗,20150520,13.66,15.03,15.03,15.03,15.03,1100,16533,1.37,10.0293,15.03,0.0042,398295000,,1593180000,26500000,0,106000000,44.0357,3.7967,3.3407,15.3951,
300459.SZ,люд╥ц╗,20150521,15.03,16.53,16.53,16.53,16.53,2500,41325,1.5,9.98,16.53,0.0094,438045000,,1752180000,26500000,0,106000000,48.4305,4.1756,3.6741,16.9315,
300459.SZ,люд╥ц╗,20150522,16.53,18.18,18.18,18.18,18.18,5200,94536,1.65,9.9819,18.18,0.0196,481770000,,1927080000,26500000,0,106000000,53.2648,4.5924,4.0408,18.6216,
300459.SZ,люд╥ц╗,20150525,18.18,20,20,20,20,5300,106000,1.82,10.011,20,0.02,530000000,,2120000000,26500000,0,106000000,58.5971,5.0521,4.4454,20.4858,
300459.SZ,люд╥ц╗,20150526,20,22,22,22,22,7691,169202,2,10,22,0.029,583000000,,2332000000,26500000,0,106000000,64.4568,5.5573,4.8899,22.5344,
300459.SZ,люд╥ц╗,20150527,22,24.2,24.2,24.2,24.2,7300,176660,2.2,10,24.2,0.0275,641300000,,2565200000,26500000,0,106000000,70.9025,6.1131,5.3789,24.7878,
300459.SZ,люд╥ц╗,20150528,24.2,26.62,26.62,26.62,26.62,18100,481822,2.42,10,26.62,0.0683,705430000,,2821720000,26500000,0,106000000,77.9927,6.7244,5.9168,27.2666,
300459.SZ,люд╥ц╗,20150529,26.62,29.28,29.28,29.28,29.28,32800,960384,2.66,9.9925,29.28,0.1238,775920000,,3103680000,26500000,0,106000000,85.7861,7.3963,6.508,29.9912,
300459.SZ,люд╥ц╗,20150601,29.28,32.21,32.21,32.21,32.21,7900,254459,2.93,10.0068,32.21,0.0298,853565000,,3414260000,26500000,0,106000000,94.3706,8.1364,7.1592,32.9924,
300459.SZ,люд╥ц╗,20150602,32.21,35.43,35.43,35.43,35.43,18700,662541,3.22,9.9969,35.43,0.0706,938895000,,3755580000,26500000,0,106000000,103.8047,8.9498,7.875,36.2906,
300459.SZ,люд╥ц╗,20150603,35.43,38.97,38.97,38.97,38.97,30400,1184688,3.54,9.9915,38.97,0.1147,1032705000,,4130820000,26500000,0,106000000,114.1764,9.8441,8.6618,39.9166,
300459.SZ,люд╥ц╗,20150604,38.97,42.87,42.87,42.87,42.87,112500,4822875,3.9,10.0077,42.87,0.4245,1136055000,,4544220000,26500000,0,106000000,125.6029,10.8292,9.5286,43.9114,
300459.SZ,люд╥ц╗,20150605,42.87,47.16,47.16,47.16,47.16,43500,2051460,4.29,10.007,47.16,0.1642,1249740000,,4998960000,26500000,0,106000000,138.172,11.9129,10.4822,48.3056,
300459.SZ,люд╥ц╗,20150608,47.16,51.88,51.88,51.88,51.88,201250,10440850,4.72,10.0085,51.88,0.7594,1374820000,,5499280000,26500000,0,106000000,152.0009,13.1052,11.5313,53.1402,
300459.SZ,люд╥ц╗,20150609,51.88,55,55,46.69,49.84,14347526,720182662.6,-2.04,-3.9322,50.1956,54.1416,1320760000,,5283040000,26500000,0,106000000,146.024,12.5899,11.0778,51.0507,
300459.SZ,люд╥ц╗,20150610,49.84,46,54.82,46,54.82,7134901,364548182.1,4.98,9.992,51.0937,26.9242,1452730000,,5810920000,26500000,0,106000000,160.6146,13.8479,12.1847,56.1516,
300459.SZ,люд╥ц╗,20150611,54.82,60.3,60.3,60,60.3,1911193,115242614.9,5.48,9.9964,60.2988,7.212,1597950000,,6391800000,26500000,0,106000000,176.6702,15.2322,13.4028,61.7648,
300459.SZ,люд╥ц╗,20150612,60.3,66.33,66.33,60.4,66.33,13512491,890767228.6,6.03,10,65.9218,50.9905,1757745000,,7030980000,26500000,0,106000000,194.3373,16.7554,14.743,67.9412,
300459.SZ,люд╥ц╗,20150615,66.33,59.7,59.7,59.7,59.7,1431300,85448610,-6.63,-9.9955,59.7,5.4011,1582050000,,6328200000,26500000,0,106000000,174.9123,15.0806,13.2694,61.1502,
300459.SZ,люд╥ц╗,20150616,59.7,53.73,53.73,53.73,53.73,538600,28938978,-5.97,-10,53.73,2.0325,1423845000,,5695380000,26500000,0,106000000,157.4211,13.5725,11.9425,55.0352,
300459.SZ,люд╥ц╗,20150617,53.73,48.36,53.5,48.36,50.6,10695229,523355758.4,-3.13,-5.8254,48.9336,40.3594,1340900000,,5363600000,26500000,0,106000000,148.2506,12.7819,11.2468,51.8291,
300459.SZ,люд╥ц╗,20150618,50.6,48.45,48.99,45.54,45.54,5525766,258298213.2,-5.06,-10,46.7443,20.8519,1206810000,,4827240000,26500000,0,106000000,133.4256,11.5037,10.1221,46.6462,
300459.SZ,люд╥ц╗,20150619,45.54,42.5,43.55,40.99,40.99,4980496,207957463,-4.55,-9.9912,41.7544,18.7943,1086235000,,4344940000,26500000,0,106000000,120.0947,10.3543,9.1108,41.9857,
300459.SZ,люд╥ц╗,20150623,40.99,41.18,42.93,38.88,42.59,4670932,194937523.8,1.6,3.9034,41.7342,17.6262,1128635000,,4514540000,26500000,0,106000000,124.7825,10.7585,9.4664,43.6246,
300459.SZ,люд╥ц╗,20150624,42.59,43.2,44.5,41.01,42.02,4587857,196815650.5,-0.57,-1.3383,42.8993,17.3127,1113530000,,4454120000,26500000,0,106000000,123.1125,10.6145,9.3397,43.0407,
300459.SZ,люд╥ц╗,20150625,42.02,41.8,41.8,38.1,38.53,3993220,160042727.5,-3.49,-8.3056,40.0786,15.0688,1021045000,,4084180000,26500000,0,106000000,112.8873,9.7329,8.564,39.4659,
300459.SZ,люд╥ц╗,20150626,38.53,37.99,37.99,34.68,34.79,4697556,168965463.9,-3.74,-9.7067,35.9688,17.7266,921935000,,3687740000,26500000,0,106000000,101.9296,8.7882,7.7327,35.6351,
300459.SZ,люд╥ц╗,20150629,34.79,36.05,38.27,34.8,38.27,6471831,236796470,3.48,10.0029,36.5888,24.422,1014155000,,4056620000,26500000,0,106000000,112.1255,9.6672,8.5062,39.1996,
300459.SZ,люд╥ц╗,20150630,38.27,38.3,42.1,37,42.1,5611323,227956763.3,3.83,10.0078,40.6244,21.1748,1115650000,,4462600000,26500000,0,106000000,123.3469,10.6347,9.3575,43.1227,
300459.SZ,люд╥ц╗,20150701,42.1,43.5,44.2,38.01,38.4,6943484,292996557.5,-3.7,-8.7886,42.1973,26.2018,1017600000,,4070400000,26500000,0,106000000,112.5064,9.7001,8.5351,39.3328,
300459.SZ,люд╥ц╗,20150702,38.4,38.45,41.4,35,36.75,4302864,161946598.8,-1.65,-4.2969,37.6369,16.2372,973875000,,3895500000,26500000,0,106000000,107.6722,9.2833,8.1683,37.6427,
300459.SZ,люд╥ц╗,20150703,36.75,35.1,40.43,35.1,40.43,4451099,172642895.4,3.68,10.0136,38.7866,16.7966,1071395000,,4285580000,26500000,0,106000000,118.454,10.2129,8.9863,41.4121,
300459.SZ,люд╥ц╗,20150706,40.43,44.47,44.47,38.18,41,5135441,217214313.6,0.57,1.4098,42.2971,19.379,1086500000,,4346000000,26500000,0,106000000,120.124,10.3569,9.113,41.9959,
300459.SZ,люд╥ц╗,20150707,41,37.9,38.96,36.9,36.9,4391180,163033053.5,-4.1,-10,37.1274,16.5705,977850000,,3911400000,26500000,0,106000000,108.1116,9.3212,8.2017,37.7963,
300459.SZ,люд╥ц╗,20150708,36.9,33.21,33.21,33.21,33.21,116700,3875607,-3.69,-10,33.21,0.4404,880065000,,3520260000,26500000,0,106000000,97.3005,8.3891,7.3815,34.0167,
300459.SZ,люд╥ц╗,20150709,33.21,33.21,33.21,33.21,33.21,,,0,0,,,880065000,,3520260000,26500000,0,106000000,97.3005,8.3891,7.3815,34.0167,
300459.SZ,люд╥ц╗,20150710,33.21,33.21,33.21,33.21,33.21,,,0,0,,,880065000,,3520260000,26500000,0,106000000,97.3005,8.3891,7.3815,34.0167,
300459.SZ,люд╥ц╗,20150713,33.21,33.21,33.21,33.21,33.21,,,0,0,,,880065000,,3520260000,26500000,0,106000000,97.3005,8.3891,7.3815,34.0167,
300459.SZ,люд╥ц╗,20150714,33.21,33.21,33.21,33.21,33.21,,,0,0,,,877415000,,3509660000,26500000,0,106000000,97.0075,8.3638,7.3593,33.9143,
300459.SZ,люд╥ц╗,20150715,33.21,33.21,33.21,33.21,33.21,,,0,0,,,877415000,,3509660000,26500000,0,106000000,97.0075,8.3638,7.3593,33.9143,
300459.SZ,люд╥ц╗,20150716,33.21,33.21,33.21,33.21,33.21,,,0,0,,,877415000,,3509660000,26500000,0,106000000,97.0075,8.3638,7.3593,33.9143,
300459.SZ,люд╥ц╗,20150717,33.21,33.21,33.21,33.21,33.21,,,0,0,,,877415000,,3509660000,26500000,0,106000000,97.0075,8.3638,7.3593,33.9143,
300459.SZ,люд╥ц╗,20150720,33.21,36.53,36.53,36.53,36.53,16801,611892.4,3.32,9.997,36.42,0.0634,965130000,,3860520000,26500000,0,106000000,106.7053,9.1999,8.095,37.3047,
300459.SZ,люд╥ц╗,20150721,36.53,40.181,40.181,40.181,40.181,40100,1606406,3.651,9.9945,40.06,0.1513,1061590000,,4246360000,26500000,0,106000000,117.37,10.1194,8.9041,41.0331,
300459.SZ,люд╥ц╗,20150722,40.181,44.2031,44.2031,44.2031,44.2031,1993812,87867294.8,4.0221,10.01,44.07,7.5238,1167855000,,4671420000,26500000,0,106000000,129.1187,11.1324,9.7953,45.1405,
300459.SZ,люд╥ц╗,20150723,44.2031,48.145,48.6264,46.6003,48.6264,3035665,145906456.2,4.4233,10.0068,48.0641,11.4553,1284720000,,5138880000,26500000,0,106000000,142.0394,12.2463,10.7755,49.6576,
300459.SZ,люд╥ц╗,20150724,48.6264,53.4911,53.4911,51.2644,53.4911,8312577,442434434.4,4.8646,10.0041,53.2247,31.3682,1413245000,,5652980000,26500000,0,106000000,156.2491,13.4715,11.8535,54.6255,
300459.SZ,люд╥ц╗,20150727,53.4911,51.9564,55.467,48.145,48.3556,8587832,450977309.6,-5.1355,-9.6006,52.5135,32.4069,1277565000,,5110260000,26500000,0,106000000,141.2483,12.1781,10.7155,49.3811,
300459.SZ,люд╥ц╗,20150728,48.3556,46.1389,53.1902,45.517,53.1902,10495396,540039192.4,4.8346,9.9979,51.4549,39.6053,1405295000,,5621180000,26500000,0,106000000,155.3702,13.3957,11.7869,54.3182,
300459.SZ,люд╥ц╗,20150729,53.1902,54.3837,57.9545,48.5863,56.7709,10872333,575755829.1,3.5808,6.732,52.9561,41.0277,1499900000,,5999600000,26500000,0,106000000,165.8298,14.2975,12.5804,57.9749,
300459.SZ,люд╥ц╗,20150730,56.7709,54.5242,59.8803,53.6616,53.7218,8756401,489629250.9,-3.0492,-5.371,55.9167,33.043,1419340000,,5677360000,26500000,0,106000000,156.923,13.5296,11.9047,54.861,
300459.SZ,люд╥ц╗,20150731,53.7218,51.3546,57.6636,51.2543,53.7017,6390884,348095993.8,-0.0201,-0.0373,54.4676,24.1165,1418810000,,5675240000,26500000,0,106000000,156.8644,13.5245,11.9002,54.8405,
300459.SZ,люд╥ц╗,20150803,53.7017,51.4549,52.6385,48.3355,50.151,7982037,392621750.3,-3.5507,-6.6119,49.1882,30.1209,1325000000,,5300000000,26500000,0,106000000,146.4927,12.6303,11.1134,51.2146,
300459.SZ,люд╥ц╗,20150804,50.151,50.6625,52.6585,46.7407,52.137,5659177,284278396.1,1.986,3.96,50.2332,21.3554,1377470000,,5509880000,26500000,0,106000000,152.2938,13.1305,11.5535,53.2427,
300459.SZ,люд╥ц╗,20150805,52.137,50.0306,52.0567,49.5492,50.0206,4017193,202990388.8,-2.1164,-4.0593,50.5304,15.1592,1321555000,,5286220000,26500000,0,106000000,146.1118,12.5975,11.0845,51.0814,
300459.SZ,люд╥ц╗,20150806,50.0206,49.0276,54.0427,48.155,52.4579,5508723,286045971,2.4373,4.8727,51.926,20.7876,1385950000,,5543800000,26500000,0,106000000,153.2314,13.2113,11.6246,53.5704,
300459.SZ,люд╥ц╗,20150807,52.4579,52.4579,52.4579,52.4579,52.4579,,,0,0,,,1385950000,,5543800000,26500000,0,106000000,153.2314,13.2113,11.6246,53.5704,
300459.SZ,люд╥ц╗,20150810,52.4579,52.4579,52.4579,52.4579,52.4579,,,0,0,,,1385950000,,5543800000,26500000,0,106000000,147.8353,9.2326,11.6246,53.5704,
300459.SZ,люд╥ц╗,20150811,52.4579,52.4579,52.4579,52.4579,52.4579,,,0,0,,,1385950000,,5543800000,26500000,0,106000000,147.8353,9.2326,11.6246,53.5704,
300459.SZ,люд╥ц╗,20150812,52.4579,52.4579,52.4579,52.4579,52.4579,,,0,0,,,1385950000,,5543800000,26500000,0,106000000,147.8353,9.2326,11.6246,53.5704,
300459.SZ,люд╥ц╗,20150813,52.4579,52.4579,52.4579,52.4579,52.4579,,,0,0,,,1385950000,,5543800000,26500000,0,106000000,147.8353,9.2326,11.6246,53.5704,
300459.SZ,люд╥ц╗,20150814,52.4579,53.6616,57.0618,50.6525,54.5442,6665497,358459032.4,2.0863,3.9771,53.7783,25.1528,1441070000,,5764280000,26500000,0,106000000,153.7148,9.5998,12.0869,55.701,
300459.SZ,люд╥ц╗,20150817,54.5442,53.1601,54.5141,50.151,51.6555,4156028,214283026,-2.8887,-5.2961,51.5596,15.6831,1364750000,,5459000000,26500000,0,106000000,145.5739,9.0914,11.4468,52.751,
300459.SZ,люд╥ц╗,20150818,51.6555,51.154,52.809,47.0216,47.8541,3781054,188243571.6,-3.8014,-7.3592,49.786,14.2681,1264315000,,5057260000,26500000,0,106000000,134.8608,8.4223,10.6044,48.8689,
