╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
688052.SH,дип╬н╒,20220422,,250,275.02,240,259.58,12594538,3224626010,29.58,12.8609,256.0337,58.3657,5601388562.8,,26234193120,21578660,0,101064000,117.2537,47.7217,30.4308,-567.7462,
688052.SH,дип╬н╒,20220425,259.58,240.99,247.6,232.22,237.35,4847227,1167893650,-22.23,-8.5638,240.9406,22.4631,5121694951,,23987540400,21578660,0,101064000,107.2123,43.6349,27.8248,-519.1254,
688052.SH,дип╬н╒,20220426,237.35,235.97,241.87,224,235.81,3082622,719871359,-1.54,-0.6488,233.5257,14.2855,5088463814.6,,23831901840,21578660,0,101064000,106.5167,43.3518,27.6442,-515.7571,
688052.SH,дип╬н╒,20220427,235.81,233,268.03,233,263.96,2962990,741817643,28.15,11.9376,250.3612,13.7311,5695903093.6,,26676853440,21578660,0,101064000,97.3346,41.9476,30.9443,-577.326,
688052.SH,дип╬н╒,20220428,263.96,260,260.98,245,251,2066680,519339970,-12.96,-4.9098,251.2919,9.5774,5416243660,,25367064000,21578660,0,101064000,92.5557,39.888,29.425,-548.9803,
688052.SH,дип╬н╒,20220429,251,248.9,277.91,248.9,267.9,1945878,521848224,16.9,6.7331,268.1814,9.0176,5780923014,,27075045600,21578660,0,101064000,98.7875,42.5737,31.4062,-585.9435,
688052.SH,дип╬н╒,20220505,267.9,263.96,275.58,256,269.9,1452794,387975041,2,0.7465,267.0544,6.7325,5824080334,,27277173600,21578660,0,101064000,99.525,42.8915,31.6406,-590.3178,
688052.SH,дип╬н╒,20220506,269.9,259.97,271.5,254,269.1,808970,214163449,-0.8,-0.2964,264.736,3.7489,5806817406,,27196322400,21578660,0,101064000,99.23,42.7644,31.5468,-588.5681,
688052.SH,дип╬н╒,20220509,269.1,265,286.69,252.18,255.03,1721182,462366714,-14.07,-5.2285,268.6332,7.9763,5503205659.8,,25774351920,21578660,0,101064000,94.0417,40.5284,29.8974,-557.7946,
688052.SH,дип╬н╒,20220510,255.03,250.01,281.5,248.01,270.28,1701667,457191745,15.25,5.9797,268.6729,7.8859,5832280224.8,,27315577920,21578660,0,101064000,99.6651,42.9519,31.6852,-591.1489,
688052.SH,дип╬н╒,20220511,270.28,273,296,266.56,281.8,1839618,519197360,11.52,4.2622,282.2311,8.5252,6080866388,,28479835200,21578660,0,101064000,103.9131,44.7826,33.0357,-616.3452,
688052.SH,дип╬н╒,20220512,281.8,281.7,286.92,274.2,282.99,941031,264118675,1.19,0.4223,280.6695,4.3609,6106544993.4,,28600101360,21578660,0,101064000,104.3519,44.9717,33.1752,-618.9479,
688052.SH,дип╬н╒,20220513,282.99,281.42,294.98,275.25,289.01,1292794,371369993,6.02,2.1273,287.2615,5.9911,6236448526.6,,29208506640,21578660,0,101064000,106.5718,45.9284,33.8809,-632.1147,
688052.SH,дип╬н╒,20220516,289.01,289,314.88,287.01,296.99,1825460,548997161,7.98,2.7612,300.7446,8.4596,6408646233.4,,30014997360,21578660,0,101064000,109.5144,47.1966,34.8164,-649.5683,
688052.SH,дип╬н╒,20220517,296.99,296.88,319.88,290.24,319.03,1476914,457003643,22.04,7.4211,309.4315,6.8443,6884239899.8,,32242447920,21578660,0,101064000,117.6416,50.6991,37.4002,-697.7736,
688052.SH,дип╬н╒,20220518,319.03,313.16,317.53,302,311.85,1243436,384598419,-7.18,-2.2506,309.3029,5.7623,6729305121,,31516808400,21578660,0,101064000,114.994,49.5581,36.5585,-682.0697,
688052.SH,дип╬н╒,20220519,311.85,307.46,313.8,298,306.98,1425303,435381699,-4.87,-1.5616,305.4661,6.6052,6624217046.8,,31024626720,21578660,0,101064000,113.1982,48.7841,35.9876,-671.4182,
688052.SH,дип╬н╒,20220520,306.98,307.63,317.98,303.3,313,772074,240633055,6.02,1.961,311.671,3.578,6754120580,,31633032000,21578660,0,101064000,115.418,49.7408,36.6933,-684.585,
688052.SH,дип╬н╒,20220523,313,310.52,316,305,314.97,528912,164618923,1.97,0.6294,311.2407,2.4511,6796630540.2,,31832128080,21578660,0,101064000,116.1445,50.0539,36.9242,-688.8937,
688052.SH,дип╬н╒,20220524,314.97,314,316,298.88,299.2,599299,183415197,-15.77,-5.0068,306.0496,2.7773,6456335072,,30238348800,21578660,0,101064000,110.3293,47.5478,35.0755,-654.402,
688052.SH,дип╬н╒,20220525,299.2,296,307.26,293.44,305,540341,162875434,5.8,1.9385,301.4308,2.5041,6581491300,,30824520000,21578660,0,101064000,112.4681,48.4695,35.7554,-667.0876,
688052.SH,дип╬н╒,20220526,305,302.91,315.8,294.11,305.51,694339,210108581,0.51,0.1672,302.6023,3.2177,6592496416.6,,30876062640,21578660,0,101064000,112.6561,48.5505,35.8152,-668.203,
688052.SH,дип╬н╒,20220527,305.51,304.98,317.99,304.98,314.8,568327,177682565,9.29,3.0408,312.6414,2.6337,6792962168,,31814947200,21578660,0,101064000,116.0818,50.0269,36.9043,-688.5219,
688052.SH,дип╬н╒,20220530,314.8,313.09,315.39,301.01,308.16,703375,215989956,-6.64,-2.1093,307.0765,3.2596,6649679865.6,,31143882240,21578660,0,101064000,113.6333,48.9717,36.1259,-673.999,
688052.SH,дип╬н╒,20220531,308.16,302.02,312,295.33,304.99,1532511,464010955,-3.17,-1.0287,302.7782,7.102,6581275513.4,,30823509360,21578660,0,101064000,112.4644,48.4679,35.7543,-667.0657,
688052.SH,дип╬н╒,20220601,304.99,306.98,306.98,293.09,297.5,1079139,322346811,-7.49,-2.4558,298.7074,5.001,6419651350,,30066540000,21578660,0,101064000,109.7024,47.2776,34.8762,-650.6838,
688052.SH,дип╬н╒,20220602,297.5,295.08,326,295.08,325,1536472,485366196,27.5,9.2437,315.8965,7.1203,7013064500,,32845800000,21578660,0,101064000,119.843,51.6478,38.1001,-710.831,
688052.SH,дип╬н╒,20220606,325,329.8,349.51,323.1,337.15,1214027,410436511,12.15,3.7385,338.0786,5.6261,7275245219,,34073727600,21578660,0,101064000,124.3233,53.5787,39.5244,-737.4052,
688052.SH,дип╬н╒,20220607,337.15,335.97,338.72,323.88,331.25,678578,223988232,-5.9,-1.75,330.0847,3.1447,7147931125,,33477450000,21578660,0,101064000,122.1477,52.641,38.8327,-724.5009,
