´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
688345.SH,²©Á¦Íþ,20210611,,101,102,80.19,85.1,16179607,1427105150,59.19,228.4446,88.2039,79.8157,1725080651.8,,8510000000,20271218,0,100000000,59.7703,17.679,5.9466,150.4166,
688345.SH,²©Á¦Íþ,20210615,85.1,84,86.17,69.18,69.2,10538734,797902450,-15.9,-18.6839,75.7114,51.9887,1402768285.6,,6920000000,20271218,0,100000000,48.6029,14.3759,4.8355,122.3129,
688345.SH,²©Á¦Íþ,20210616,69.2,66.51,68.8,62.09,62.29,6306615,409158109,-6.91,-9.9855,64.8776,31.1112,1262694169.22,,6229000000,20271218,0,100000000,43.7496,12.9404,4.3527,110.0993,
688345.SH,²©Á¦Íþ,20210617,62.29,63.58,65.8,62.1,62.95,3882734,248150503,0.66,1.0596,63.9113,19.1539,1276073173.1,,6295000000,20271218,0,100000000,44.2131,13.0775,4.3988,111.2659,
688345.SH,²©Á¦Íþ,20210618,62.95,65,71.72,64.15,68.75,6490807,442892520,5.8,9.2137,68.2338,32.0198,1393646237.5,,6875000000,20271218,0,100000000,48.2868,14.2824,4.8041,121.5176,
688345.SH,²©Á¦Íþ,20210621,68.75,69.4,72.55,67.01,70.49,5149506,360154681,1.74,2.5309,69.9397,25.403,1428918156.82,,7049000000,20271218,0,100000000,49.5089,14.6439,4.9257,124.593,
688345.SH,²©Á¦Íþ,20210622,70.49,70.85,70.97,67.01,68.53,3645993,249269180,-1.96,-2.7805,68.368,17.9861,1389186569.54,,6853000000,20271218,0,100000000,48.1323,14.2367,4.7887,121.1287,
688345.SH,²©Á¦Íþ,20210623,68.53,68.35,68.97,66.41,67.18,3140090,212061394,-1.35,-1.9699,67.5335,15.4904,1361820425.24,,6718000000,20271218,0,100000000,47.1841,13.9562,4.6944,118.7425,
688345.SH,²©Á¦Íþ,20210624,67.18,67.2,68.2,64.62,64.95,2666366,175360133,-2.23,-3.3194,65.7675,13.1535,1316615609.1,,6495000000,20271218,0,100000000,45.6178,13.493,4.5386,114.8009,
688345.SH,²©Á¦Íþ,20210625,64.95,65.88,65.92,63.1,64.26,2071225,133013633,-0.69,-1.0624,64.2198,10.2176,1302628468.68,,6426000000,20271218,0,100000000,45.1332,13.3496,4.4904,113.5814,
688345.SH,²©Á¦Íþ,20210628,64.26,63.5,67.49,63.21,66.3,2300281,151779692,2.04,3.1746,65.9831,11.3475,1343981753.4,,6630000000,20271218,0,100000000,46.566,13.7734,4.6329,117.1871,
688345.SH,²©Á¦Íþ,20210629,66.3,66.87,68.78,65.8,67.69,2626346,176896913,1.39,2.0965,67.3548,12.956,1372158746.42,,6769000000,20271218,0,100000000,47.5423,14.0622,4.73,119.644,
688345.SH,²©Á¦Íþ,20210630,67.69,67.59,75.44,66.68,73.55,5467275,390027591,5.86,8.6571,71.3386,26.9706,1490948083.9,,7355000000,20271218,0,100000000,51.6581,15.2796,5.1395,130.0017,
688345.SH,²©Á¦Íþ,20210701,73.55,72.51,72.97,68.8,68.93,3294844,232473961,-4.62,-6.2814,70.5569,16.2538,1397295056.74,,6893000000,20271218,0,100000000,48.4132,14.3198,4.8167,121.8357,
688345.SH,²©Á¦Íþ,20210702,68.93,69.1,71.77,68.99,69.33,2601271,183119054,0.4,0.5803,70.396,12.8323,1405403543.94,,6933000000,20271218,0,100000000,48.6942,14.4029,4.8446,122.5427,
