測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
603686.SH,腦韓鎮,20150126,,17.83,21.4,17.83,21.4,31471,669195,6.54,44.0108,21.2639,0.0944,713690000,,2853690000,33350000,0,133350000,22.3302,6.2555,2.4144,72.0012,
603686.SH,腦韓鎮,20150127,21.4,23.54,23.54,23.54,23.54,16300,383702,2.14,10,23.54,0.0489,785059000,,3139059000,33350000,0,133350000,24.5632,6.881,2.6559,79.2013,
603686.SH,腦韓鎮,20150128,23.54,25.89,25.89,25.89,25.89,19100,494499,2.35,9.983,25.89,0.0573,863431500,,3452431500,33350000,0,133350000,27.0153,7.568,2.921,87.108,
603686.SH,腦韓鎮,20150129,25.89,28.48,28.48,28.48,28.48,50800,1446784,2.59,10.0039,28.48,0.1523,949808000,,3797808000,33350000,0,133350000,29.7179,8.325,3.2132,95.8222,
603686.SH,腦韓鎮,20150130,28.48,31.33,31.33,31.33,31.33,102090,3198480,2.85,10.007,31.33,0.3061,1044855500,,4177855500,33350000,0,133350000,32.6918,9.1581,3.5347,105.4111,
603686.SH,腦韓鎮,20150202,31.33,34.46,34.46,34.46,34.46,185449,6390573,3.13,9.9904,34.46,0.5561,1149241000,,4595241000,33350000,0,133350000,35.9579,10.0731,3.8879,115.9421,
603686.SH,腦韓鎮,20150203,34.46,37.91,37.91,37.91,37.91,164460,6234679,3.45,10.0116,37.91,0.4931,1264298500,,5055298500,33350000,0,133350000,39.5578,11.0815,4.2771,127.5498,
603686.SH,腦韓鎮,20150204,37.91,41.7,41.7,41.7,41.7,158920,6626964,3.79,9.9974,41.7,0.4765,1390695000,,5560695000,33350000,0,133350000,43.5125,12.1894,4.7047,140.3014,
603686.SH,腦韓鎮,20150205,41.7,45.87,45.87,44.03,45.87,18765638,853350416,4.17,10,45.4741,56.2688,1529764500,,6116764500,33350000,0,133350000,47.8638,13.4083,5.1752,154.3316,
603686.SH,腦韓鎮,20150206,45.87,42,43,41.28,41.28,4017600,168533055,-4.59,-10.0065,41.9487,12.0468,1376688000,,5504688000,33350000,0,133350000,43.0743,12.0666,4.6573,138.8883,
603686.SH,腦韓鎮,20150209,41.28,37.15,37.15,37.15,37.15,751700,27925655,-4.13,-10.0048,37.15,2.254,1238952500,,4953952500,33350000,0,133350000,38.7648,10.8594,4.1914,124.9928,
603686.SH,腦韓鎮,20150210,37.15,33.44,35.59,33.44,34.81,14219114,485852412,-2.34,-6.2988,34.169,42.636,1160913500,,4641913500,33350000,0,133350000,36.3231,10.1754,3.9274,117.1197,
603686.SH,腦韓鎮,20150211,34.81,34.2,35.58,34,34.97,9530252,331555186,0.16,0.4596,34.7898,28.5765,1166249500,,4663249500,33350000,0,133350000,36.49,10.2221,3.9454,117.6581,
603686.SH,腦韓鎮,20150212,34.97,34.69,35.92,34.01,34.95,8049044,281993073,-0.02,-0.0572,35.0344,24.1351,1165582500,,4660582500,33350000,0,133350000,36.4692,10.2163,3.9432,117.5908,
603686.SH,腦韓鎮,20150213,34.95,34.98,36,34.81,35.94,7569275,269024219,0.99,2.8326,35.5416,22.6965,1198599000,,4792599000,33350000,0,133350000,37.5022,10.5057,4.0549,120.9217,
603686.SH,腦韓鎮,20150216,35.94,35.8,35.8,34.83,35.24,6759221,238623255,-0.7,-1.9477,35.3034,20.2675,1175254000,,4699254000,33350000,0,133350000,36.7718,10.3011,3.9759,118.5665,
603686.SH,腦韓鎮,20150217,35.24,35.79,35.98,35.3,35.45,5367922,191175446,0.21,0.5959,35.6144,16.0957,1182257500,,4727257500,33350000,0,133350000,36.9909,10.3625,3.9996,119.273,
603686.SH,腦韓鎮,20150225,35.45,35.3,35.33,34.2,34.41,4376845,151555028,-1.04,-2.9337,34.6265,13.124,1147573500,,4588573500,33350000,0,133350000,35.9057,10.0584,3.8822,115.7739,
603686.SH,腦韓鎮,20150226,34.41,34.2,34.99,34.18,34.92,3221096,111688035,0.51,1.4821,34.6739,9.6585,1164582000,,4656582000,33350000,0,133350000,36.4378,10.2075,3.9398,117.4898,
603686.SH,腦韓鎮,20150227,34.92,35,35.86,34.71,35.8,4641562,163684925,0.88,2.52,35.2651,13.9177,1193930000,,4773930000,33350000,0,133350000,37.3561,10.4648,4.0391,120.4506,
603686.SH,腦韓鎮,20150302,35.8,36.6,39.38,36.6,39.26,12033490,459507292,3.46,9.6648,38.1857,36.0824,1309321000,,5235321000,33350000,0,133350000,40.9665,11.4762,4.4294,132.0919,
603686.SH,腦韓鎮,20150303,39.26,38.28,40.49,37.76,39.12,9728543,380646106,-0.14,-0.3566,39.1267,29.171,1304652000,,5216652000,33350000,0,133350000,40.8204,11.4352,4.4136,131.6209,
603686.SH,腦韓鎮,20150304,39.12,38.92,38.92,37.61,38.04,4979668,189587373,-1.08,-2.7607,38.0723,14.9315,1268634000,,5072634000,33350000,0,133350000,39.6935,11.1195,4.2918,127.9872,
603686.SH,腦韓鎮,20150305,38.04,38.19,40.18,37.75,39.17,6566923,258559530,1.13,2.9706,39.373,19.6909,1306319500,,5223319500,33350000,0,133350000,40.8726,11.4499,4.4193,131.7891,
603686.SH,腦韓鎮,20150306,39.17,38.5,38.97,37.7,37.91,3085500,117409958,-1.26,-3.2167,38.0522,9.2519,1264298500,,5055298500,33350000,0,133350000,39.5578,11.0815,4.2771,127.5498,
603686.SH,腦韓鎮,20150309,37.91,37.9,37.9,36.73,37.32,2772558,103113588,-0.59,-1.5563,37.1908,8.3135,1244622000,,4976622000,33350000,0,133350000,38.9422,10.9091,4.2106,125.5647,
603686.SH,腦韓鎮,20150310,37.32,37.95,39.48,37.78,38.61,3328395,128230152,1.29,3.4566,38.5261,9.9802,1287643500,,5148643500,33350000,0,133350000,39.7105,11.2862,4.3561,129.905,
603686.SH,腦韓鎮,20150311,38.61,38.49,38.55,37.87,38.3,2119652,80883714,-0.31,-0.8029,38.159,6.3558,1277305000,,5107305000,33350000,0,133350000,39.3917,11.1955,4.3211,128.862,
603686.SH,腦韓鎮,20150312,38.3,38.14,38.53,37.13,37.51,2336746,88087246,-0.79,-2.0627,37.6965,7.0067,1250958500,,5001958500,33350000,0,133350000,38.5792,10.9646,4.232,126.204,
603686.SH,腦韓鎮,20150313,37.51,37.6,38.77,37.2,38.65,2169252,82503402,1.14,3.0392,38.0331,6.5045,1288977500,,5153977500,33350000,0,133350000,39.7517,11.2978,4.3606,130.0396,
