¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600781.SH,*ST∏®» ,20070104,7.5352,7.5564,7.8111,7.3654,7.6837,860196,3113746,0.1486,1.9718,3.6198,1.5447,201588750,,642886167.68,55687500,0,177592864,-24.0551,9.3173,3.5292,49.0896,
600781.SH,*ST∏®» ,20070105,7.6837,7.6413,7.7474,7.429,7.5139,443910,1581113,-0.1698,-2.2099,3.5618,0.7971,197133750,,628678738.56,55687500,0,177592864,-23.5235,9.1114,3.4512,48.0048,
600781.SH,*ST∏®» ,20070108,7.5139,7.4715,7.7474,7.4715,7.7474,864151,3100098,0.2335,3.1073,3.5874,1.5518,203259375,,648213953.6,55687500,0,177592864,-24.2544,9.3945,3.5585,49.4964,
600781.SH,*ST∏®» ,20070109,7.7474,7.7474,7.8748,7.6413,7.8111,799576,2927284,0.0637,0.8219,3.661,1.4358,204930000,,653541739.52,55687500,0,177592864,-24.4538,9.4717,3.5877,49.9033,
600781.SH,*ST∏®» ,20070110,7.8111,7.8323,7.9385,7.7262,7.896,1345953,4975744,0.0849,1.087,3.6968,2.417,207157500,,660645454.08,55687500,0,177592864,-24.7196,9.5747,3.6267,50.4457,
600781.SH,*ST∏®» ,20070111,7.896,7.8748,8.2993,7.7474,8.2781,3182888,12157141,0.3821,4.8387,3.8195,5.7156,217181250,,692612169.6,55687500,0,177592864,-25.9157,10.0379,3.8022,52.8866,
600781.SH,*ST∏®» ,20070112,8.2781,8.2356,8.5328,7.9597,8.0446,2170031,8416275,-0.2335,-2.8205,3.8784,3.8968,211055625,,673076954.56,55687500,0,177592864,-25.1847,9.7548,3.695,51.3949,
600781.SH,*ST∏®» ,20070115,8.0446,7.9385,8.3205,7.9385,8.2993,1601359,6168032,0.2547,3.1662,3.8517,2.8756,217738125,,694388098.24,55687500,0,177592864,-25.9821,10.0637,3.812,53.0222,
600781.SH,*ST∏®» ,20070116,8.2993,8.3417,8.4903,8.2144,8.4479,2494526,9853098,0.1486,1.7903,3.9499,4.4795,221636250,,706819598.72,55687500,0,177592864,-26.4473,10.2439,3.8802,53.9715,
600781.SH,*ST∏®» ,20070117,8.4479,8.4479,8.6177,8.2144,8.2781,2039895,8074630,-0.1698,-2.0101,3.9584,3.6631,217181250,,692612169.6,55687500,0,177592864,-25.9157,10.0379,3.8022,52.8866,
600781.SH,*ST∏®» ,20070118,8.2781,8.2568,8.7026,8.2356,8.7026,2270848,9146326,0.4245,5.1282,4.0277,4.0778,228318750,,728130742.4,55687500,0,177592864,-27.2447,10.5527,3.9972,55.5987,
600781.SH,*ST∏®» ,20070119,8.7026,9.1483,9.1483,9.1483,9.1483,376288,1621801,0.4457,5.122,4.31,0.6757,240013125,,765425243.84,55687500,0,177592864,-28.6402,11.0932,4.2019,58.4465,
600781.SH,*ST∏®» ,20070122,9.1483,9.6153,9.6153,9.6153,9.6153,359980,1630709,0.467,5.1044,4.53,0.6464,252264375,,804495673.92,55687500,0,177592864,-30.1021,11.6595,4.4164,61.4298,
600781.SH,*ST∏®» ,20070123,9.6153,10.1035,10.1035,10.1035,10.1035,212120,1009691,0.4882,5.0773,4.76,0.3809,265072500,,845342032.64,55687500,0,177592864,-31.6304,12.2514,4.6406,64.5488,
600781.SH,*ST∏®» ,20070124,10.1035,10.6129,10.6129,10.2096,10.6129,5536841,27607060,0.5094,5.042,4.9861,9.9427,278437500,,887964320,55687500,0,177592864,-33.2252,12.8692,4.8746,67.8033,
600781.SH,*ST∏®» ,20070125,10.6129,10.9737,11.1436,10.6341,10.9313,5516167,28652778,0.3184,3,5.1943,9.9056,286790625,,914603249.6,55687500,0,177592864,-34.222,13.2552,5.0209,69.8374,
600781.SH,*ST∏®» ,20070126,10.9313,10.6129,11.4832,10.4431,11.4832,2554566,13451788,0.5519,5.0485,5.2658,4.5873,301269375,,960777394.24,55687500,0,177592864,-35.9497,13.9244,5.2743,73.3632,
600781.SH,*ST∏®» ,20070129,11.4832,11.4619,11.9714,11.4619,11.7591,2253524,12448706,0.2759,2.403,5.5241,4.0467,308508750,,983864466.56,55687500,0,177592864,-36.8136,14.259,5.4011,75.1261,
600781.SH,*ST∏®» ,20070130,11.7591,11.7803,11.7803,11.2497,11.7379,2937125,15822307,-0.0212,-0.1805,5.387,5.2743,307951875,,982088537.92,55687500,0,177592864,-36.7471,14.2333,5.3913,74.9905,
600781.SH,*ST∏®» ,20070131,11.7379,11.8016,12.035,11.1436,11.1436,1881786,10364729,-0.5943,-5.0633,5.5079,3.3792,292359375,,932362536,55687500,0,177592864,-34.8865,13.5126,5.1184,71.1935,
600781.SH,*ST∏®» ,20070201,11.1436,11.1436,11.2497,10.6129,10.9313,2390965,12285080,-0.2123,-1.9048,5.1381,4.2935,286790625,,914603249.6,55687500,0,177592864,-34.222,13.2552,5.0209,69.8374,
600781.SH,*ST∏®» ,20070202,10.9313,10.9737,11.2072,10.6341,10.7827,1342666,6972039,-0.1486,-1.3592,5.1927,2.4111,282892500,,902171749.12,55687500,0,177592864,-33.7568,13.0751,4.9526,68.8882,
600781.SH,*ST∏®» ,20070205,10.7827,10.7403,10.9313,10.5917,10.719,1383712,7017020,-0.0637,-0.5906,5.0712,2.4848,281221875,,896843963.2,55687500,0,177592864,-33.5575,12.9979,4.9234,68.4814,
600781.SH,*ST∏®» ,20070206,10.719,10.6341,10.995,10.1884,10.7615,1426145,7103511,0.0425,0.396,4.9809,2.561,282335625,,900395820.48,55687500,0,177592864,-33.6904,13.0493,4.9429,68.7526,
600781.SH,*ST∏®» ,20070207,10.7615,10.7615,10.995,10.6554,10.8676,1281646,6548001,0.1061,0.9862,5.1091,2.3015,285120000,,909275463.68,55687500,0,177592864,-34.0226,13.178,4.9916,69.4306,
600781.SH,*ST∏®» ,20070208,10.8676,10.8888,11.4195,10.8252,11.4195,1018820,5433290,0.5519,5.0781,5.3329,1.8295,299598750,,955449608.32,55687500,0,177592864,-35.7504,13.8472,5.2451,72.9564,
600781.SH,*ST∏®» ,20070209,11.4195,11.9926,11.9926,11.6742,11.9926,741145,4176815,0.5731,5.0186,5.6356,1.3309,314634375,,1003399681.6,55687500,0,177592864,-37.5445,14.5422,5.5083,76.6178,
600781.SH,*ST∏®» ,20070212,11.9926,12.5869,12.5869,12.502,12.5869,959110,5685471,0.5943,4.9558,5.9279,1.7223,330226875,,1053125683.52,55687500,0,177592864,-39.4051,15.2628,5.7813,80.4148,
600781.SH,*ST∏®» ,20070213,12.5869,12.8204,13.2025,12.6081,12.9053,3225415,19657568,0.3184,2.5295,6.0946,5.792,338580000,,1079764613.12,55687500,0,177592864,-40.4019,15.6489,5.9275,82.4489,
600781.SH,*ST∏®» ,20070214,12.9053,12.7779,13.16,12.7779,12.8204,1504904,9190617,-0.0849,-0.6579,6.1071,2.7024,336352500,,1072660898.56,55687500,0,177592864,-40.1361,15.546,5.8885,81.9064,
600781.SH,*ST∏®» ,20070215,12.8204,13.1176,13.4572,12.9477,13.3298,2651081,16694961,0.5094,3.9735,6.2974,4.7606,349717500,,1115283185.92,55687500,0,177592864,50.6187,16.1637,6.1225,85.161,
