測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
002076.SZ,*ST悕應,20070104,18.77,18.77,18.99,18.16,18.76,971276,17921428.3,-0.01,-0.0533,18.4514,4.6696,390208000,,1920509938.48,20800000,0,102372598,61.4181,13.0615,7.1067,15.356,
002076.SZ,*ST悕應,20070105,18.76,18.76,18.76,18.76,18.76,,,0,0,,,390208000,,1920509938.48,20800000,0,102372598,61.4181,13.0615,7.1067,15.356,
002076.SZ,*ST悕應,20070108,18.76,19.2,19.75,19,19.64,862689,16795427.7,0.88,4.6908,19.4687,4.1475,408512000,,2010597824.72,20800000,0,102372598,64.2991,13.6741,7.4401,16.0764,
002076.SZ,*ST悕應,20070109,19.64,19.65,21,19.5,20.32,754017,15220225.1,0.68,3.4623,20.1855,3.6251,422656000,,2080211191.36,20800000,0,102372598,66.5254,14.1476,7.6977,16.633,
002076.SZ,*ST悕應,20070110,20.32,20.25,20.8,20.1,20.59,961677,19677898.8,0.27,1.3287,20.4621,4.6234,428272000,,2107851792.82,20800000,0,102372598,67.4093,14.3356,7.7999,16.854,
002076.SZ,*ST悕應,20070111,20.59,20.35,20.85,20.06,20.06,593300,12113492,-0.53,-2.5741,20.4171,2.8524,417248000,,2053594315.88,20800000,0,102372598,65.6742,13.9666,7.5992,16.4202,
002076.SZ,*ST悕應,20070112,20.06,19.86,20.1,19.01,19.17,622549,12269104.4,-0.89,-4.4367,19.7079,2.993,398736000,,1962482703.66,20800000,0,102372598,62.7604,13.3469,7.262,15.6917,
002076.SZ,*ST悕應,20070115,19.17,19.2,20.3,19.2,20.1,1029240,20623148.4,0.93,4.8513,20.0373,4.9483,418080000,,2057689219.8,20800000,0,102372598,65.8051,13.9944,7.6143,16.4529,
002076.SZ,*ST悕應,20070116,20.1,20.1,20.71,19.95,20.41,633679,12806753.1,0.31,1.5423,20.2102,3.0465,424528000,,2089424725.18,20800000,0,102372598,66.82,14.2103,7.7318,16.7067,
002076.SZ,*ST悕應,20070117,20.41,20.41,21.18,19.8,20.3,1361515,27697264.4,-0.11,-0.539,20.343,6.5457,422240000,,2078163739.4,20800000,0,102372598,66.4599,14.1337,7.6901,16.6166,
002076.SZ,*ST悕應,20070118,20.3,20.01,21.2,20.01,21.09,572912,11783358.6,0.79,3.8916,20.5675,2.7544,438672000,,2159038091.82,20800000,0,102372598,69.0463,14.6837,7.9893,17.2633,
002076.SZ,*ST悕應,20070119,21.09,21,23.2,20.81,23.2,857760,19577096.1,2.11,10.0047,22.8235,4.1238,482560000,,2375044273.6,20800000,0,102372598,75.9542,16.1528,8.7887,18.9904,
002076.SZ,*ST悕應,20070122,23.2,24.1,25.5,24,25.2,1135738,27949532.7,2,8.6207,24.6091,5.4603,524160000,,2579789469.6,20800000,0,102372598,82.5019,17.5452,9.5463,20.6275,
002076.SZ,*ST悕應,20070123,25.2,25,25.2,23.6,24.28,864335,20948078,-0.92,-3.6508,24.2361,4.1555,505024000,,2485606679.44,20800000,0,102372598,79.49,16.9047,9.1978,19.8745,
002076.SZ,*ST悕應,20070124,24.28,24,25.2,23.67,24.7,685172,16706536.2,0.42,1.7298,24.383,3.2941,513760000,,2528603170.6,20800000,0,102372598,80.865,17.1971,9.3569,20.2182,
002076.SZ,*ST悕應,20070125,24.7,23.99,24.06,23,23.81,2235556,52882929.7,-0.89,-3.6032,23.6554,8.5983,619060000,,2437491558.38,26000000,0,102372598,77.9512,16.5775,9.0197,19.4897,
002076.SZ,*ST悕應,20070126,23.81,23.71,23.71,22.1,23.55,831218,19005254.7,-0.26,-1.092,22.8643,3.197,612300000,,2410874682.9,26000000,0,102372598,77.1,16.3964,8.9213,19.2769,
002076.SZ,*ST悕應,20070129,23.55,23.6,24.3,22.82,24.27,1149392,27144450.3,0.72,3.0573,23.6164,4.4207,631020000,,2484582953.46,26000000,0,102372598,79.4572,16.8977,9.194,19.8663,
002076.SZ,*ST悕應,20070130,24.27,24.05,24.35,23.5,23.5,470095,11252702.8,-0.77,-3.1726,23.9371,1.8081,611000000,,2405756053,26000000,0,102372598,76.9363,16.3616,8.9023,19.236,
002076.SZ,*ST悕應,20070131,23.5,23.41,23.52,22.27,22.5,882577,20009929.9,-1,-4.2553,22.6722,3.3945,585000000,,2303383455,26000000,0,102372598,73.6624,15.6654,8.5235,18.4174,
002076.SZ,*ST悕應,20070201,22.5,22,22.48,21.7,22.42,470500,10375127.7,-0.08,-0.3556,22.0513,1.8096,582920000,,2295193647.16,26000000,0,102372598,73.4005,15.6097,8.4932,18.3519,
002076.SZ,*ST悕應,20070202,22.42,22.43,22.8,21.5,21.5,345483,7609592,-0.92,-4.1035,22.026,1.3288,559000000,,2201010857,26000000,0,102372598,70.3886,14.9692,8.1447,17.5989,
002076.SZ,*ST悕應,20070205,21.5,21.5,21.9,21,21.75,239094,5130717,0.25,1.1628,21.459,0.9196,565500000,,2226604006.5,26000000,0,102372598,71.207,15.1432,8.2394,17.8035,
002076.SZ,*ST悕應,20070206,21.75,21.87,22,21.3,21.8,316485,6834083.3,0.05,0.2299,21.5937,1.2172,566800000,,2231722636.4,26000000,0,102372598,71.3707,15.178,8.2583,17.8444,
002076.SZ,*ST悕應,20070207,21.8,21.98,22.18,21.62,21.89,630294,13755685.4,0.09,0.4128,21.8242,2.4242,569140000,,2240936170.22,26000000,0,102372598,71.6654,15.2407,8.2924,17.9181,
002076.SZ,*ST悕應,20070208,21.89,21.65,23.3,21.45,23.06,1155942,25949468,1.17,5.3449,22.4488,4.4459,599560000,,2360712109.88,26000000,0,102372598,75.4958,16.0553,8.7356,18.8758,
002076.SZ,*ST悕應,20070209,23.06,22.71,23.2,22.68,22.68,563841,12921702.9,-0.38,-1.6479,22.9173,2.1686,589680000,,2321810522.64,26000000,0,102372598,74.2517,15.7907,8.5917,18.5648,
002076.SZ,*ST悕應,20070212,22.68,22.88,23.21,22.7,23,375019,8612596.8,0.32,1.4109,22.9658,1.4424,598000000,,2354569754,26000000,0,102372598,53.5552,16.0135,8.7129,18.8267,
002076.SZ,*ST悕應,20070213,23,23,23.18,22.5,22.58,370710,8483584.6,-0.42,-1.8261,22.8847,1.4258,587080000,,2311573262.84,26000000,0,102372598,52.5772,15.7211,8.5538,18.4829,
002076.SZ,*ST悕應,20070214,22.58,22.8,23.07,22.51,22.8,565037,12847900.1,0.22,0.9743,22.7382,2.1732,592800000,,2334095234.4,26000000,0,102372598,53.0895,15.8743,8.6371,18.663,
002076.SZ,*ST悕應,20070215,22.8,22.98,23.6,22.61,23.6,872918,20129288.2,0.8,3.5088,23.0598,3.3574,613600000,,2415993312.8,26000000,0,102372598,54.9523,16.4313,8.9402,19.3178,
002076.SZ,*ST悕應,20070216,23.6,23.49,23.85,23,23.42,661400,15475101.8,-0.18,-0.7627,23.3975,2.5438,608920000,,2397566245.16,26000000,0,102372598,54.5331,16.3059,8.872,19.1705,
002076.SZ,*ST悕應,20070226,23.42,23.2,24.3,23.11,24.2,581279,13840776.7,0.78,3.3305,23.8109,2.2357,629200000,,2477416871.6,26000000,0,102372598,56.3494,16.849,9.1675,19.809,
002076.SZ,*ST悕應,20070227,24.2,24.3,24.32,21.78,21.78,927600,21323021.2,-2.42,-10,22.9873,3.5677,566280000,,2229675184.44,26000000,0,102372598,50.7144,15.1641,8.2507,17.8281,
002076.SZ,*ST悕應,20070228,21.78,20.6,22.18,20.59,21.75,578476,12364084.1,-0.03,-0.1377,21.3735,2.2249,565500000,,2226604006.5,26000000,0,102372598,50.6446,15.1432,8.2394,17.8035,
002076.SZ,*ST悕應,20070301,21.75,21.77,21.77,20.3,20.37,554111,11504162.8,-1.38,-6.3448,20.7615,2.1312,529620000,,2085329821.26,26000000,0,102372598,47.4313,14.1824,7.7166,16.6739,
002076.SZ,*ST悕應,20070302,20.37,20.5,20.97,20.31,20.6,1000557,20596435.9,0.23,1.1291,20.585,3.8483,535600000,,2108875518.8,26000000,0,102372598,47.9668,14.3425,7.8037,16.8622,
002076.SZ,*ST悕應,20070305,20.6,20.66,21.51,19.5,19.79,1391168,28060700.3,-0.81,-3.932,20.1706,5.3506,514540000,,2025953714.42,26000000,0,102372598,46.0807,13.7786,7.4969,16.1992,
002076.SZ,*ST悕應,20070306,19.79,19.8,20.46,19.71,20.26,836216,16831996.2,0.47,2.3749,20.1288,3.2162,526760000,,2074068835.48,26000000,0,102372598,47.1751,14.1058,7.6749,16.5839,
002076.SZ,*ST悕應,20070307,20.26,20.16,21.55,20.05,21.55,1017137,21096751.9,1.29,6.3672,20.7413,3.9121,560300000,,2206129486.9,26000000,0,102372598,50.1789,15.004,8.1636,17.6398,
002076.SZ,*ST悕應,20070308,21.55,22,22.9,21.6,22.49,1109264,24890789.9,0.94,4.3619,22.439,4.2664,584740000,,2302359729.02,26000000,0,102372598,52.3677,15.6584,8.5197,18.4092,
002076.SZ,*ST悕應,20070309,22.49,22.5,23.59,22.5,23.5,1352950,31418665.7,1.01,4.4909,23.2223,5.2037,611000000,,2405756053,26000000,0,102372598,54.7194,16.3616,8.9023,19.236,
002076.SZ,*ST悕應,20070312,23.5,23.4,25.5,22.4,25.1,2006385,48393815.9,1.6,6.8085,24.1199,7.7169,652600000,,2569552209.8,26000000,0,102372598,58.445,17.4756,9.5084,20.5457,
002076.SZ,*ST悕應,20070313,25.1,26.02,26.35,24.85,24.85,3693438,94590988.7,-0.25,-0.996,25.6106,14.2055,646100000,,2543959060.3,26000000,0,102372598,58.5269,17.3016,9.4137,20.341,
