´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
603877.SH,Ì«Æ½Äñ,20170109,,25.56,30.67,25.56,30.67,43043,1309776,9.37,43.9906,30.4295,0.0783,1686850000,,14568250000,55000000,0,475000000,29.1841,8.0594,2.305,36.7569,
603877.SH,Ì«Æ½Äñ,20170110,30.67,33.74,33.74,33.74,33.74,13385,451610,3.07,10.0098,33.74,0.0243,1855700000,,16026500000,55000000,0,475000000,32.1054,8.8661,2.5357,40.4361,
603877.SH,Ì«Æ½Äñ,20170111,33.74,37.11,37.11,37.11,37.11,89273,3312921,3.37,9.9881,37.11,0.1623,2041050000,,17627250000,55000000,0,475000000,35.3121,9.7517,2.789,44.475,
603877.SH,Ì«Æ½Äñ,20170112,37.11,40.82,40.82,37.19,38.17,25995878,1011433525,1.06,2.8564,38.9075,47.2652,2099350000,,18130750000,55000000,0,475000000,36.3208,10.0302,2.8686,45.7453,
603877.SH,Ì«Æ½Äñ,20170113,38.17,36.1,41.99,34.8,39.58,29018729,1120879924,1.41,3.694,38.6261,52.7613,2176900000,,18800500000,55000000,0,475000000,37.6625,10.4007,2.9746,47.4352,
603877.SH,Ì«Æ½Äñ,20170116,39.58,37.51,41.62,37.12,40.86,27133596,1084988154,1.28,3.234,39.9869,49.3338,2247300000,,19408500000,55000000,0,475000000,38.8805,10.7371,3.0708,48.9692,
603877.SH,Ì«Æ½Äñ,20170117,40.86,40,44.8,38.83,41.62,26034260,1074176364,0.76,1.86,41.2601,47.335,2289100000,,19769500000,55000000,0,475000000,39.6036,10.9368,3.1279,49.88,
603877.SH,Ì«Æ½Äñ,20170118,41.62,40.51,40.98,37.46,37.46,20360684,798315774,-4.16,-9.9952,39.2087,37.0194,2060300000,,17793500000,55000000,0,475000000,35.6452,9.8436,2.8153,44.8944,
603877.SH,Ì«Æ½Äñ,20170119,37.46,36.02,37.5,35.36,35.64,14702134,530783828,-1.82,-4.8585,36.1025,26.7312,1960200000,,16929000000,55000000,0,475000000,33.9133,9.3654,2.6785,42.7132,
603877.SH,Ì«Æ½Äñ,20170120,35.64,35.3,36.56,35.06,35.73,10598082,381475536,0.09,0.2525,35.9948,19.2692,1965150000,,16971750000,55000000,0,475000000,33.999,9.389,2.6852,42.8211,
