測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
605566.SH,腦應椷杻,20211025,,38.65,46.38,38.65,40.2,16470186,682831597,7.99,24.806,41.4586,49.4007,1340268000,,5360268000,33340000,0,133340000,27.1133,5.1954,5.3713,-391.5585,
605566.SH,腦應椷杻,20211026,40.2,36.18,36.9,36.18,36.18,2611341,94717835,-4.02,-10,36.2717,7.8325,1206241200,,4824241200,33340000,0,133340000,24.402,4.6758,4.8342,-352.4026,
605566.SH,腦應椷杻,20211027,36.18,32.56,32.56,32.56,32.56,2446300,79651528,-3.62,-10.0055,32.56,7.3374,1085550400,,4341550400,33340000,0,133340000,21.9604,4.208,4.3505,-317.1429,
605566.SH,腦應椷杻,20211028,32.56,30,31.96,30,30,8606181,263493847,-2.56,-7.8624,30.6168,25.8134,1000200000,,4000200000,33340000,0,133340000,20.2338,3.8771,4.0085,-292.2079,
605566.SH,腦應椷杻,20211029,30,30.09,30.68,29.45,29.59,5762766,173095089,-0.41,-1.3667,30.0368,17.2848,986530600,,3945530600,33340000,0,133340000,19.9573,3.8241,3.9537,-288.2143,
605566.SH,腦應椷杻,20211101,29.59,28.96,29.55,28.13,29.17,5595933,161032206,-0.42,-1.4194,28.7767,16.7844,972527800,,3889527800,33340000,0,133340000,19.674,3.7699,3.8975,-284.1234,
605566.SH,腦應椷杻,20211102,29.17,29.02,29.45,28.06,28.09,4852858,139526278,-1.08,-3.7024,28.7514,14.5557,936520600,,3745520600,33340000,0,133340000,18.9456,3.6303,3.7532,-273.6039,
605566.SH,腦應椷杻,20211103,28.09,28.02,28.9,27.54,28.57,4525714,127838601,0.48,1.7088,28.2472,13.5744,952523800,,3809523800,33340000,0,133340000,19.2693,3.6923,3.8174,-278.2793,
605566.SH,腦應椷杻,20211104,28.57,28.43,30.08,28.34,29.74,5361109,157890816,1.17,4.0952,29.4511,16.0801,991531600,,3965531600,33340000,0,133340000,20.0584,3.8435,3.9737,-289.6754,
605566.SH,腦應椷杻,20211105,29.74,29.5,32.5,29.4,31.13,7031915,217375639,1.39,4.6738,30.9127,21.0915,1037874200,,4150874200,33340000,0,133340000,20.9959,4.0232,4.1594,-303.2143,
605566.SH,腦應椷杻,20211108,31.13,31.37,31.37,29.7,30.05,4739831,142904502,-1.08,-3.4693,30.1497,14.2166,1001867000,,4006867000,33340000,0,133340000,20.2675,3.8836,4.0151,-292.6949,
605566.SH,腦應椷杻,20211109,30.05,29.8,30.43,29.64,30,2931564,87953824,-0.05,-0.1664,30.0024,8.7929,1000200000,,4000200000,33340000,0,133340000,20.2338,3.8771,4.0085,-292.2079,
