╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
002745.SZ,д╬ажи╜,20150217,,25.8,30.96,25.8,30.96,66000,2032782,9.46,44,30.7997,0.1483,1377720000,,13761720000,44500000,0,444500000,31.8056,10.0542,3.439,-197.6781,
002745.SZ,д╬ажи╜,20150225,30.96,34.06,34.06,34.06,34.06,14400,490464,3.1,10.0129,34.06,0.0324,1515670000,,15139670000,44500000,0,444500000,34.9903,11.0609,3.7833,-217.4714,
002745.SZ,д╬ажи╜,20150226,34.06,37.47,37.47,37.47,37.47,14500,543315,3.41,10.0117,37.47,0.0326,1667415000,,16655415000,44500000,0,444500000,38.4934,12.1683,4.1621,-239.2441,
002745.SZ,д╬ажи╜,20150227,37.47,41.22,41.22,41.22,41.22,54800,2258856,3.75,10.008,41.22,0.1231,1834290000,,18322290000,44500000,0,444500000,42.3458,13.3861,4.5787,-263.1877,
002745.SZ,д╬ажи╜,20150302,41.22,45.34,45.34,45.34,45.34,269100,12200994,4.12,9.9951,45.34,0.6047,2017630000,,20153630000,44500000,0,444500000,46.3479,14.7241,5.0363,-289.4937,
002745.SZ,д╬ажи╜,20150303,45.34,45.34,49.48,40.95,47.47,26072515,1164226765.6,2.13,4.6978,44.6534,58.5899,2112415000,,21100415000,44500000,0,444500000,48.5253,15.4158,5.2729,-303.0936,
002745.SZ,д╬ажи╜,20150304,47.47,44.2,45.5,43.1,44.24,13438186,596948204.2,-3.23,-6.8043,44.4218,30.1982,1968680000,,19664680000,44500000,0,444500000,45.2235,14.3669,4.9141,-282.4702,
002745.SZ,д╬ажи╜,20150305,44.24,44,44,42.06,42.07,10068349,428782850.7,-2.17,-4.9051,42.5872,22.6255,1872115000,,18700115000,44500000,0,444500000,43.0052,13.6621,4.6731,-268.6149,
002745.SZ,д╬ажи╜,20150306,42.07,41.98,43.2,41.01,41.25,7292743,304887914.1,-0.82,-1.9491,41.807,16.3882,1835625000,,18335625000,44500000,0,444500000,42.167,13.3959,4.582,-263.3792,
002745.SZ,д╬ажи╜,20150309,41.25,40.98,40.99,39.1,39.55,6494962,257106888.6,-1.7,-4.1212,39.5856,14.5954,1759975000,,17579975000,44500000,0,444500000,40.4292,12.8438,4.3932,-252.5248,
002745.SZ,д╬ажи╜,20150310,39.55,39.54,40.67,39.42,40.35,4457138,178959627.5,0.8,2.0228,40.1512,10.016,1795575000,,17935575000,44500000,0,444500000,41.247,13.1036,4.482,-257.6328,
002745.SZ,д╬ажи╜,20150311,40.35,40,40,39.21,39.31,4379880,173018818.7,-1.04,-2.5774,39.5031,9.8424,1749295000,,17473295000,44500000,0,444500000,40.1839,12.7658,4.3665,-250.9924,
002745.SZ,д╬ажи╜,20150312,39.31,39.06,39.45,38.01,38.16,5446868,209913169.1,-1.15,-2.9255,38.5383,12.2402,1698120000,,16962120000,44500000,0,444500000,39.0083,12.3924,4.2388,-243.6497,
002745.SZ,д╬ажи╜,20150313,38.16,38.5,39.46,38.38,39.18,3772575,147269279.6,1.02,2.673,39.0368,8.4777,1743510000,,17415510000,44500000,0,444500000,40.051,12.7236,4.3521,-250.1624,
002745.SZ,д╬ажи╜,20150316,39.18,39.55,40.36,39.5,40.28,5114398,205172505.2,1.1,2.8076,40.1166,11.493,1792460000,,17904460000,44500000,0,444500000,41.1754,13.0808,4.4742,-257.1858,
002745.SZ,д╬ажи╜,20150317,40.28,40.48,40.58,40.06,40.38,4839366,194872463.5,0.1,0.2483,40.2682,10.875,1796910000,,17948910000,44500000,0,444500000,41.2776,13.1133,4.4854,-257.8243,
002745.SZ,д╬ажи╜,20150318,40.38,40.39,40.79,40.07,40.65,5287241,214100182.7,0.27,0.6686,40.4937,11.8814,1808925000,,18068925000,44500000,0,444500000,41.5536,13.201,4.5153,-259.5482,
002745.SZ,д╬ажи╜,20150319,40.65,40.68,41.69,40.25,41.35,5761056,236630095.4,0.7,1.722,41.0741,12.9462,1840075000,,18380075000,44500000,0,444500000,42.2692,13.4283,4.5931,-264.0177,
002745.SZ,д╬ажи╜,20150320,41.35,41.36,41.5,40.76,40.91,4466154,182984876.4,-0.44,-1.0641,40.9715,10.0363,1820495000,,18184495000,44500000,0,444500000,41.8194,13.2854,4.5442,-261.2083,
002745.SZ,д╬ажи╜,20150323,40.91,40.91,41.35,40.6,41.14,5140428,210430428.4,0.23,0.5622,40.9364,11.5515,1830730000,,18286730000,44500000,0,444500000,42.0545,13.3601,4.5698,-262.6769,
002745.SZ,д╬ажи╜,20150324,41.14,41.15,41.19,39.61,40.45,5366348,217196400.1,-0.69,-1.6772,40.4738,12.0592,1800025000,,17980025000,44500000,0,444500000,41.3492,13.1361,4.4931,-258.2713,
002745.SZ,д╬ажи╜,20150325,40.45,40.5,42.46,40.18,42.1,8778662,367033116.7,1.65,4.0791,41.8097,19.7273,1873450000,,18713450000,44500000,0,444500000,43.0359,13.6719,4.6764,-268.8064,
002745.SZ,д╬ажи╜,20150326,42.1,41.9,41.9,40.7,40.98,4886764,201423878.9,-1.12,-2.6603,41.2183,10.9815,1823610000,,18215610000,44500000,0,444500000,41.891,13.3082,4.552,-261.6553,
002745.SZ,д╬ажи╜,20150327,40.98,40.83,41.16,40.71,40.98,2393752,97974866.8,0,0,40.9294,5.3792,1823610000,,18215610000,44500000,0,444500000,41.891,13.3082,4.552,-261.6553,
002745.SZ,д╬ажи╜,20150330,40.98,40.99,42.19,40.9,41.36,4436506,184292658.9,0.38,0.9273,41.54,9.9697,1840520000,,18384520000,44500000,0,444500000,42.2794,13.4316,4.5942,-264.0816,
002745.SZ,д╬ажи╜,20150331,41.36,41.15,41.81,40.66,41.28,4707824,193822738.7,-0.08,-0.1934,41.1703,10.5794,1836960000,,18348960000,44500000,0,444500000,42.1977,13.4056,4.5853,-263.5708,
