´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
301019.SZ,Äþ²¨É«Ä¸,20210628,,74,74,57.2,57.93,10509287,646777106,28.99,100.1728,61.5434,52.5464,1158600000,,4634400000,20000000,0,80000000,41.097,11.9613,10.7894,222.4639,
301019.SZ,Äþ²¨É«Ä¸,20210629,57.93,55,57.63,52.5,55.4,6168217,340943066,-2.53,-4.3673,55.2742,30.8411,1108000000,,4432000000,20000000,0,80000000,39.3021,11.4389,10.3182,212.7482,
301019.SZ,Äþ²¨É«Ä¸,20210630,55.4,56,57.68,53,54,5205755,285561971,-1.4,-2.5271,54.8551,26.0288,1080000000,,4320000000,20000000,0,80000000,38.3089,11.1498,10.0574,207.3719,
301019.SZ,Äþ²¨É«Ä¸,20210701,54,53,53,49.88,50,4670699,236709421,-4,-7.4074,50.6797,23.3535,1000000000,,4000000000,20000000,0,80000000,35.4712,10.3239,9.3124,192.011,
301019.SZ,Äþ²¨É«Ä¸,20210702,50,50.01,50.6,46.5,46.94,3542115,168770427,-3.06,-6.12,47.6468,17.7106,938800000,,3755200000,20000000,0,80000000,33.3004,9.6921,8.7425,180.2599,
301019.SZ,Äþ²¨É«Ä¸,20210705,46.94,48,51.38,47.5,49.7,4140600,205802775,2.76,5.8798,49.7036,20.703,994000000,,3976000000,20000000,0,80000000,35.2584,10.2619,9.2566,190.8589,
301019.SZ,Äþ²¨É«Ä¸,20210706,49.7,49.61,52.06,48.2,51.14,4165616,211022995,1.44,2.8974,50.6583,20.8281,1022800000,,4091200000,20000000,0,80000000,36.28,10.5593,9.5248,196.3888,
301019.SZ,Äþ²¨É«Ä¸,20210707,51.14,50,50.45,48.4,49.1,2876000,142237978,-2.04,-3.989,49.4569,14.38,982000000,,3928000000,20000000,0,80000000,34.8327,10.1381,9.1448,188.5548,
301019.SZ,Äþ²¨É«Ä¸,20210708,49.1,51,51.47,49.33,49.38,2435941,122658035,0.28,0.5703,50.3535,12.1797,987600000,,3950400000,20000000,0,80000000,35.0314,10.1959,9.197,189.6301,
301019.SZ,Äþ²¨É«Ä¸,20210709,49.38,50.44,54.19,50.44,51.25,3389526,176845957,1.87,3.787,52.1742,16.9476,1025000000,,4100000000,20000000,0,80000000,36.358,10.582,9.5453,196.8113,
301019.SZ,Äþ²¨É«Ä¸,20210712,51.25,49.6,50.85,48.6,49.73,3153554,155589596,-1.52,-2.9659,49.3379,15.7678,994600000,,3978400000,20000000,0,80000000,35.2797,10.2681,9.2622,190.9741,
301019.SZ,Äþ²¨É«Ä¸,20210713,49.73,49.49,49.5,48.11,48.35,2089399,101478031,-1.38,-2.775,48.568,10.447,967000000,,3868000000,20000000,0,80000000,34.3007,9.9832,9.0051,185.6746,
301019.SZ,Äþ²¨É«Ä¸,20210714,48.35,48.39,49.86,48.37,48.73,2056060,101054820,0.38,0.7859,49.1497,10.2803,974600000,,3898400000,20000000,0,80000000,34.5703,10.0617,9.0759,187.1339,
301019.SZ,Äþ²¨É«Ä¸,20210715,48.73,48.7,48.74,47,47.58,1806132,85853088,-1.15,-2.3599,47.5342,9.0307,951600000,,3806400000,20000000,0,80000000,33.7544,9.8242,8.8617,182.7177,
301019.SZ,Äþ²¨É«Ä¸,20210716,47.58,48.31,48.7,47.58,47.63,1306418,62756915,0.05,0.1051,48.0374,6.5321,952600000,,3810400000,20000000,0,80000000,33.7899,9.8345,8.871,182.9097,
301019.SZ,Äþ²¨É«Ä¸,20210719,47.63,48,48.61,47.5,48.19,1362763,65485925,0.56,1.1757,48.0538,6.8138,963800000,,3855200000,20000000,0,80000000,34.1872,9.9502,8.9753,185.0602,
301019.SZ,Äþ²¨É«Ä¸,20210720,48.19,48,52.69,47.5,51.9,3910264,197782847,3.71,7.6987,50.5804,19.5513,1038000000,,4152000000,20000000,0,80000000,36.8191,10.7162,9.6663,199.3074,
301019.SZ,Äþ²¨É«Ä¸,20210721,51.9,51.07,52.05,50.15,51.33,3126360,159940333,-0.57,-1.0983,51.1586,15.6318,1026600000,,4106400000,20000000,0,80000000,36.4148,10.5985,9.5602,197.1185,
301019.SZ,Äþ²¨É«Ä¸,20210722,51.33,50.61,52.86,50.54,50.95,2217663,114154163,-0.38,-0.7403,51.475,11.0883,1019000000,,4076000000,20000000,0,80000000,36.1452,10.52,9.4894,195.6592,
301019.SZ,Äþ²¨É«Ä¸,20210723,50.95,51.1,51.29,48.5,48.6,2344059,116013776,-2.35,-4.6124,49.4927,11.7203,972000000,,3888000000,20000000,0,80000000,34.478,10.0348,9.0517,186.6347,
301019.SZ,Äþ²¨É«Ä¸,20210726,48.6,48.55,48.55,45.26,45.95,2181431,101717440,-2.65,-5.4527,46.6288,10.9072,919000000,,3676000000,20000000,0,80000000,32.5981,9.4877,8.5581,176.4581,
