代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
688226.SH,威腾电气,20210707,,17,22.09,16.88,19.05,26301308,513388666,12.63,196.729,19.5195,82.8256,604933283.4,,2971800000,31755028,0,156000000,44.371,4.7595,3.1347,-117.6399,
688226.SH,威腾电气,20210708,19.05,18.5,20.47,17.25,19.2,19584015,370452730,0.15,0.7874,18.9161,61.6722,609696537.6,,2995200000,31755028,0,156000000,44.7204,4.797,3.1594,-118.5662,
688226.SH,威腾电气,20210709,19.2,18.36,20.25,17.68,17.95,14830535,278769487,-1.25,-6.5104,18.797,46.703,570002752.6,,2800200000,31755028,0,156000000,41.8089,4.4847,2.9537,-110.8471,
688226.SH,威腾电气,20210712,17.95,17.72,18.5,16.98,18.48,10516517,187307630,0.53,2.9526,17.8108,33.1176,586832917.44,,2882880000,31755028,0,156000000,43.0433,4.6171,3.0409,-114.12,
688226.SH,威腾电气,20210713,18.48,18.46,18.98,17.6,17.71,7799132,141376289,-0.77,-4.1667,18.1272,24.5603,562381545.88,,2762760000,31755028,0,156000000,41.2499,4.4248,2.9142,-109.365,
688226.SH,威腾电气,20210714,17.71,17.35,18.25,17.26,17.4,7938963,140802267,-0.31,-1.7504,17.7356,25.0006,552537487.2,,2714400000,31755028,0,156000000,40.5278,4.3473,2.8632,-107.4507,
688226.SH,威腾电气,20210715,17.4,17.49,17.68,16.35,16.41,7091792,118650067,-0.99,-5.6897,16.7306,22.3328,521100009.48,,2559960000,31755028,0,156000000,38.2219,4.1,2.7003,-101.3371,
688226.SH,威腾电气,20210716,16.41,16.1,16.41,15.6,15.67,4846783,77352949,-0.74,-4.5094,15.9596,15.263,497601288.76,,2444520000,31755028,0,156000000,36.4983,3.9151,2.5785,-96.7673,
688226.SH,威腾电气,20210719,15.67,15.7,16.03,15.3,15.58,2757092,43240286,-0.09,-0.5743,15.6833,8.6824,494743336.24,,2430480000,31755028,0,156000000,36.2887,3.8926,2.5637,-96.2116,
688226.SH,威腾电气,20210720,15.58,15.48,15.62,14.97,15.2,3706637,56301521,-0.38,-2.439,15.1894,11.6726,482676425.6,,2371200000,31755028,0,156000000,35.4036,3.7976,2.5012,-93.8649,
688226.SH,威腾电气,20210721,15.2,15.26,15.67,15.2,15.23,3399645,52363725,0.03,0.1974,15.4027,10.7058,483629076.44,,2375880000,31755028,0,156000000,35.4735,3.8051,2.5061,-94.0502,
688226.SH,威腾电气,20210722,15.23,15.46,15.74,15.3,15.74,3820932,59415065,0.51,3.3487,15.5499,12.0325,499824140.72,,2455440000,31755028,0,156000000,36.6614,3.9326,2.59,-97.1996,
688226.SH,威腾电气,20210723,15.74,15.7,15.88,15.11,15.11,3443962,52785316,-0.63,-4.0025,15.3269,10.8454,479818473.08,,2357160000,31755028,0,156000000,35.194,3.7752,2.4864,-93.3092,
688226.SH,威腾电气,20210726,15.11,15,15,14.31,14.62,3126696,45566035,-0.49,-3.2429,14.5732,9.8463,464258509.36,,2280720000,31755028,0,156000000,34.0527,3.6527,2.4057,-90.2833,
688226.SH,威腾电气,20210727,14.62,14.54,15.5,14.23,15,4344225,64897186,0.38,2.5992,14.9387,13.6804,476325420,,2340000000,31755028,0,156000000,34.9378,3.7477,2.4683,-92.6299,
688226.SH,威腾电气,20210728,15,14.99,15.2,14.5,14.65,2378418,35051013,-0.35,-2.3333,14.7371,7.4899,465211160.2,,2285400000,31755028,0,156000000,34.1226,3.6602,2.4107,-90.4685,
688226.SH,威腾电气,20210729,14.65,14.75,15.7,14.75,15.25,4147510,63409300,0.6,4.0956,15.2885,13.061,484264177,,2379000000,31755028,0,156000000,35.5201,3.8101,2.5094,-94.1737,
688226.SH,威腾电气,20210730,15.25,15.29,16.45,15.18,16.12,7063570,111785984,0.87,5.7049,15.8257,22.2439,511891051.36,,2514720000,31755028,0,156000000,37.5465,4.0275,2.6526,-99.5462,
688226.SH,威腾电气,20210802,16.12,16,16.24,15.74,15.94,4325879,69066581,-0.18,-1.1166,15.9659,13.6227,506175146.32,,2486640000,31755028,0,156000000,37.1272,3.9825,2.6229,-98.4347,
688226.SH,威腾电气,20210803,15.94,16,16.34,15.82,16.05,3616811,57868150,0.11,0.6901,15.9998,11.3897,509668199.4,,2503800000,31755028,0,156000000,37.3834,4.01,2.641,-99.114,
688226.SH,威腾电气,20210804,16.05,16,16.06,15.61,15.75,3085671,48703948,-0.3,-1.8692,15.7839,9.7171,500141691,,2457000000,31755028,0,156000000,36.6847,3.9351,2.5917,-97.2614,
688226.SH,威腾电气,20210805,15.75,15.82,16.56,15.57,16.5,4189824,66943996,0.75,4.7619,15.9778,13.1942,523957962,,2574000000,31755028,0,156000000,38.4316,4.1224,2.7151,-101.8929,
688226.SH,威腾电气,20210806,16.5,16.57,16.63,15.67,15.78,4290585,69058834,-0.72,-4.3636,16.0954,13.5115,501094341.84,,2461680000,31755028,0,156000000,36.7545,3.9426,2.5966,-97.4466,
688226.SH,威腾电气,20210809,15.78,15.52,16.22,15.25,15.95,3272921,51756001,0.17,1.0773,15.8134,10.3068,506492696.6,,2488200000,31755028,0,156000000,37.1505,3.985,2.6246,-98.4964,
688226.SH,威腾电气,20210810,15.95,15.86,16.86,15.86,16.7,5329979,87717641,0.75,4.7022,16.4574,16.7847,530308967.6,,2605200000,31755028,0,156000000,38.8974,4.1724,2.748,-103.1279,
688226.SH,威腾电气,20210811,16.7,16.58,17.66,16.43,17.29,6769240,116414524,0.59,3.5329,17.1976,21.3171,549044434.12,,2697240000,31755028,0,156000000,40.2716,4.3198,2.8451,-106.7714,
688226.SH,威腾电气,20210812,17.29,17.01,17.27,16.5,16.88,4116999,69532583,-0.41,-2.3713,16.8891,12.9649,536024872.64,,2633280000,31755028,0,156000000,39.3166,4.2174,2.7776,-104.2395,
688226.SH,威腾电气,20210813,16.88,16.65,17.14,16.43,16.47,3249408,54205691,-0.41,-2.4289,16.6817,10.2327,523005311.16,,2569320000,31755028,0,156000000,38.3617,4.1149,2.7102,-101.7076,
688226.SH,威腾电气,20210816,16.47,16.66,17.27,16.66,17.09,3923466,66961286,0.62,3.7644,17.0669,12.3554,542693428.52,,2666040000,31755028,0,156000000,39.8058,4.2699,2.8122,-105.5363,
688226.SH,威腾电气,20210817,17.09,16.9,17.08,16,16.07,3573096,58733313,-1.02,-5.9684,16.4377,11.2521,510303299.96,,2506920000,31755028,0,156000000,37.43,4.015,2.6443,-99.2375,
688226.SH,威腾电气,20210818,16.07,16.06,16.37,16,16.37,2433881,39408359,0.3,1.8668,16.1916,7.6646,519829808.36,,2553720000,31755028,0,156000000,38.1288,4.09,2.6937,-101.0901,
688226.SH,威腾电气,20210819,16.37,16.14,16.36,15.75,15.97,1870883,29927046,-0.4,-2.4435,15.9962,5.8916,507127797.16,,2491320000,31755028,0,156000000,37.1971,3.99,2.6279,-98.6199,
688226.SH,威腾电气,20210820,15.97,15.85,15.96,15.51,15.7,1694486,26552608,-0.27,-1.6907,15.67,5.3361,498553939.6,,2449200000,31755028,0,156000000,36.5682,3.9226,2.5835,-96.9526,
688226.SH,威腾电气,20210823,15.7,15.82,16.32,15.6,16.23,1955028,31404351,0.53,3.3758,16.0634,6.1566,515384104.44,,2531880000,31755028,0,156000000,37.8027,4.055,2.6707,-100.2255,
688226.SH,威腾电气,20210824,16.23,16.16,16.62,16.08,16.5,2480774,40535815,0.27,1.6636,16.34,7.8122,523957962,,2574000000,31755028,0,156000000,38.4316,4.1224,2.7151,-101.8929,
688226.SH,威腾电气,20210825,16.5,16.53,17.06,16.18,16.97,3351796,55863474,0.47,2.8485,16.6667,10.5552,538882825.16,,2647320000,31755028,0,156000000,39.5263,4.2399,2.7924,-104.7953,
688226.SH,威腾电气,20210826,16.97,17.2,17.38,16.35,16.43,2618328,43670432,-0.54,-3.1821,16.6787,8.2454,521735110.04,,2563080000,31755028,0,156000000,37.5906,3.0758,2.7036,-101.4606,
688226.SH,威腾电气,20210827,16.43,16.4,16.42,15.6,15.76,2941809,46739255,-0.67,-4.0779,15.8879,9.2641,500459241.28,,2458560000,31755028,0,156000000,36.0577,2.9504,2.5933,-97.3231,
688226.SH,威腾电气,20210830,15.76,15.97,15.99,15.6,15.67,1454778,22961732,-0.09,-0.5711,15.7837,4.5813,497601288.76,,2444520000,31755028,0,156000000,35.8518,2.9335,2.5785,-96.7673,
688226.SH,威腾电气,20210831,15.67,15.68,15.79,15.31,15.56,1617626,25059375,-0.11,-0.702,15.4915,5.0941,494108235.68,,2427360000,31755028,0,156000000,35.6001,2.9129,2.5604,-96.0881,
688226.SH,威腾电气,20210901,15.56,15.55,15.64,15,15.31,1851923,28343935,-0.25,-1.6067,15.3051,5.8319,486169478.68,,2388360000,31755028,0,156000000,35.0281,2.8661,2.5193,-94.5442,
688226.SH,威腾电气,20210902,15.31,15.28,16.48,15.2,16.36,3721168,59605928,1.05,6.8583,16.0181,11.7184,519512258.08,,2552160000,31755028,0,156000000,37.4305,3.0627,2.6921,-101.0283,
688226.SH,威腾电气,20210903,16.36,16.22,16.93,16.04,16.39,3371446,55734781,0.03,0.1834,16.5314,10.617,520464908.92,,2556840000,31755028,0,156000000,37.4991,3.0683,2.697,-101.2136,
688226.SH,威腾电气,20210906,16.39,16.32,16.8,16.32,16.67,2446525,40575247,0.28,1.7084,16.5848,7.7044,529356316.76,,2600520000,31755028,0,156000000,38.1397,3.1207,2.7431,-102.9427,
688226.SH,威腾电气,20210907,16.67,16.65,16.77,16.34,16.46,1865926,30844389,-0.21,-1.2597,16.5303,5.876,522687760.88,,2567760000,31755028,0,156000000,37.6592,3.0814,2.7085,-101.6459,
688226.SH,威腾电气,20210908,16.46,16.46,16.6,16.25,16.47,1652499,27100128,0.01,0.0608,16.3995,5.2039,523005311.16,,2569320000,31755028,0,156000000,37.6821,3.0833,2.7102,-101.7076,
