測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600660.SH,腦珓產薛,20070118,345.1368,343.0851,367.0213,341.9453,354.7113,6579577,101842617,9.5745,2.7741,15.4786,1.5509,6601369226.76,,15583233662.96,424252521,0,1001493166,29.6998,5.8418,3.9605,-7207.8062,
600660.SH,腦珓產薛,20070119,354.7113,355.1672,367.9331,354.7113,363.6018,4128175,65298767,8.8906,2.5064,15.8178,0.973,6766827709.95,,15973815997.7,424252521,0,1001493166,30.4442,5.9882,4.0598,-7388.4644,
600660.SH,腦珓產薛,20070122,363.6018,364.7416,393.2371,364.7416,390.9575,6066232,101416320,27.3556,7.5235,16.7182,1.4299,7275930735.15,,17175607796.9,424252521,0,1001493166,32.7347,6.4387,4.3653,-7944.3364,
600660.SH,腦珓產薛,20070123,390.9575,390.9575,394.1489,364.7416,380.4711,4368628,71851638,-10.4863,-2.6822,16.4472,1.0297,7080774575.49,,16714920940.54,424252521,0,1001493166,31.8566,6.266,4.2482,-7731.2524,
600660.SH,腦珓產薛,20070124,380.4711,379.7872,380.0152,364.0578,369.3009,6660466,107820031,-11.1702,-2.9359,16.1881,1.5699,6872890840.2,,16224189289.2,424252521,0,1001493166,30.9214,6.082,4.1234,-7504.271,
600660.SH,腦珓產薛,20070125,369.3009,365.4255,366.3374,353.3435,354.4833,5184861,81744218,-14.8176,-4.0123,15.7659,1.2221,6597126701.55,,15573218731.3,424252521,0,1001493166,29.6807,5.838,3.958,-7203.1738,
600660.SH,腦珓產薛,20070126,354.4833,348.7842,385.0304,343.769,383.8906,10248893,163386578,29.4073,8.2958,15.9419,2.4158,7144412453.64,,16865144915.44,424252521,0,1001493166,32.143,6.3223,4.2864,-7800.7363,
600660.SH,腦珓產薛,20070129,383.8906,384.8024,394.1489,381.6109,390.0456,9644208,164561817,6.155,1.6033,17.0633,2.2732,7258960634.31,,17135548070.26,424252521,0,1001493166,32.6583,6.4237,4.3551,-7925.8076,
600660.SH,腦珓產薛,20070130,390.0456,391.8693,405.7751,387.538,394.3769,7252041,126155846,4.3313,1.1105,17.3959,1.7094,7339568613.3,,17325831771.8,424252521,0,1001493166,33.021,6.495,4.4034,-8013.8203,
600660.SH,腦珓產薛,20070131,394.3769,389.5897,396.4286,365.4255,367.7052,3919083,65272550,-26.6717,-6.763,16.6551,0.9238,6843193163.73,,16154084767.58,424252521,0,1001493166,30.7878,6.0558,4.1056,-7471.8452,
