代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
688156.SH,路德环境,20200922,,30.1,31.82,28.88,29.3,15487412,462590956,13.39,84.1609,29.8688,74.1493,611983474.4,,2690912000,20886808,0,91840000,166.7353,7.9396,8.8607,-125.8902,
688156.SH,路德环境,20200923,29.3,28.8,29.65,27.3,27.45,9712526,271360001,-1.85,-6.314,27.9392,46.5008,573342879.6,,2521008000,20886808,0,91840000,156.2077,7.4383,8.3012,-117.9415,
688156.SH,路德环境,20200924,27.45,27.6,27.92,26.77,26.83,4750848,129110355,-0.62,-2.2587,27.1763,22.7457,560393058.64,,2464067200,20886808,0,91840000,152.6795,7.2703,8.1137,-115.2776,
688156.SH,路德环境,20200925,26.83,26.96,27.04,25.85,25.85,4326715,113942591,-0.98,-3.6526,26.3347,20.7151,539923986.8,,2374064000,20886808,0,91840000,147.1027,7.0048,7.8173,-111.0669,
688156.SH,路德环境,20200928,25.85,25.86,26.37,25.02,25.03,2748185,70021574,-0.82,-3.1721,25.4792,13.1575,522796804.24,,2298755200,20886808,0,91840000,142.4364,6.7826,7.5694,-107.5437,
688156.SH,路德环境,20200929,25.03,25.16,26.11,24.81,25.01,2179808,55267193,-0.02,-0.0799,25.3542,10.4363,522379068.08,,2296918400,20886808,0,91840000,142.3226,6.7771,7.5633,-107.4578,
688156.SH,路德环境,20200930,25.01,25.03,25.24,24.56,24.56,1975522,49026173,-0.45,-1.7993,24.8168,9.4582,512980004.48,,2255590400,20886808,0,91840000,139.7618,6.6552,7.4272,-105.5243,
688156.SH,路德环境,20201009,24.56,25.1,25.39,24.8,25.18,1849863,46476669,0.62,2.5244,25.1244,8.8566,525929825.44,,2312531200,20886808,0,91840000,143.29,6.8232,7.6147,-108.1882,
688156.SH,路德环境,20201012,25.18,25.27,25.63,25.27,25.59,2029513,51725217,0.41,1.6283,25.4865,9.7167,534493416.72,,2350185600,20886808,0,91840000,145.6231,6.9343,7.7387,-109.9498,
688156.SH,路德环境,20201013,25.59,25.66,25.66,25.17,25.4,2025303,51329991,-0.19,-0.7425,25.3444,9.6966,530524923.2,,2332736000,20886808,0,91840000,144.5419,6.8828,7.6813,-109.1335,
