╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
002141.SZ,ом╥А©ь╧и,20070720,,26,26.8,24.2,25.35,10142873,254351755.3,16.84,197.8848,25.0769,62.4561,411684000,,2058420000,16240000,0,81200000,81.4211,16.2403,3.7124,63.6159,
002141.SZ,ом╥А©ь╧и,20070723,25.35,25.12,27.7,25.12,26.96,6675735,175872971.4,1.61,6.3511,26.3451,41.1067,437830400,,2189152000,16240000,0,81200000,86.5922,17.2717,3.9481,67.6562,
002141.SZ,ом╥А©ь╧и,20070724,26.96,26.21,26.83,25.5,26.18,3964327,103707870.2,-0.78,-2.8932,26.1603,24.4109,425163200,,2125816000,16240000,0,81200000,84.087,16.772,3.8339,65.6988,
002141.SZ,ом╥А©ь╧и,20070725,26.18,26.09,28.6,25.58,28.24,4872289,133267029.1,2.06,7.8686,27.352,30.0018,458617600,,2293088000,16240000,0,81200000,90.7035,18.0917,4.1356,70.8684,
002141.SZ,ом╥А©ь╧и,20070726,28.24,27.8,28.4,27.2,27.61,3102756,86080893.4,-0.63,-2.2309,27.7434,19.1056,448386400,,2241932000,16240000,0,81200000,88.68,17.6881,4.0433,69.2874,
002141.SZ,ом╥А©ь╧и,20070727,27.61,27.45,29.2,27.01,28.2,2743410,77294348.1,0.59,2.1369,28.1746,16.8929,457968000,,2289840000,16240000,0,81200000,90.575,18.0661,4.1297,70.768,
002141.SZ,ом╥А©ь╧и,20070730,28.2,27.75,28.49,27.7,27.86,2120443,59197853,-0.34,-1.2057,27.9177,13.0569,452446400,,2262232000,16240000,0,81200000,89.4829,17.8483,4.0799,69.9148,
002141.SZ,ом╥А©ь╧и,20070731,27.86,27.95,28.29,26.87,27.25,2080504,56766004.2,-0.61,-2.1895,27.2847,12.811,442540000,,2212700000,16240000,0,81200000,87.5237,17.4575,3.9906,68.384,
002141.SZ,ом╥А©ь╧и,20070801,27.25,27.41,27.77,25.8,25.89,2150579,57495715,-1.36,-4.9908,26.735,13.2425,420453600,,2102268000,16240000,0,81200000,83.1555,16.5862,3.7914,64.971,
002141.SZ,ом╥А©ь╧и,20070802,25.89,25.95,28,25.92,27.68,2367133,63820724.9,1.79,6.9139,26.9612,14.5759,449523200,,2247616000,16240000,0,81200000,88.9048,17.733,4.0536,69.4631,
002141.SZ,ом╥А©ь╧и,20070803,27.68,27.68,27.86,27,27.2,1871321,51255033.5,-0.48,-1.7341,27.3898,11.5229,441728000,,2208640000,16240000,0,81200000,87.3631,17.4255,3.9833,68.2585,
002141.SZ,ом╥А©ь╧и,20070806,27.2,27.19,27.68,26.56,26.9,1416105,38029227.9,-0.3,-1.1029,26.8548,8.7199,436856000,,2184280000,16240000,0,81200000,86.3995,17.2333,3.9393,67.5056,
002141.SZ,ом╥А©ь╧и,20070807,26.9,26.9,27.8,26.1,26.99,1842450,49868146.6,0.09,0.3346,27.0662,11.3451,438317600,,2191588000,16240000,0,81200000,86.6886,17.2909,3.9525,67.7315,
