����,���,����,ǰ���̼�(Ԫ),���̼�(Ԫ),��߼�(Ԫ),��ͼ�(Ԫ),���̼�(Ԫ),�ɽ���(��),�ɽ����(Ԫ),�ǵ�(Ԫ),�ǵ���(%),����(Ԫ),������(%),A����ͨ��ֵ(Ԫ),B����ͨ��ֵ(Ԫ),����ֵ(Ԫ),A����ͨ�ɱ�(��),B����ͨ�ɱ�(��),�ܹɱ�(��),��ӯ��,�о���,������,������,
300555.SZ,ST·ͨ,20161018,,18.48,22.18,18.48,22.18,8500,187975,6.78,44.026,22.1147,0.0425,443600000,,1774400000,20000000,0,80000000,29.8212,6.1194,5.5168,-3445.3276,
300555.SZ,ST·ͨ,20161019,22.18,24.4,24.4,24.4,24.4,1250,30500,2.22,10.009,24.4,0.0063,488000000,,1952000000,20000000,0,80000000,32.806,6.7319,6.069,-3790.1711,
300555.SZ,ST·ͨ,20161020,24.4,26.84,26.84,26.84,26.84,1300,34892,2.44,10,26.84,0.0065,536800000,,2147200000,20000000,0,80000000,36.0866,7.405,6.6759,-4169.1885,
300555.SZ,ST·ͨ,20161021,26.84,29.52,29.52,29.52,29.52,3700,109224,2.68,9.9851,29.52,0.0185,590400000,,2361600000,20000000,0,80000000,39.6899,8.1444,7.3425,-4585.4858,
300555.SZ,ST·ͨ,20161024,29.52,32.47,32.47,32.47,32.47,2600,84422,2.95,9.9932,32.47,0.013,649400000,,2597600000,20000000,0,80000000,43.6562,8.9583,8.0762,-5043.7236,
300555.SZ,ST·ͨ,20161025,32.47,35.72,35.72,35.72,35.72,4100,146452,3.25,10.0092,35.72,0.0205,714400000,,2857600000,20000000,0,80000000,48.0258,9.855,8.8846,-5548.562,
300555.SZ,ST·ͨ,20161026,35.72,39.29,39.29,39.29,39.29,1900,74651,3.57,9.9944,39.29,0.0095,785800000,,3143200000,20000000,0,80000000,52.8257,10.8399,9.7726,-6103.1074,
300555.SZ,ST·ͨ,20161027,39.29,43.22,43.22,43.22,43.22,4000,172880,3.93,10.0025,43.22,0.02,864400000,,3457600000,20000000,0,80000000,58.1096,11.9242,10.7501,-6713.5737,
300555.SZ,ST·ͨ,20161028,43.22,47.54,47.54,47.54,47.54,15000,713100,4.32,9.9954,47.54,0.075,950800000,,3803200000,20000000,0,80000000,63.9179,13.1161,11.8246,-7384.6201,
300555.SZ,ST·ͨ,20161031,47.54,52.29,52.29,52.29,52.29,16700,873243,4.75,9.9916,52.29,0.0835,1045800000,,4183200000,20000000,0,80000000,68.4613,13.7176,13.0061,-8122.4609,
300555.SZ,ST·ͨ,20161101,52.29,57.52,57.52,57.52,57.52,9900,569448,5.23,10.0019,57.52,0.0495,1150400000,,4601600000,20000000,0,80000000,75.3088,15.0897,14.3069,-8934.8623,
300555.SZ,ST·ͨ,20161102,57.52,63.27,63.27,63.27,63.27,33000,2087910,5.75,9.9965,63.27,0.165,1265400000,,5061600000,20000000,0,80000000,82.837,16.5981,15.7371,-9828.0381,
300555.SZ,ST·ͨ,20161103,63.27,69.6,69.6,69.6,69.6,57700,4015920,6.33,10.0047,69.6,0.2885,1392000000,,5568000000,20000000,0,80000000,91.1247,18.2587,17.3116,-10811.3076,
300555.SZ,ST·ͨ,20161104,69.6,76.56,76.56,76.56,76.56,80600,6170736,6.96,10,76.56,0.403,1531200000,,6124800000,20000000,0,80000000,100.2371,20.0846,19.0427,-11892.4385,
300555.SZ,ST·ͨ,20161107,76.56,84.22,84.22,80.35,84.22,8039787,672828304,7.66,10.0052,83.6873,40.1989,1684400000,,6737600000,20000000,0,80000000,110.2661,22.0941,20.948,-13082.3037,
300555.SZ,ST·ͨ,20161108,84.22,86.9,92,84.91,87.99,11081936,976531037,3.77,4.4764,88.1192,55.4097,1759800000,,7039200000,20000000,0,80000000,115.202,23.0831,21.8857,-13667.916,
300555.SZ,ST·ͨ,20161109,87.99,86,88.87,84.56,87.3,6641863,576418765,-0.69,-0.7842,86.7857,33.2093,1746000000,,6984000000,20000000,0,80000000,114.2986,22.9021,21.7141,-13560.7354,
300555.SZ,ST·ͨ,20161110,87.3,87.49,93.75,86.02,90.71,8611106,773633958,3.41,3.9061,89.8414,43.0555,1814200000,,7256800000,20000000,0,80000000,118.7632,23.7967,22.5623,-14090.4277,
300555.SZ,ST·ͨ,20161111,90.71,90.38,96,89.02,94.08,8368132,773822385,3.37,3.7151,92.4725,41.8407,1881600000,,7526400000,20000000,0,80000000,123.1754,24.6807,23.4005,-14613.9063,
300555.SZ,ST·ͨ,20161114,94.08,92,93,88.5,88.5,5828751,527115693,-5.58,-5.9311,90.4337,29.1438,1770000000,,7080000000,20000000,0,80000000,115.8697,23.2169,22.0126,-13747.1367,
300555.SZ,ST·ͨ,20161115,88.5,88.41,88.71,84.8,87.2,4055910,351603489,-1.3,-1.4689,86.6892,20.2796,1744000000,,6976000000,20000000,0,80000000,114.1677,22.8759,21.6892,-13545.2021,
300555.SZ,ST·ͨ,20161116,87.2,86.74,87.59,84.57,84.58,3119571,267154087,-2.62,-3.0046,85.6381,15.5979,1691600000,,6766400000,20000000,0,80000000,110.7374,22.1885,21.0375,-13138.2246,
300555.SZ,ST·ͨ,20161117,84.58,84.05,86.49,83.5,84.9,2519113,215022696,0.32,0.3783,85.3565,12.5956,1698000000,,6792000000,20000000,0,80000000,111.1564,22.2725,21.1171,-13187.9316,
300555.SZ,ST·ͨ,20161118,84.9,84.9,86.5,84.4,84.98,2136317,182764844,0.08,0.0942,85.5514,10.6816,1699600000,,6798400000,20000000,0,80000000,111.2611,22.2935,21.137,-13200.3584,
300555.SZ,ST·ͨ,20161121,84.98,85,85.5,83.59,84.95,1828987,154408522,-0.03,-0.0353,84.423,9.1449,1699000000,,6796000000,20000000,0,80000000,111.2218,22.2856,21.1296,-13195.6982,
300555.SZ,ST·ͨ,20161122,84.95,85.45,91.75,85.28,89.2,5142442,455769619,4.25,5.0029,88.629,25.7122,1784000000,,7136000000,20000000,0,80000000,116.7862,23.4005,22.1867,-13855.8721,
300555.SZ,ST·ͨ,20161123,89.2,88.1,88.28,85.82,86.12,2922533,254336215,-3.08,-3.4529,87.026,14.6127,1722400000,,6889600000,20000000,0,80000000,112.7537,22.5925,21.4206,-13377.4404,
300555.SZ,ST·ͨ,20161124,86.12,84.9,86.65,84,84.4,1882870,160061091,-1.72,-1.9972,85.0091,9.4144,1688000000,,6752000000,20000000,0,80000000,110.5018,22.1413,20.9928,-13110.2637,
300555.SZ,ST·ͨ,20161125,84.4,84.15,85.66,81,85.58,2077755,173903368,1.18,1.3981,83.6977,10.3888,1711600000,,6846400000,20000000,0,80000000,112.0467,22.4509,21.2863,-13293.5596,
300555.SZ,ST·ͨ,20161128,85.58,85.5,85.99,82.01,82.18,2020926,168842126,-3.4,-3.9729,83.5469,10.1046,1643600000,,6574400000,20000000,0,80000000,107.5952,21.5589,20.4406,-12765.4209,
300555.SZ,ST·ͨ,20161129,82.18,82.19,82.89,79.5,79.5,1843715,149482799,-2.68,-3.2611,81.077,9.2186,1590000000,,6360000000,20000000,0,80000000,104.0864,20.8559,19.774,-12349.123,
300555.SZ,ST·ͨ,20161130,79.5,79.49,80.99,79.15,80,1189887,95290758,0.5,0.6289,80.0839,5.9494,1600000000,,6400000000,20000000,0,80000000,104.741,20.987,19.8984,-12426.791,
300555.SZ,ST·ͨ,20161201,80,80.23,80.87,79.51,80.5,1038361,83214151,0.5,0.625,80.1399,5.1918,1610000000,,6440000000,20000000,0,80000000,105.3956,21.1182,20.0227,-12504.458,
300555.SZ,ST·ͨ,20161202,80.5,80.02,80.99,76.01,76.18,1828619,142544683,-4.32,-5.3665,77.9521,9.1431,1523600000,,6094400000,20000000,0,80000000,99.7396,19.9849,18.9482,-11833.4111,
300555.SZ,ST·ͨ,20161205,76.18,75.1,77.1,74.5,76.89,1015270,77554017,0.71,0.932,76.3876,5.0764,1537800000,,6151200000,20000000,0,80000000,100.6692,20.1712,19.1248,-11943.6992,
300555.SZ,ST·ͨ,20161206,76.89,76.58,79.88,76.58,78.53,1537185,120803279,1.64,2.1329,78.5873,7.6859,1570600000,,6282400000,20000000,0,80000000,102.8164,20.6014,19.5327,-12198.4482,
300555.SZ,ST·ͨ,20161207,78.53,79,79,76.11,78.21,1016295,78753636,-0.32,-0.4075,77.4909,5.0815,1564200000,,6256800000,20000000,0,80000000,102.3974,20.5174,19.4531,-12148.7412,
300555.SZ,ST·ͨ,20161208,78.21,78.28,79.67,76.82,76.93,1167800,91660767,-1.28,-1.6366,78.4901,5.839,1538600000,,6154400000,20000000,0,80000000,100.7216,20.1817,19.1348,-11949.9121,
300555.SZ,ST·ͨ,20161209,76.93,76.5,76.5,74.48,74.65,1397731,105382431,-2.28,-2.9637,75.3954,6.9887,1493000000,,5972000000,20000000,0,80000000,97.7364,19.5835,18.5677,-11595.749,
300555.SZ,ST·ͨ,20161212,74.65,74.13,74.65,67.19,67.19,2025341,141666231,-7.46,-9.9933,69.9469,10.1267,1343800000,,5375200000,20000000,0,80000000,87.9693,17.6265,16.7121,-10436.9512,
300555.SZ,ST·ͨ,20161213,67.19,65.5,67.66,65.5,66.9,1039500,69224624,-0.29,-0.4316,66.5942,5.1975,1338000000,,5352000000,20000000,0,80000000,87.5897,17.5504,16.64,-10391.9033,
300555.SZ,ST·ͨ,20161214,66.9,66.7,67.1,64.6,64.97,959848,63202073,-1.93,-2.8849,65.8459,4.7992,1299400000,,5197600000,20000000,0,80000000,85.0628,17.0441,16.16,-10092.1074,
300555.SZ,ST·ͨ,20161215,64.97,64.44,68.95,64.32,66.96,1732615,116480329,1.99,3.063,67.2281,8.6631,1339200000,,5356800000,20000000,0,80000000,87.6682,17.5661,16.6549,-10401.2236,
300555.SZ,ST·ͨ,20161216,66.96,66.95,67.94,66.68,67.49,846892,56981979,0.53,0.7915,67.2836,4.2345,1349800000,,5399200000,20000000,0,80000000,88.3621,17.7052,16.7868,-10483.5518,
300555.SZ,ST·ͨ,20161219,67.49,67.49,68.5,65.87,66.37,767774,51052764,-1.12,-1.6595,66.4945,3.8389,1327400000,,5309600000,20000000,0,80000000,86.8958,17.4114,16.5082,-10309.5762,
300555.SZ,ST·ͨ,20161220,66.37,66.77,67.36,66.09,66.57,612989,40843970,0.2,0.3013,66.6308,3.0649,1331400000,,5325600000,20000000,0,80000000,87.1576,17.4638,16.5579,-10340.6436,
300555.SZ,ST·ͨ,20161221,66.57,66.6,67.66,65.86,67.39,995969,66622243,0.82,1.2318,66.8919,4.9798,1347800000,,5391200000,20000000,0,80000000,88.2312,17.679,16.7619,-10468.0176,
300555.SZ,ST·ͨ,20161222,67.39,66.85,67.5,66.4,67.16,732858,49114801,-0.23,-0.3413,67.0182,3.6643,1343200000,,5372800000,20000000,0,80000000,87.9301,17.6186,16.7047,-10432.291,
300555.SZ,ST·ͨ,20161223,67.16,66.67,67.32,63.52,63.88,1057605,68819011,-3.28,-4.8839,65.0706,5.288,1277600000,,5110400000,20000000,0,80000000,83.6357,16.7581,15.8888,-9922.792,
300555.SZ,ST·ͨ,20161226,63.88,63.16,64.86,62.06,64.41,710214,45045740,0.53,0.8297,63.4256,3.5511,1288200000,,5152800000,20000000,0,80000000,84.3296,16.8972,16.0207,-10005.1201,
300555.SZ,ST·ͨ,20161227,64.41,64.46,64.7,63.7,64,459913,29496494,-0.41,-0.6365,64.1349,2.2996,1280000000,,5120000000,20000000,0,80000000,83.7928,16.7896,15.9187,-9941.4326,
300555.SZ,ST·ͨ,20161228,64,63.96,64.74,63.81,64.25,587160,37785037,0.25,0.3906,64.3522,2.9358,1285000000,,5140000000,20000000,0,80000000,84.1201,16.8552,15.9809,-9980.2666,
300555.SZ,ST·ͨ,20161229,64.25,64.25,64.66,63.5,63.5,440313,28235882,-0.75,-1.1673,64.1268,2.2016,1270000000,,5080000000,20000000,0,80000000,83.1382,16.6585,15.7943,-9863.7646,
300555.SZ,ST·ͨ,20161230,63.5,63.21,64.2,61.61,62.46,769082,48245219,-1.04,-1.6378,62.7309,3.8454,1249200000,,4996800000,20000000,0,80000000,81.7765,16.3856,15.5356,-9702.2168,
300555.SZ,ST·ͨ,20170103,62.46,62.89,63.87,62.2,63.55,945296,59576238,1.09,1.7451,63.0239,4.7265,1271000000,,5084000000,20000000,0,80000000,83.2036,16.6716,12.9045,120.7587,
300555.SZ,ST·ͨ,20170104,63.55,63.11,64.1,63.02,64.1,728703,46435501,0.55,0.8655,63.7235,3.6435,1282000000,,5128000000,20000000,0,80000000,83.9237,16.8159,13.0162,121.8038,
300555.SZ,ST·ͨ,20170105,64.1,64.45,64.84,63.36,63.46,688746,44172300,-0.64,-0.9984,64.1344,3.4437,1269200000,,5076800000,20000000,0,80000000,83.0858,16.648,12.8863,120.5877,
300555.SZ,ST·ͨ,20170106,63.46,63.36,63.36,59.33,59.41,1538247,93919154,-4.05,-6.382,61.056,7.6912,1188200000,,4752800000,20000000,0,80000000,77.7833,15.5855,12.0639,112.8918,
300555.SZ,ST·ͨ,20170109,59.41,59,59.79,57.38,58.94,839747,49084866,-0.47,-0.7911,58.452,4.1987,1178800000,,4715200000,20000000,0,80000000,77.1679,15.4622,11.9684,111.9987,
300555.SZ,ST·ͨ,20170110,58.94,58.78,59.6,58.2,58.42,567852,33520965,-0.52,-0.8823,59.0312,2.8393,1168400000,,4673600000,20000000,0,80000000,76.4871,15.3258,11.8628,111.0106,
300555.SZ,ST·ͨ,20170111,58.42,58.2,58.36,56.31,56.31,816084,46720141,-2.11,-3.6118,57.2492,4.0804,1126200000,,4504800000,20000000,0,80000000,73.7246,14.7722,11.4344,107.0012,
300555.SZ,ST·ͨ,20170112,56.31,56.59,57.3,55.66,56,607488,34401761,-0.31,-0.5505,56.6295,3.0374,1120000000,,4480000000,20000000,0,80000000,73.3187,14.6909,11.3714,106.4121,
300555.SZ,ST·ͨ,20170113,56,56.02,56.48,52.82,52.9,1008516,54737064,-3.1,-5.5357,54.2749,5.0426,1058000000,,4232000000,20000000,0,80000000,69.26,13.8777,10.7419,100.5214,
300555.SZ,ST·ͨ,20170116,52.9,52.69,52.7,47.61,48.53,1555360,77615877,-4.37,-8.2609,49.9022,7.7768,970600000,,3882400000,20000000,0,80000000,63.5385,12.7313,9.8546,92.2175,
300555.SZ,ST·ͨ,20170117,48.53,48.85,52.22,46.58,51.3,1611199,79791814,2.77,5.7078,49.5233,8.056,1026000000,,4104000000,20000000,0,80000000,67.1652,13.4579,10.417,97.4811,
300555.SZ,ST·ͨ,20170118,51.3,50.5,51.72,49.68,50.67,1070615,54308520,-0.63,-1.2281,50.7265,5.3531,1013400000,,4053600000,20000000,0,80000000,66.3403,13.2927,10.2891,96.2839,
300555.SZ,ST·ͨ,20170119,50.67,49.4,51.87,47.75,49.92,1513184,75315124,-0.75,-1.4802,49.7726,7.5659,998400000,,3993600000,20000000,0,80000000,65.3584,13.0959,10.1368,94.8588,
300555.SZ,ST·ͨ,20170120,49.92,49.75,52.16,49.3,51.26,1328601,68016986,1.34,2.6843,51.1944,6.643,1025200000,,4100800000,20000000,0,80000000,67.1128,13.4474,10.4089,97.4051,
300555.SZ,ST·ͨ,20170123,51.26,51.5,52.4,51.14,51.76,887346,45953577,0.5,0.9754,51.7877,4.4367,1035200000,,4140800000,20000000,0,80000000,67.7674,13.5786,10.5105,98.3552,
300555.SZ,ST·ͨ,20170124,51.76,51.68,52.3,50.91,51.58,1142100,58918913,-0.18,-0.3478,51.5882,5.7105,1031600000,,4126400000,20000000,0,80000000,67.5318,13.5314,10.4739,98.0131,
300555.SZ,ST·ͨ,20170125,51.58,51.54,52.47,51.15,52.47,1230686,63979478,0.89,1.7255,51.9868,6.1534,1049400000,,4197600000,20000000,0,80000000,68.697,13.7649,10.6546,99.7043,
300555.SZ,ST·ͨ,20170126,52.47,52.48,52.8,51.86,52.13,757886,39594141,-0.34,-0.648,52.2429,3.7894,1042600000,,4170400000,20000000,0,80000000,68.2519,13.6757,10.5856,99.0583,
300555.SZ,ST·ͨ,20170203,52.13,52.28,52.28,50.71,50.9,543600,27890338,-1.23,-2.3595,51.3067,2.718,1018000000,,4072000000,20000000,0,80000000,66.6415,13.353,10.3358,96.721,
300555.SZ,ST·ͨ,20170206,50.9,51.39,52.58,51.05,52.53,970928,50513880,1.63,3.2024,52.0264,4.8546,1050600000,,4202400000,20000000,0,80000000,68.7756,13.7806,10.6668,99.8183,
300555.SZ,ST·ͨ,20170207,52.53,52.53,52.85,51.38,51.73,673500,35009154,-0.8,-1.5229,51.9809,3.3675,1034600000,,4138400000,20000000,0,80000000,67.7281,13.5707,10.5044,98.2982,
300555.SZ,ST·ͨ,20170208,51.73,51.74,53.46,51.55,53.12,1447876,76297052,1.39,2.687,52.6958,7.2394,1062400000,,4249600000,20000000,0,80000000,69.548,13.9354,10.7866,100.9395,
300555.SZ,ST·ͨ,20170209,53.12,53.13,54.05,52.64,53.49,1124860,60196575,0.37,0.6965,53.5147,5.6243,1069800000,,4279200000,20000000,0,80000000,70.0324,14.0325,10.8617,101.6425,
300555.SZ,ST·ͨ,20170210,53.49,53.49,53.49,52.07,52.11,875460,46000533,-1.38,-2.5799,52.5444,4.3773,1042200000,,4168800000,20000000,0,80000000,68.2257,13.6704,10.5815,99.0203,
300555.SZ,ST·ͨ,20170213,52.11,52.01,54.3,52.01,53.73,1432842,76626972,1.62,3.1088,53.479,7.1642,1074600000,,4298400000,20000000,0,80000000,70.3467,14.0954,10.9105,102.0986,
300555.SZ,ST·ͨ,20170214,53.73,53.86,54.27,53.42,53.72,838126,45020316,-0.01,-0.0186,53.7155,4.1906,1074400000,,4297600000,20000000,0,80000000,70.3336,14.0928,10.9085,102.0796,
300555.SZ,ST·ͨ,20170215,53.72,53.74,54.66,53.46,54.08,1530708,82762105,0.36,0.6701,54.0679,7.6535,1081600000,,4326400000,20000000,0,80000000,70.8049,14.1872,10.9816,102.7637,
300555.SZ,ST·ͨ,20170216,54.08,54.04,54.11,53.21,54,1082946,58171760,-0.08,-0.1479,53.7162,5.4147,1080000000,,4320000000,20000000,0,80000000,70.7002,14.1662,10.9653,102.6117,
300555.SZ,ST·ͨ,20170217,54,53.89,54.85,53.31,54.2,1329550,71929993,0.2,0.3704,54.101,6.6477,1084000000,,4336000000,20000000,0,80000000,70.962,14.2187,11.0059,102.9917,
300555.SZ,ST·ͨ,20170220,54.2,54.1,54.45,51.2,52.5,1112780,58890447,-1.7,-3.1365,52.9219,5.5639,1050000000,,4200000000,20000000,0,80000000,68.7363,13.7727,10.6607,99.7613,
300555.SZ,ST·ͨ,20170221,52.5,52.6,53.48,52.06,53.23,586400,31063982,0.73,1.3905,52.974,2.932,1064600000,,4258400000,20000000,0,80000000,69.692,13.9642,10.809,101.1485,
300555.SZ,ST·ͨ,20170222,53.23,53,53.78,52.6,53.16,584000,30961276,-0.07,-0.1315,53.0159,2.92,1063200000,,4252800000,20000000,0,80000000,69.6004,13.9459,10.7947,101.0155,
300555.SZ,ST·ͨ,20170223,53.16,53.2,55.53,52.75,55,1392704,75352422,1.84,3.4612,54.1051,6.9635,1100000000,,4400000000,20000000,0,80000000,72.0094,14.4286,11.1684,104.5119,
300555.SZ,ST·ͨ,20170224,55,54.7,56.5,54.11,56.21,1652874,92080408,1.21,2.2,55.7093,8.2644,1124200000,,4496800000,20000000,0,80000000,73.5936,14.746,11.4141,106.8111,
300555.SZ,ST·ͨ,20170227,56.21,56,56.31,55.1,55.5,1140700,63399800,-0.71,-1.2631,55.5797,5.7035,1110000000,,4440000000,20000000,0,80000000,72.6641,14.5598,11.2699,105.462,
300555.SZ,ST·ͨ,20170228,55.5,55.51,56.16,55.02,55.98,926575,51578022,0.48,0.8649,55.6652,4.6329,1119600000,,4478400000,20000000,0,80000000,82.8481,14.6857,11.3674,106.3741,
300555.SZ,ST·ͨ,20170301,55.98,55.92,56.44,55.18,55.18,740016,41290648,-0.8,-1.4291,55.797,3.7001,1103600000,,4414400000,20000000,0,80000000,81.6641,14.4758,11.2049,104.8539,
