代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002067.SZ,景兴纸业,20070104,6.39,6.4,6.45,6.21,6.34,3652798,22986470.4,-0.05,-0.7825,6.2928,4.566,507200000,,1458200000,80000000,0,230000000,25.7443,2.2485,1.4821,8.9392,
002067.SZ,景兴纸业,20070105,6.34,6.34,6.49,6.24,6.48,2525715,16141976.9,0.14,2.2082,6.3911,3.1571,518400000,,1490400000,80000000,0,230000000,26.3128,2.2982,1.5148,9.1366,
002067.SZ,景兴纸业,20070108,6.48,6.48,6.65,6.4,6.65,5392357,35358596,0.17,2.6235,6.5572,6.7404,532000000,,1529500000,80000000,0,230000000,27.0031,2.3585,1.5545,9.3763,
002067.SZ,景兴纸业,20070109,6.65,6.68,6.72,6.59,6.66,4322688,28831898.9,0.01,0.1504,6.6699,5.4034,532800000,,1531800000,80000000,0,230000000,27.0437,2.362,1.5569,9.3904,
002067.SZ,景兴纸业,20070110,6.66,6.7,6.98,6.59,6.86,6211428,41986779.3,0.2,3.003,6.7596,7.7643,548800000,,1577800000,80000000,0,230000000,27.8558,2.433,1.6036,9.6724,
002067.SZ,景兴纸业,20070111,6.86,6.86,6.95,6.74,6.78,6831498,46908381.6,-0.08,-1.1662,6.8665,8.5394,542400000,,1559400000,80000000,0,230000000,27.531,2.4046,1.5849,9.5596,
002067.SZ,景兴纸业,20070112,6.78,6.77,6.84,6.38,6.41,4395331,29166515.3,-0.37,-5.4572,6.6358,5.4942,512800000,,1474300000,80000000,0,230000000,26.0286,2.2734,1.4984,9.0379,
002067.SZ,景兴纸业,20070115,6.41,6.41,6.67,6.38,6.64,3903531,25504047.2,0.23,3.5881,6.5336,4.8794,531200000,,1527200000,80000000,0,230000000,26.9625,2.3549,1.5522,9.3622,
002067.SZ,景兴纸业,20070116,6.64,6.66,6.82,6.58,6.77,5037124,33675211.6,0.13,1.9578,6.6854,6.2964,541600000,,1557100000,80000000,0,230000000,27.4904,2.401,1.5826,9.5455,
002067.SZ,景兴纸业,20070117,6.77,6.78,6.92,6.67,6.8,8249002,56295177.2,0.03,0.4431,6.8245,10.3113,544000000,,1564000000,80000000,0,230000000,27.6122,2.4117,1.5896,9.5878,
002067.SZ,景兴纸业,20070118,6.8,6.78,7.01,6.73,7.01,7820843,54046372.3,0.21,3.0882,6.9106,9.7761,560800000,,1612300000,80000000,0,230000000,28.4649,2.4862,1.6387,9.8839,
002067.SZ,景兴纸业,20070119,7.01,7.04,7.3,6.95,7.21,11631823,83047363.8,0.2,2.8531,7.1397,14.5398,576800000,,1658300000,80000000,0,230000000,29.2771,2.5571,1.6854,10.1659,
002067.SZ,景兴纸业,20070122,7.21,7.25,7.51,7.17,7.45,10292406,75206971.5,0.24,3.3287,7.307,12.8655,596000000,,1713500000,80000000,0,230000000,30.2516,2.6422,1.7415,10.5043,
002067.SZ,景兴纸业,20070123,7.45,7.51,7.55,7.09,7.31,9126001,66526966.5,-0.14,-1.8792,7.2898,11.4075,584800000,,1681300000,80000000,0,230000000,29.6831,2.5926,1.7088,10.3069,
002067.SZ,景兴纸业,20070124,7.31,7.32,7.5,7.21,7.39,8616723,63366330.5,0.08,1.0944,7.3539,10.7709,591200000,,1699700000,80000000,0,230000000,30.008,2.6209,1.7275,10.4197,
002067.SZ,景兴纸业,20070125,7.39,7.45,7.62,7.18,7.19,10376006,77207899,-0.2,-2.7064,7.441,12.97,575200000,,1653700000,80000000,0,230000000,29.1959,2.55,1.6808,10.1377,
002067.SZ,景兴纸业,20070126,7.19,7.04,7.24,6.9,7.17,6206129,43850487.9,-0.02,-0.2782,7.0657,7.7577,573600000,,1649100000,80000000,0,230000000,29.1146,2.5429,1.6761,10.1095,
002067.SZ,景兴纸业,20070129,7.17,7.3,7.47,7.17,7.45,6579546,48369736.9,0.28,3.9052,7.3515,8.2244,596000000,,1713500000,80000000,0,230000000,30.2516,2.6422,1.7415,10.5043,
002067.SZ,景兴纸业,20070130,7.45,7.45,7.52,7.24,7.26,5621234,41440332.3,-0.19,-2.5503,7.3721,7.0265,580800000,,1669800000,80000000,0,230000000,29.4801,2.5748,1.6971,10.2364,
002067.SZ,景兴纸业,20070131,7.26,7.28,7.28,7.01,7.18,6033208,43170935.9,-0.08,-1.1019,7.1556,7.5415,574400000,,1651400000,80000000,0,230000000,29.1552,2.5465,1.6784,10.1236,
002067.SZ,景兴纸业,20070201,7.18,7.05,7.32,7,7.2,5643678,40596197.3,0.02,0.2786,7.1932,7.0546,576000000,,1656000000,80000000,0,230000000,29.2365,2.5535,1.6831,10.1518,
002067.SZ,景兴纸业,20070202,7.2,7.2,7.24,6.94,6.96,3048366,21616839.9,-0.24,-3.3333,7.0913,3.8105,556800000,,1600800000,80000000,0,230000000,28.2619,2.4684,1.627,9.8134,
002067.SZ,景兴纸业,20070205,6.96,6.96,7.05,6.9,7.01,2701518,18858670.3,0.05,0.7184,6.9808,3.3769,560800000,,1612300000,80000000,0,230000000,28.4649,2.4862,1.6387,9.8839,
002067.SZ,景兴纸业,20070206,7.01,7.1,7.31,7.02,7.25,3368889,24274921.9,0.24,3.4237,7.2056,4.2111,580000000,,1667500000,80000000,0,230000000,29.4395,2.5713,1.6948,10.2223,
002067.SZ,景兴纸业,20070207,7.25,7.28,7.32,7.2,7.27,3475013,25237823.4,0.02,0.2759,7.2627,4.3438,581600000,,1672100000,80000000,0,230000000,29.5207,2.5784,1.6995,10.2505,
002067.SZ,景兴纸业,20070208,7.27,7.29,7.43,7.22,7.37,5149195,37672599.4,0.1,1.3755,7.3162,6.4365,589600000,,1695100000,80000000,0,230000000,29.9268,2.6138,1.7228,10.3915,
002067.SZ,景兴纸业,20070209,7.37,7.39,7.51,7.3,7.43,5461619,40607535.5,0.06,0.8141,7.4351,6.827,594400000,,1708900000,80000000,0,230000000,30.1704,2.6351,1.7369,10.4761,
