代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
300434.SZ,金石亚药,20150424,,13.95,15.22,13.95,15.22,14200,215489,4.65,43.9924,15.1753,0.0835,258740000,,1034960000,17000000,0,68000000,32.3817,4.6668,5.9883,-262.7086,
300434.SZ,金石亚药,20150427,15.22,16.74,16.74,16.74,16.74,2600,43524,1.52,9.9869,16.74,0.0153,284580000,,1138320000,17000000,0,68000000,35.6157,5.1328,6.5864,-288.9449,
300434.SZ,金石亚药,20150428,16.74,18.41,18.41,18.41,18.41,7000,128870,1.67,9.9761,18.41,0.0412,312970000,,1251880000,17000000,0,68000000,39.1687,5.6449,7.2434,-317.7704,
300434.SZ,金石亚药,20150429,18.41,20.25,20.25,20.25,20.25,8200,166050,1.84,9.9946,20.25,0.0482,344250000,,1377000000,17000000,0,68000000,43.0835,6.2091,7.9674,-349.5301,
300434.SZ,金石亚药,20150430,20.25,22.28,22.28,22.28,22.28,4700,104716,2.03,10.0247,22.28,0.0276,378760000,,1515040000,17000000,0,68000000,47.4024,6.8315,8.7661,-384.5694,
300434.SZ,金石亚药,20150504,22.28,24.51,24.51,24.51,24.51,7500,183825,2.23,10.009,24.51,0.0441,416670000,,1666680000,17000000,0,68000000,52.1469,7.5153,9.6435,-423.0609,
300434.SZ,金石亚药,20150505,24.51,26.96,26.96,26.96,26.96,28600,771056,2.45,9.9959,26.96,0.1682,458320000,,1833280000,17000000,0,68000000,57.3595,8.2665,10.6074,-465.3497,
300434.SZ,金石亚药,20150506,26.96,29.66,29.66,29.66,29.66,40300,1195298,2.7,10.0148,29.66,0.2371,504220000,,2016880000,17000000,0,68000000,63.104,9.0944,11.6697,-511.9537,
300434.SZ,金石亚药,20150507,29.66,32.63,32.63,32.63,32.63,481295,15704655.9,2.97,10.0135,32.63,2.8311,554710000,,2218840000,17000000,0,68000000,69.4229,10.0051,12.8383,-563.2181,
300434.SZ,金石亚药,20150508,32.63,35.89,35.89,35.89,35.89,485045,17408265.1,3.26,9.9908,35.89,2.8532,610130000,,2440520000,17000000,0,68000000,76.3588,11.0046,14.1209,-619.4882,
300434.SZ,金石亚药,20150511,35.89,39.48,39.48,39.48,39.48,34400,1358112,3.59,10.0028,39.48,0.2024,671160000,,2684640000,17000000,0,68000000,83.9968,12.1054,15.5334,-681.4543,
300434.SZ,金石亚药,20150512,39.48,43.43,43.43,43.43,43.43,32900,1428847,3.95,10.0051,43.43,0.1935,738310000,,2953240000,17000000,0,68000000,92.4007,13.3166,17.0875,-749.6342,
300434.SZ,金石亚药,20150513,43.43,47.77,47.77,47.77,47.77,65200,3114604,4.34,9.9931,47.77,0.3835,812090000,,3248360000,17000000,0,68000000,101.6344,14.6473,18.7951,-824.5458,
300434.SZ,金石亚药,20150514,47.77,52.55,52.55,52.55,52.55,31500,1655325,4.78,10.0063,52.55,0.1853,893350000,,3573400000,17000000,0,68000000,111.8042,16.1129,20.6758,-907.0522,
300434.SZ,金石亚药,20150515,52.55,57.81,57.81,57.81,57.81,38509,2226205.3,5.26,10.0095,57.81,0.2265,982770000,,3931080000,17000000,0,68000000,122.9953,17.7258,22.7453,-997.8438,
300434.SZ,金石亚药,20150518,57.81,63.59,63.59,63.59,63.59,33350,2120726.5,5.78,9.9983,63.59,0.1962,1081030000,,4324120000,17000000,0,68000000,135.2927,19.498,25.0195,-1097.6108,
300434.SZ,金石亚药,20150519,63.59,69.95,69.95,69.95,69.95,36899,2581085.1,6.36,10.0016,69.95,0.2171,1189150000,,4756600000,17000000,0,68000000,148.8241,21.4482,27.5218,-1207.3892,
300434.SZ,金石亚药,20150520,69.95,76.95,76.95,76.95,76.95,1057057,81340536.2,7,10.0071,76.95,6.218,1308150000,,5232600000,17000000,0,68000000,163.7172,23.5945,30.276,-1328.2145,
300434.SZ,金石亚药,20150521,76.95,84.65,84.65,84.65,84.65,59342,5023300.3,7.7,10.0065,84.65,0.3491,1439050000,,5756200000,17000000,0,68000000,180.0995,25.9555,33.3055,-1461.1222,
300434.SZ,金石亚药,20150522,84.65,93.12,93.12,93.12,93.12,39595,3687086.4,8.47,10.0059,93.12,0.2329,1583040000,,6332160000,17000000,0,68000000,198.1201,28.5526,36.6381,-1607.3207,
300434.SZ,金石亚药,20150525,93.12,102.43,102.43,102.43,102.43,166285,17032572.6,9.31,9.9979,102.43,0.9781,1741310000,,6965240000,17000000,0,68000000,217.9279,31.4072,40.3011,-1768.0183,
300434.SZ,金石亚药,20150526,102.43,112.67,112.67,112.67,112.67,63428,7146432.8,10.24,9.9971,112.67,0.3731,1915390000,,7661560000,17000000,0,68000000,239.7143,34.547,44.33,-1944.7683,
300434.SZ,金石亚药,20150527,112.67,123.94,123.94,123.94,123.94,44020,5455838.8,11.27,10.0027,123.94,0.2589,2106980000,,8427920000,17000000,0,68000000,263.6921,38.0026,48.7642,-2139.2969,
300434.SZ,金石亚药,20150528,123.94,136.33,136.33,136.33,136.33,1196700,163146111,12.39,9.9968,136.33,7.0394,2317610000,,9270440000,17000000,0,68000000,290.0528,41.8017,53.6391,-2353.1575,
300434.SZ,金石亚药,20150529,136.33,122.7,149.96,122.7,149.96,9215350,1282532092.1,13.63,9.9978,139.1735,54.2079,2549320000,,10197280000,17000000,0,68000000,319.0517,45.9809,59.0018,-2588.4216,
300434.SZ,金石亚药,20150601,149.96,159,163.99,134.96,134.96,7675049,1120732858,-15,-10.0027,146.0229,45.1473,2294320000,,9177280000,17000000,0,68000000,287.138,41.3816,53.1,-2329.5103,
300434.SZ,金石亚药,20150602,134.96,126,126.88,121.46,121.46,3307995,404472140.3,-13.5,-10.003,122.2711,19.4588,2064820000,,8259280000,17000000,0,68000000,258.4157,37.2422,47.7884,-2096.4902,
300434.SZ,金石亚药,20150603,121.46,110,117.1,109.31,110.13,5290974,590276563.4,-11.33,-9.3282,111.5629,31.1234,1872210000,,7488840000,17000000,0,68000000,234.3102,33.7682,43.3307,-1900.926,
300434.SZ,金石亚药,20150604,110.13,107.25,109.58,99.12,99.12,3085003,313818053.1,-11.01,-9.9973,101.7237,18.1471,1685040000,,6740160000,17000000,0,68000000,210.8856,30.3923,38.9988,-1710.8853,
300434.SZ,金石亚药,20150605,99.12,100.26,102.3,94.2,99.45,3640121,361369655.7,0.33,0.3329,99.2741,21.4125,1690650000,,6762600000,17000000,0,68000000,211.5877,30.4935,39.1286,-1716.5813,
300434.SZ,金石亚药,20150608,99.45,98.37,98.37,90.91,90.92,3076266,289957704,-8.53,-8.5772,94.2564,18.0957,1545640000,,6182560000,17000000,0,68000000,193.4394,27.878,35.7725,-1569.347,
300434.SZ,金石亚药,20150609,90.92,90.35,94.22,89,91.3,2103409,192789986.2,0.38,0.4179,91.656,12.373,1552100000,,6208400000,17000000,0,68000000,194.2479,27.9945,35.922,-1575.9061,
300434.SZ,金石亚药,20150610,91.3,90.15,97.59,90.14,96.27,2866214,272842000.2,4.97,5.4436,95.1925,16.8601,1636590000,,6546360000,17000000,0,68000000,204.822,29.5184,37.8774,-1661.692,
300434.SZ,金石亚药,20150611,96.27,94.9,105.9,94.16,105.9,5321133,545408817.3,9.63,10.0031,102.4986,31.3008,1800300000,,7201200000,17000000,0,68000000,225.3106,32.4712,41.6664,-1827.9131,
300434.SZ,金石亚药,20150612,105.9,107.09,110.89,97.5,97.6,4493287,462090470.4,-8.3,-7.8376,102.8402,26.4311,1659200000,,6636800000,17000000,0,68000000,207.6517,29.9262,38.4007,-1684.6488,
300434.SZ,金石亚药,20150615,97.6,92.27,92.93,87.84,87.84,2565162,227692742.7,-9.76,-10,88.7635,15.0892,1493280000,,5973120000,17000000,0,68000000,186.8865,26.9336,34.5607,-1516.184,
300434.SZ,金石亚药,20150616,87.84,81.51,87.82,79.25,81.1,2600730,213211837.4,-6.74,-7.673,81.9815,15.2984,1378700000,,5514800000,17000000,0,68000000,172.5466,24.867,31.9088,-1399.8466,
300434.SZ,金石亚药,20150617,81.1,81.1,86.39,80.03,84.98,2159563,179265761.9,3.88,4.7842,83.0102,12.7033,1444660000,,5778640000,17000000,0,68000000,180.8016,26.0567,33.4354,-1466.8182,
300434.SZ,金石亚药,20150618,84.98,83,85,76.48,76.48,1992315,160395898.3,-8.5,-10.0024,80.5073,11.7195,1300160000,,5200640000,17000000,0,68000000,162.7172,23.4504,30.0911,-1320.1019,
300434.SZ,金石亚药,20150619,76.48,71.95,75.8,68.83,68.83,1784493,128194503.5,-7.65,-10.0026,71.8381,10.497,1170110000,,4680440000,17000000,0,68000000,146.4412,21.1047,27.0812,-1188.0571,
300434.SZ,金石亚药,20150623,68.83,71,73.49,66.19,72.84,1955864,137888935.2,4.01,5.8259,70.5003,11.5051,1238280000,,4953120000,17000000,0,68000000,154.9728,22.3343,28.6589,-1257.2728,
300434.SZ,金石亚药,20150624,72.84,73.6,73.93,70.07,71.72,1889003,136161579.5,-1.12,-1.5376,72.0812,11.1118,1219240000,,4876960000,17000000,0,68000000,152.5899,21.9909,28.2182,-1237.9408,
300434.SZ,金石亚药,20150625,71.72,72,72,67.55,67.75,1581339,110807393.9,-3.97,-5.5354,70.0719,9.302,1151750000,,4607000000,17000000,0,68000000,144.1434,20.7736,26.6562,-1169.4155,
300434.SZ,金石亚药,20150626,67.75,65.68,66.1,60.98,60.98,1964133,123707409.3,-6.77,-9.9926,62.9832,11.5537,1036660000,,4146640000,17000000,0,68000000,129.7397,18.6978,23.9926,-1052.5603,
300434.SZ,金石亚药,20150629,60.98,62,62,54.88,55.5,2067242,118785313.6,-5.48,-8.9866,57.4608,12.1602,943500000,,3774000000,17000000,0,68000000,118.0806,17.0175,21.8365,-957.9714,
300434.SZ,金石亚药,20150630,55.5,54.91,59.89,50,59.27,2408811,132578291.6,3.77,6.7928,55.0389,14.1695,1007590000,,4030360000,17000000,0,68000000,126.1016,18.1734,23.3198,-1023.0444,
300434.SZ,金石亚药,20150701,59.27,58,61.73,53.34,53.34,2181623,128060949.1,-5.93,-10.0051,58.6999,12.8331,906780000,,3627120000,17000000,0,68000000,113.485,16.3552,20.9866,-920.6882,
300434.SZ,金石亚药,20150702,53.34,51.5,53,48.01,48.01,2494282,124787081.6,-5.33,-9.9925,50.0293,14.6722,816170000,,3264680000,17000000,0,68000000,102.145,14.7209,18.8895,-828.6884,
300434.SZ,金石亚药,20150703,48.01,46.99,50.12,43.21,44.25,2211684,101266315.5,-3.76,-7.8317,45.787,13.0099,752250000,,3009000000,17000000,0,68000000,94.1453,13.568,17.4102,-763.788,
300434.SZ,金石亚药,20150706,44.25,48.68,48.68,40.04,43.25,2871352,129661939.3,-1,-2.2599,45.1571,16.8903,735250000,,2941000000,17000000,0,68000000,92.0178,13.2614,17.0167,-746.5273,
