´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
002515.SZ,½ð×Ö»ðÍÈ,20101203,,66,78,61,62.38,12600826,839718010.8,28.38,83.4706,66.6399,85.1407,923224000,,4584930000,14800000,0,73500000,97.1928,24.1192,30.9522,1329.5736,
002515.SZ,½ð×Ö»ðÍÈ,20101206,62.38,58.64,59.99,56.14,56.14,4837918,274164307.7,-6.24,-10.0032,56.6699,32.6886,830872000,,4126290000,14800000,0,73500000,87.4704,21.7065,27.856,1196.5736,
002515.SZ,½ð×Ö»ðÍÈ,20101207,56.14,53.11,53.97,51.4,52.49,4490529,235298518.3,-3.65,-6.5016,52.3988,30.3414,776852000,,3858015000,14800000,0,73500000,81.7834,20.2953,26.0449,1118.7771,
002515.SZ,½ð×Ö»ðÍÈ,20101208,52.49,52.25,52.78,50.82,51.1,3105350,160939885.7,-1.39,-2.6481,51.8266,20.9821,756280000,,3755850000,14800000,0,73500000,79.6177,19.7578,25.3552,1089.1505,
002515.SZ,½ð×Ö»ðÍÈ,20101209,51.1,50.18,50.44,48.85,49.08,2735969,135682256.4,-2.02,-3.953,49.592,18.4863,726384000,,3607380000,14800000,0,73500000,76.4704,18.9768,24.3529,1046.0961,
002515.SZ,½ð×Ö»ðÍÈ,20101210,49.08,48.61,49.95,48.61,49.37,1602395,79101821.4,0.29,0.5909,49.3647,10.827,730676000,,3628695000,14800000,0,73500000,76.9222,19.0889,24.4968,1052.2771,
002515.SZ,½ð×Ö»ðÍÈ,20101213,49.37,49.4,53.33,49,51.92,3473240,178638066.2,2.55,5.1651,51.4327,23.4678,768416000,,3816120000,14800000,0,73500000,80.8953,20.0749,25.762,1106.6281,
002515.SZ,½ð×Ö»ðÍÈ,20101214,51.92,51,54.83,50.58,54.37,4055334,213184865.5,2.45,4.7188,52.569,27.4009,804676000,,3996195000,14800000,0,73500000,84.7126,21.0222,26.9777,1158.8477,
002515.SZ,½ð×Ö»ðÍÈ,20101215,54.37,53.5,54,52,52.1,2722437,144721383.5,-2.27,-4.1751,53.1588,18.3948,771080000,,3829350000,14800000,0,73500000,81.1758,20.1445,25.8514,1110.4646,
002515.SZ,½ð×Ö»ðÍÈ,20101216,52.1,52.21,53.51,52.21,52.41,1588593,83788646.9,0.31,0.595,52.7439,10.7337,775668000,,3852135000,14800000,0,73500000,81.6588,20.2643,26.0052,1117.072,
002515.SZ,½ð×Ö»ðÍÈ,20101217,52.41,52.4,53.6,51.99,53.07,1513851,80140446.9,0.66,1.2593,52.9381,10.2287,785436000,,3900645000,14800000,0,73500000,82.6871,20.5195,26.3327,1131.1393,
002515.SZ,½ð×Ö»ðÍÈ,20101220,53.07,53.29,54.32,51.8,53.7,2120956,112852379.5,0.63,1.1871,53.2083,14.3308,794760000,,3946950000,14800000,0,73500000,83.6687,20.7631,26.6453,1144.5673,
002515.SZ,½ð×Ö»ðÍÈ,20101221,53.7,53.99,54.18,53.1,53.28,1151686,61595102.2,-0.42,-0.7821,53.4825,7.7817,788544000,,3916080000,14800000,0,73500000,83.0143,20.6007,26.4369,1135.6152,
002515.SZ,½ð×Ö»ðÍÈ,20101222,53.28,53.27,53.98,52.63,52.77,1288128,68613411.6,-0.51,-0.9572,53.266,8.7036,780996000,,3878595000,14800000,0,73500000,82.2197,20.4035,26.1838,1124.7451,
002515.SZ,½ð×Ö»ðÍÈ,20101223,52.77,52.8,53.04,50.88,50.99,1179078,61367802.2,-1.78,-3.3731,52.0473,7.9667,754652000,,3747765000,14800000,0,73500000,79.4463,19.7153,25.3006,1086.806,
002515.SZ,½ð×Ö»ðÍÈ,20101224,50.99,50.48,50.49,48.64,48.99,1244241,61334567.2,-2,-3.9223,49.2948,8.407,725052000,,3600765000,14800000,0,73500000,76.3302,18.942,24.3082,1044.1777,
002515.SZ,½ð×Ö»ðÍÈ,20101227,48.99,49,49.5,46.8,46.9,1205757,58384377.6,-2.09,-4.2662,48.4213,8.147,694120000,,3447150000,14800000,0,73500000,73.0738,18.1339,23.2712,999.6313,
002515.SZ,½ð×Ö»ðÍÈ,20101228,46.9,46.7,46.7,44.88,45.1,1082688,49254136.6,-1.8,-3.838,45.4925,7.3155,667480000,,3314850000,14800000,0,73500000,70.2692,17.4379,22.378,961.2659,
002515.SZ,½ð×Ö»ðÍÈ,20101229,45.1,45.07,46.1,45.07,45.97,784881,35841451.2,0.87,1.929,45.6648,5.3033,680356000,,3378795000,14800000,0,73500000,71.6248,17.7743,22.8097,979.8092,
002515.SZ,½ð×Ö»ðÍÈ,20101230,45.97,46.29,46.29,45.03,45.33,644363,29342197.4,-0.64,-1.3922,45.5368,4.3538,670884000,,3331755000,14800000,0,73500000,70.6276,17.5268,22.4922,966.1682,
002515.SZ,½ð×Ö»ðÍÈ,20101231,45.33,45.4,46.08,45.35,46.06,707591,32432805.5,0.73,1.6104,45.8355,4.781,681688000,,3385410000,14800000,0,73500000,71.765,17.8091,22.8544,981.7275,
002515.SZ,½ð×Ö»ðÍÈ,20110104,46.06,46.45,47.86,45.8,47.39,1078395,50459268.8,1.33,2.8875,46.7911,7.2865,701372000,,3483165000,14800000,0,73500000,73.8372,18.3233,21.3561,6.4551,
002515.SZ,½ð×Ö»ðÍÈ,20110105,47.39,47.03,47.44,46.51,46.78,801662,37657150.5,-0.61,-1.2872,46.9738,5.4166,692344000,,3438330000,14800000,0,73500000,72.8868,18.0875,21.0812,6.372,
002515.SZ,½ð×Ö»ðÍÈ,20110106,46.78,46.61,47.24,46.6,47.03,573286,26892754.8,0.25,0.5344,46.9098,3.8736,696044000,,3456705000,14800000,0,73500000,73.2763,18.1841,21.1939,6.4061,
002515.SZ,½ð×Ö»ðÍÈ,20110107,47.03,47.03,47.8,46.8,47.06,645336,30464908.5,0.03,0.0638,47.2078,4.3604,696488000,,3458910000,14800000,0,73500000,73.3231,18.1957,21.2074,6.4102,
002515.SZ,½ð×Ö»ðÍÈ,20110110,47.06,47.35,47.5,45,45.16,719731,33146484.3,-1.9,-4.0374,46.054,4.863,668368000,,3319260000,14800000,0,73500000,70.3627,17.4611,20.3512,6.1514,
002515.SZ,½ð×Ö»ðÍÈ,20110111,45.16,45.06,45.66,43.1,43.59,879854,38803587.2,-1.57,-3.4765,44.1023,5.945,645132000,,3203865000,14800000,0,73500000,67.9165,16.8541,19.6437,5.9375,
002515.SZ,½ð×Ö»ðÍÈ,20110112,43.59,43.4,43.95,43.1,43.77,524526,22835158.2,0.18,0.4129,43.5348,3.5441,647796000,,3217095000,14800000,0,73500000,68.197,16.9237,19.7248,5.962,
002515.SZ,½ð×Ö»ðÍÈ,20110113,43.77,43.83,44.68,43.58,44.03,449831,19823528.3,0.26,0.594,44.0688,3.0394,651644000,,3236205000,14800000,0,73500000,68.6021,17.0242,19.8419,5.9974,
002515.SZ,½ð×Ö»ðÍÈ,20110114,44.03,43.4,43.96,42.31,42.51,678171,29124245.7,-1.52,-3.4522,42.9453,4.5822,629148000,,3124485000,14800000,0,73500000,66.2338,16.4365,19.157,5.7904,
