´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
002802.SZ,ºé»ãÐÂ²Ä,20160629,,11.42,13.71,11.42,13.71,18422,251706.6,4.19,44.0126,13.6634,0.0682,370170000,,1480680000,27000000,0,108000000,30.4455,5.0449,5.0616,31.9394,
002802.SZ,ºé»ãÐÂ²Ä,20160630,13.71,15.08,15.08,15.08,15.08,3800,57304,1.37,9.9927,15.08,0.0141,407160000,,1628640000,27000000,0,108000000,33.4878,5.549,5.5674,35.131,
002802.SZ,ºé»ãÐÂ²Ä,20160701,15.08,16.59,16.59,16.59,16.59,6129,101680.1,1.51,10.0133,16.59,0.0227,447930000,,1791720000,27000000,0,108000000,36.8411,6.1046,6.1249,38.6488,
002802.SZ,ºé»ãÐÂ²Ä,20160704,16.59,18.25,18.25,18.25,18.25,4329,79004.3,1.66,10.006,18.25,0.016,492750000,,1971000000,27000000,0,108000000,40.5274,6.7154,6.7377,42.516,
002802.SZ,ºé»ãÐÂ²Ä,20160705,18.25,20.08,20.08,20.08,20.08,5596,112367.7,1.83,10.0274,20.08,0.0207,542160000,,2168640000,27000000,0,108000000,44.5912,7.3888,7.4133,46.7792,
002802.SZ,ºé»ãÐÂ²Ä,20160706,20.08,22.09,22.09,22.09,22.09,5700,125913,2.01,10.01,22.09,0.0211,596430000,,2385720000,27000000,0,108000000,49.0548,8.1285,8.1554,51.4618,
002802.SZ,ºé»ãÐÂ²Ä,20160707,22.09,24.3,24.3,24.3,24.3,4600,111780,2.21,10.0045,24.3,0.017,656100000,,2624400000,27000000,0,108000000,53.9625,8.9417,8.9713,56.6103,
002802.SZ,ºé»ãÐÂ²Ä,20160708,24.3,26.73,26.73,26.73,26.73,7572,202399.6,2.43,10,26.73,0.028,721710000,,2886840000,27000000,0,108000000,59.3588,9.8358,9.8684,62.2714,
002802.SZ,ºé»ãÐÂ²Ä,20160711,26.73,29.4,29.4,29.4,29.4,28400,834960,2.67,9.9888,29.4,0.1052,793800000,,3175200000,27000000,0,108000000,65.288,10.8183,10.8542,68.4915,
002802.SZ,ºé»ãÐÂ²Ä,20160712,29.4,32.34,32.34,32.34,32.34,30531,987372.5,2.94,10,32.34,0.1131,873180000,,3492720000,27000000,0,108000000,71.8168,11.9001,11.9396,75.3406,
002802.SZ,ºé»ãÐÂ²Ä,20160713,32.34,35.57,35.57,35.57,35.57,19397,689951.3,3.23,9.9876,35.57,0.0718,960390000,,3841560000,27000000,0,108000000,78.9896,13.0887,13.1321,82.8654,
002802.SZ,ºé»ãÐÂ²Ä,20160714,35.57,39.13,39.13,39.13,39.13,17800,696514,3.56,10.0084,39.13,0.0659,1056510000,,4226040000,27000000,0,108000000,86.8952,14.3987,14.4464,91.1589,
002802.SZ,ºé»ãÐÂ²Ä,20160715,39.13,43.04,43.04,43.04,43.04,19865,854989.6,3.91,9.9923,43.04,0.0736,1162080000,,4648320000,27000000,0,108000000,95.578,15.8374,15.8899,100.2678,
002802.SZ,ºé»ãÐÂ²Ä,20160718,43.04,47.34,47.34,47.34,47.34,62410,2954489.4,4.3,9.9907,47.34,0.2311,1278180000,,5112720000,27000000,0,108000000,105.127,17.4197,17.4775,110.2853,
002802.SZ,ºé»ãÐÂ²Ä,20160719,47.34,52.07,52.07,52.07,52.07,126859,6605548.1,4.73,9.9916,52.07,0.4698,1405890000,,5623560000,27000000,0,108000000,115.6308,19.1602,19.2237,121.3045,
002802.SZ,ºé»ãÐÂ²Ä,20160720,52.07,57.28,57.28,57.28,57.28,74358,4259226.2,5.21,10.0058,57.28,0.2754,1546560000,,6186240000,27000000,0,108000000,127.2005,21.0773,21.1472,133.4419,
002802.SZ,ºé»ãÐÂ²Ä,20160721,57.28,63.01,63.01,63.01,63.01,61338,3864907.4,5.73,10.0035,63.01,0.2272,1701270000,,6805080000,27000000,0,108000000,139.925,23.1858,23.2627,146.7908,
002802.SZ,ºé»ãÐÂ²Ä,20160722,63.01,69.31,69.31,62.15,62.28,15295691,1004635311.9,-0.73,-1.1585,65.6809,56.6507,1681560000,,6726240000,27000000,0,108000000,138.3039,22.9172,22.9931,145.0901,
002802.SZ,ºé»ãÐÂ²Ä,20160725,62.28,60.33,60.33,56.51,58.27,9542207,556741045.5,-4.01,-6.4387,58.3451,35.3415,1573290000,,6293160000,27000000,0,108000000,127.3709,21.4416,21.5127,135.7483,
002802.SZ,ºé»ãÐÂ²Ä,20160726,58.27,57.98,63.98,57.63,61.98,9872984,607979778.6,3.71,6.3669,61.5801,36.5666,1673460000,,6693840000,27000000,0,108000000,135.4805,22.8068,22.8824,144.3913,
002802.SZ,ºé»ãÐÂ²Ä,20160727,61.98,61,63.1,57.45,61.49,10636385,640300256.2,-0.49,-0.7906,60.199,39.394,1660230000,,6640920000,27000000,0,108000000,134.4095,22.6265,22.7015,143.2497,
002802.SZ,ºé»ãÐÂ²Ä,20160728,61.49,59.28,62.6,58.05,62.12,7452426,450335634.2,0.63,1.0246,60.4281,27.6016,1677240000,,6708960000,27000000,0,108000000,135.7866,22.8583,22.9341,144.7174,
002802.SZ,ºé»ãÐÂ²Ä,20160729,62.12,63.8,68,63.1,64,10314148,674148734,1.88,3.0264,65.3616,38.2005,1728000000,,6912000000,27000000,0,108000000,139.896,23.5501,23.6282,149.0971,
002802.SZ,ºé»ãÐÂ²Ä,20160801,64,61.99,62,57.6,57.75,8398292,496640553.7,-6.25,-9.7656,59.1359,31.1048,1559250000,,6237000000,27000000,0,108000000,126.2343,21.2503,21.3207,134.5369,
